rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
49,52,53,49,22,"{'max_depth': 3, 'min_child_weight': 1}"
53,53,54,52,16,"{'max_depth': 3, 'min_child_weight': 2}"
50,50,50,50,8,"{'max_depth': 3, 'min_child_weight': 3}"
51,49,51,51,4,"{'max_depth': 3, 'min_child_weight': 4}"
52,51,52,53,2,"{'max_depth': 3, 'min_child_weight': 5}"
54,54,49,54,10,"{'max_depth': 3, 'min_child_weight': 6}"
47,46,46,47,6,"{'max_depth': 4, 'min_child_weight': 1}"
42,45,44,43,1,"{'max_depth': 4, 'min_child_weight': 2}"
45,42,45,45,5,"{'max_depth': 4, 'min_child_weight': 3}"
48,48,48,48,7,"{'max_depth': 4, 'min_child_weight': 4}"
44,41,43,44,11,"{'max_depth': 4, 'min_child_weight': 5}"
46,47,47,46,3,"{'max_depth': 4, 'min_child_weight': 6}"
43,36,42,42,54,"{'max_depth': 5, 'min_child_weight': 1}"
38,40,35,38,31,"{'max_depth': 5, 'min_child_weight': 2}"
40,39,41,39,32,"{'max_depth': 5, 'min_child_weight': 3}"
41,43,40,41,45,"{'max_depth': 5, 'min_child_weight': 4}"
39,29,30,39,21,"{'max_depth': 5, 'min_child_weight': 5}"
33,44,39,33,20,"{'max_depth': 5, 'min_child_weight': 6}"
28,18,11,27,40,"{'max_depth': 6, 'min_child_weight': 1}"
35,32,33,33,43,"{'max_depth': 6, 'min_child_weight': 2}"
37,27,22,37,44,"{'max_depth': 6, 'min_child_weight': 3}"
30,33,37,29,41,"{'max_depth': 6, 'min_child_weight': 4}"
15,28,26,16,17,"{'max_depth': 6, 'min_child_weight': 5}"
26,26,24,27,28,"{'max_depth': 6, 'min_child_weight': 6}"
10,7,12,10,14,"{'max_depth': 7, 'min_child_weight': 1}"
15,15,2,16,17,"{'max_depth': 7, 'min_child_weight': 2}"
32,24,3,32,42,"{'max_depth': 7, 'min_child_weight': 3}"
4,13,25,5,9,"{'max_depth': 7, 'min_child_weight': 4}"
24,35,38,24,38,"{'max_depth': 7, 'min_child_weight': 5}"
34,2,9,33,30,"{'max_depth': 7, 'min_child_weight': 6}"
2,6,5,2,33,"{'max_depth': 8, 'min_child_weight': 1}"
18,23,18,10,47,"{'max_depth': 8, 'min_child_weight': 2}"
5,30,34,5,12,"{'max_depth': 8, 'min_child_weight': 3}"
12,36,36,10,26,"{'max_depth': 8, 'min_child_weight': 4}"
14,8,17,10,35,"{'max_depth': 8, 'min_child_weight': 5}"
31,17,21,29,50,"{'max_depth': 8, 'min_child_weight': 6}"
5,1,1,3,46,"{'max_depth': 9, 'min_child_weight': 1}"
12,4,20,10,26,"{'max_depth': 9, 'min_child_weight': 2}"
3,14,15,3,24,"{'max_depth': 9, 'min_child_weight': 3}"
19,22,29,16,36,"{'max_depth': 9, 'min_child_weight': 4}"
24,19,16,24,38,"{'max_depth': 9, 'min_child_weight': 5}"
19,21,28,16,36,"{'max_depth': 9, 'min_child_weight': 6}"
1,11,4,1,23,"{'max_depth': 10, 'min_child_weight': 1}"
15,38,32,16,17,"{'max_depth': 10, 'min_child_weight': 2}"
8,10,13,5,25,"{'max_depth': 10, 'min_child_weight': 3}"
9,34,27,5,34,"{'max_depth': 10, 'min_child_weight': 4}"
21,31,14,16,48,"{'max_depth': 10, 'min_child_weight': 5}"
36,9,10,36,53,"{'max_depth': 10, 'min_child_weight': 6}"
27,5,6,24,52,"{'max_depth': 12, 'min_child_weight': 1}"
21,3,7,16,48,"{'max_depth': 12, 'min_child_weight': 2}"
10,20,8,10,14,"{'max_depth': 12, 'min_child_weight': 3}"
23,12,31,16,51,"{'max_depth': 12, 'min_child_weight': 4}"
5,16,19,5,12,"{'max_depth': 12, 'min_child_weight': 5}"
29,25,23,29,29,"{'max_depth': 12, 'min_child_weight': 6}"
