rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
53,54,50,53,22,"{'max_depth': 3, 'min_child_weight': 1}"
52,51,54,52,18,"{'max_depth': 3, 'min_child_weight': 2}"
50,50,51,49,5,"{'max_depth': 3, 'min_child_weight': 3}"
51,52,53,50,9,"{'max_depth': 3, 'min_child_weight': 4}"
54,53,52,54,28,"{'max_depth': 3, 'min_child_weight': 5}"
49,49,49,50,2,"{'max_depth': 3, 'min_child_weight': 6}"
45,47,47,45,8,"{'max_depth': 4, 'min_child_weight': 1}"
48,48,44,47,14,"{'max_depth': 4, 'min_child_weight': 2}"
43,39,43,43,3,"{'max_depth': 4, 'min_child_weight': 3}"
44,45,46,44,11,"{'max_depth': 4, 'min_child_weight': 4}"
47,41,45,46,13,"{'max_depth': 4, 'min_child_weight': 5}"
46,42,48,47,4,"{'max_depth': 4, 'min_child_weight': 6}"
37,33,39,37,24,"{'max_depth': 5, 'min_child_weight': 1}"
40,10,41,39,17,"{'max_depth': 5, 'min_child_weight': 2}"
39,13,37,38,7,"{'max_depth': 5, 'min_child_weight': 3}"
38,27,40,42,1,"{'max_depth': 5, 'min_child_weight': 4}"
42,7,38,40,39,"{'max_depth': 5, 'min_child_weight': 5}"
41,46,42,40,33,"{'max_depth': 5, 'min_child_weight': 6}"
22,14,18,30,15,"{'max_depth': 6, 'min_child_weight': 1}"
33,25,34,33,16,"{'max_depth': 6, 'min_child_weight': 2}"
34,16,33,32,27,"{'max_depth': 6, 'min_child_weight': 3}"
35,9,35,35,44,"{'max_depth': 6, 'min_child_weight': 4}"
23,3,31,33,6,"{'max_depth': 6, 'min_child_weight': 5}"
36,36,36,36,45,"{'max_depth': 6, 'min_child_weight': 6}"
28,20,23,27,41,"{'max_depth': 7, 'min_child_weight': 1}"
19,28,16,19,38,"{'max_depth': 7, 'min_child_weight': 2}"
20,11,28,21,32,"{'max_depth': 7, 'min_child_weight': 3}"
31,18,26,31,26,"{'max_depth': 7, 'min_child_weight': 4}"
26,37,32,27,25,"{'max_depth': 7, 'min_child_weight': 5}"
28,40,29,27,41,"{'max_depth': 7, 'min_child_weight': 6}"
9,22,12,7,36,"{'max_depth': 8, 'min_child_weight': 1}"
18,12,7,18,37,"{'max_depth': 8, 'min_child_weight': 2}"
32,21,15,25,50,"{'max_depth': 8, 'min_child_weight': 3}"
27,8,19,23,49,"{'max_depth': 8, 'min_child_weight': 4}"
11,23,13,16,20,"{'max_depth': 8, 'min_child_weight': 5}"
21,30,25,25,21,"{'max_depth': 8, 'min_child_weight': 6}"
14,15,3,11,51,"{'max_depth': 9, 'min_child_weight': 1}"
8,26,6,5,43,"{'max_depth': 9, 'min_child_weight': 2}"
1,31,5,1,10,"{'max_depth': 9, 'min_child_weight': 3}"
25,44,22,19,53,"{'max_depth': 9, 'min_child_weight': 4}"
13,6,4,16,31,"{'max_depth': 9, 'min_child_weight': 5}"
24,38,24,24,40,"{'max_depth': 9, 'min_child_weight': 6}"
14,35,21,11,51,"{'max_depth': 10, 'min_child_weight': 1}"
6,29,11,4,35,"{'max_depth': 10, 'min_child_weight': 2}"
3,32,20,1,34,"{'max_depth': 10, 'min_child_weight': 3}"
7,34,1,7,29,"{'max_depth': 10, 'min_child_weight': 4}"
4,4,8,7,12,"{'max_depth': 10, 'min_child_weight': 5}"
16,1,14,13,47,"{'max_depth': 10, 'min_child_weight': 6}"
10,43,9,7,46,"{'max_depth': 12, 'min_child_weight': 1}"
5,24,2,5,19,"{'max_depth': 12, 'min_child_weight': 2}"
2,17,10,1,23,"{'max_depth': 12, 'min_child_weight': 3}"
16,19,27,13,47,"{'max_depth': 12, 'min_child_weight': 4}"
12,5,17,13,30,"{'max_depth': 12, 'min_child_weight': 5}"
30,2,30,21,54,"{'max_depth': 12, 'min_child_weight': 6}"
