rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
50,54,52,50,16,"{'max_depth': 3, 'min_child_weight': 1}"
49,51,50,51,15,"{'max_depth': 3, 'min_child_weight': 2}"
51,49,54,49,17,"{'max_depth': 3, 'min_child_weight': 3}"
52,52,51,51,21,"{'max_depth': 3, 'min_child_weight': 4}"
53,50,49,53,19,"{'max_depth': 3, 'min_child_weight': 5}"
54,53,53,54,24,"{'max_depth': 3, 'min_child_weight': 6}"
43,47,44,43,3,"{'max_depth': 4, 'min_child_weight': 1}"
44,45,45,44,4,"{'max_depth': 4, 'min_child_weight': 2}"
48,48,46,46,11,"{'max_depth': 4, 'min_child_weight': 3}"
45,42,43,47,2,"{'max_depth': 4, 'min_child_weight': 4}"
47,46,47,48,6,"{'max_depth': 4, 'min_child_weight': 5}"
46,44,48,45,9,"{'max_depth': 4, 'min_child_weight': 6}"
42,37,38,41,12,"{'max_depth': 5, 'min_child_weight': 1}"
21,38,40,38,1,"{'max_depth': 5, 'min_child_weight': 2}"
39,41,41,42,7,"{'max_depth': 5, 'min_child_weight': 3}"
29,39,42,39,5,"{'max_depth': 5, 'min_child_weight': 4}"
27,43,37,37,8,"{'max_depth': 5, 'min_child_weight': 5}"
34,40,39,39,10,"{'max_depth': 5, 'min_child_weight': 6}"
10,35,32,29,20,"{'max_depth': 6, 'min_child_weight': 1}"
20,26,31,33,18,"{'max_depth': 6, 'min_child_weight': 2}"
28,34,35,32,23,"{'max_depth': 6, 'min_child_weight': 3}"
40,32,34,35,31,"{'max_depth': 6, 'min_child_weight': 4}"
25,36,36,36,14,"{'max_depth': 6, 'min_child_weight': 5}"
11,28,33,34,13,"{'max_depth': 6, 'min_child_weight': 6}"
3,17,15,17,22,"{'max_depth': 7, 'min_child_weight': 1}"
21,31,27,24,35,"{'max_depth': 7, 'min_child_weight': 2}"
41,30,26,31,47,"{'max_depth': 7, 'min_child_weight': 3}"
13,2,21,22,29,"{'max_depth': 7, 'min_child_weight': 4}"
12,33,30,24,26,"{'max_depth': 7, 'min_child_weight': 5}"
32,21,28,30,27,"{'max_depth': 7, 'min_child_weight': 6}"
1,3,3,3,25,"{'max_depth': 8, 'min_child_weight': 1}"
9,1,13,8,37,"{'max_depth': 8, 'min_child_weight': 2}"
7,13,17,13,28,"{'max_depth': 8, 'min_child_weight': 3}"
26,29,29,24,40,"{'max_depth': 8, 'min_child_weight': 4}"
36,20,22,27,46,"{'max_depth': 8, 'min_child_weight': 5}"
8,7,8,8,34,"{'max_depth': 8, 'min_child_weight': 6}"
37,25,16,15,53,"{'max_depth': 9, 'min_child_weight': 1}"
17,5,19,8,44,"{'max_depth': 9, 'min_child_weight': 2}"
31,6,14,17,45,"{'max_depth': 9, 'min_child_weight': 3}"
38,4,23,17,54,"{'max_depth': 9, 'min_child_weight': 4}"
19,14,6,27,30,"{'max_depth': 9, 'min_child_weight': 5}"
23,27,25,22,39,"{'max_depth': 9, 'min_child_weight': 6}"
2,12,2,1,36,"{'max_depth': 10, 'min_child_weight': 1}"
14,11,4,8,41,"{'max_depth': 10, 'min_child_weight': 2}"
4,24,5,3,31,"{'max_depth': 10, 'min_child_weight': 3}"
14,19,18,8,41,"{'max_depth': 10, 'min_child_weight': 4}"
35,9,24,15,52,"{'max_depth': 10, 'min_child_weight': 5}"
18,8,11,17,38,"{'max_depth': 10, 'min_child_weight': 6}"
6,16,1,2,43,"{'max_depth': 12, 'min_child_weight': 1}"
24,23,7,3,51,"{'max_depth': 12, 'min_child_weight': 2}"
33,18,12,17,50,"{'max_depth': 12, 'min_child_weight': 3}"
16,22,20,3,48,"{'max_depth': 12, 'min_child_weight': 4}"
30,10,9,13,49,"{'max_depth': 12, 'min_child_weight': 5}"
4,15,10,3,31,"{'max_depth': 12, 'min_child_weight': 6}"
