rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
54,53,49,49,14,"{'max_depth': 3, 'min_child_weight': 1}"
50,50,52,53,3,"{'max_depth': 3, 'min_child_weight': 2}"
51,52,51,51,6,"{'max_depth': 3, 'min_child_weight': 3}"
53,49,54,54,4,"{'max_depth': 3, 'min_child_weight': 4}"
52,51,53,51,8,"{'max_depth': 3, 'min_child_weight': 5}"
49,54,50,49,5,"{'max_depth': 3, 'min_child_weight': 6}"
45,43,43,45,9,"{'max_depth': 4, 'min_child_weight': 1}"
44,45,44,44,2,"{'max_depth': 4, 'min_child_weight': 2}"
43,47,47,43,1,"{'max_depth': 4, 'min_child_weight': 3}"
48,44,45,46,13,"{'max_depth': 4, 'min_child_weight': 4}"
46,46,46,46,7,"{'max_depth': 4, 'min_child_weight': 5}"
47,48,48,48,10,"{'max_depth': 4, 'min_child_weight': 6}"
33,38,38,37,11,"{'max_depth': 5, 'min_child_weight': 1}"
41,24,42,40,16,"{'max_depth': 5, 'min_child_weight': 2}"
42,37,39,42,20,"{'max_depth': 5, 'min_child_weight': 3}"
38,41,37,38,19,"{'max_depth': 5, 'min_child_weight': 4}"
37,25,41,38,15,"{'max_depth': 5, 'min_child_weight': 5}"
40,40,40,41,12,"{'max_depth': 5, 'min_child_weight': 6}"
3,42,18,3,25,"{'max_depth': 6, 'min_child_weight': 1}"
36,32,26,36,31,"{'max_depth': 6, 'min_child_weight': 2}"
34,29,30,33,29,"{'max_depth': 6, 'min_child_weight': 3}"
8,35,27,9,17,"{'max_depth': 6, 'min_child_weight': 4}"
34,17,28,33,29,"{'max_depth': 6, 'min_child_weight': 5}"
30,36,35,33,18,"{'max_depth': 6, 'min_child_weight': 6}"
11,20,7,11,26,"{'max_depth': 7, 'min_child_weight': 1}"
21,14,31,16,46,"{'max_depth': 7, 'min_child_weight': 2}"
19,12,32,16,44,"{'max_depth': 7, 'min_child_weight': 3}"
39,34,36,32,54,"{'max_depth': 7, 'min_child_weight': 4}"
17,13,34,16,37,"{'max_depth': 7, 'min_child_weight': 5}"
9,18,33,9,23,"{'max_depth': 7, 'min_child_weight': 6}"
27,1,1,23,51,"{'max_depth': 8, 'min_child_weight': 1}"
4,7,8,6,20,"{'max_depth': 8, 'min_child_weight': 2}"
11,22,14,11,26,"{'max_depth': 8, 'min_child_weight': 3}"
25,30,21,29,41,"{'max_depth': 8, 'min_child_weight': 4}"
14,16,23,11,35,"{'max_depth': 8, 'min_child_weight': 5}"
20,28,29,26,39,"{'max_depth': 8, 'min_child_weight': 6}"
1,4,6,1,32,"{'max_depth': 9, 'min_child_weight': 1}"
14,11,11,11,35,"{'max_depth': 9, 'min_child_weight': 2}"
16,9,20,16,28,"{'max_depth': 9, 'min_child_weight': 3}"
7,3,12,7,22,"{'max_depth': 9, 'min_child_weight': 4}"
23,39,22,23,45,"{'max_depth': 9, 'min_child_weight': 5}"
1,31,19,1,32,"{'max_depth': 9, 'min_child_weight': 6}"
24,21,2,16,50,"{'max_depth': 10, 'min_child_weight': 1}"
13,10,17,7,43,"{'max_depth': 10, 'min_child_weight': 2}"
31,8,16,26,53,"{'max_depth': 10, 'min_child_weight': 3}"
5,27,10,3,34,"{'max_depth': 10, 'min_child_weight': 4}"
10,23,13,11,24,"{'max_depth': 10, 'min_child_weight': 5}"
17,6,4,16,37,"{'max_depth': 10, 'min_child_weight': 6}"
6,5,3,3,40,"{'max_depth': 12, 'min_child_weight': 1}"
32,15,5,29,49,"{'max_depth': 12, 'min_child_weight': 2}"
21,2,9,16,46,"{'max_depth': 12, 'min_child_weight': 3}"
27,33,15,23,51,"{'max_depth': 12, 'min_child_weight': 4}"
25,26,25,29,41,"{'max_depth': 12, 'min_child_weight': 5}"
29,19,24,26,48,"{'max_depth': 12, 'min_child_weight': 6}"
