rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
55,71,51,54,47,"{'reg_alpha': 0, 'reg_lambda': 0}"
74,67,77,77,66,"{'reg_alpha': 0, 'reg_lambda': 0.01}"
30,58,30,42,8,"{'reg_alpha': 0, 'reg_lambda': 0.02}"
18,46,20,10,36,"{'reg_alpha': 0, 'reg_lambda': 0.05}"
14,49,14,17,14,"{'reg_alpha': 0, 'reg_lambda': 0.1}"
37,52,13,23,55,"{'reg_alpha': 0, 'reg_lambda': 0.5}"
53,4,3,48,59,"{'reg_alpha': 0, 'reg_lambda': 1}"
79,55,73,74,81,"{'reg_alpha': 0, 'reg_lambda': 2}"
20,44,25,17,22,"{'reg_alpha': 0, 'reg_lambda': 3}"
70,69,69,69,65,"{'reg_alpha': 0.01, 'reg_lambda': 0}"
5,64,5,2,19,"{'reg_alpha': 0.01, 'reg_lambda': 0.01}"
68,43,40,61,73,"{'reg_alpha': 0.01, 'reg_lambda': 0.02}"
44,32,34,37,58,"{'reg_alpha': 0.01, 'reg_lambda': 0.05}"
13,35,21,10,21,"{'reg_alpha': 0.01, 'reg_lambda': 0.1}"
50,27,18,54,32,"{'reg_alpha': 0.01, 'reg_lambda': 0.5}"
41,26,7,42,27,"{'reg_alpha': 0.01, 'reg_lambda': 1}"
15,42,57,23,6,"{'reg_alpha': 0.01, 'reg_lambda': 2}"
60,9,33,54,62,"{'reg_alpha': 0.01, 'reg_lambda': 3}"
57,24,48,48,61,"{'reg_alpha': 0.02, 'reg_lambda': 0}"
81,45,70,80,80,"{'reg_alpha': 0.02, 'reg_lambda': 0.01}"
53,12,15,48,59,"{'reg_alpha': 0.02, 'reg_lambda': 0.02}"
18,15,1,10,36,"{'reg_alpha': 0.02, 'reg_lambda': 0.05}"
66,63,45,66,63,"{'reg_alpha': 0.02, 'reg_lambda': 0.1}"
74,38,55,69,79,"{'reg_alpha': 0.02, 'reg_lambda': 0.5}"
40,28,4,37,44,"{'reg_alpha': 0.02, 'reg_lambda': 1}"
37,11,22,23,55,"{'reg_alpha': 0.02, 'reg_lambda': 2}"
2,47,58,3,5,"{'reg_alpha': 0.02, 'reg_lambda': 3}"
1,81,27,1,1,"{'reg_alpha': 0.05, 'reg_lambda': 0}"
27,20,44,23,24,"{'reg_alpha': 0.05, 'reg_lambda': 0.01}"
45,60,50,42,45,"{'reg_alpha': 0.05, 'reg_lambda': 0.02}"
68,54,35,61,73,"{'reg_alpha': 0.05, 'reg_lambda': 0.05}"
71,79,78,61,78,"{'reg_alpha': 0.05, 'reg_lambda': 0.1}"
52,25,32,37,69,"{'reg_alpha': 0.05, 'reg_lambda': 0.5}"
22,73,36,23,15,"{'reg_alpha': 0.05, 'reg_lambda': 1}"
20,51,41,17,22,"{'reg_alpha': 0.05, 'reg_lambda': 2}"
78,80,72,74,76,"{'reg_alpha': 0.05, 'reg_lambda': 3}"
6,68,37,3,10,"{'reg_alpha': 0.1, 'reg_lambda': 0}"
3,39,2,5,3,"{'reg_alpha': 0.1, 'reg_lambda': 0.01}"
25,70,39,17,38,"{'reg_alpha': 0.1, 'reg_lambda': 0.02}"
50,74,74,54,32,"{'reg_alpha': 0.1, 'reg_lambda': 0.05}"
9,29,6,10,11,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
27,65,17,23,24,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
7,17,24,17,2,"{'reg_alpha': 0.1, 'reg_lambda': 1}"
8,14,49,5,20,"{'reg_alpha': 0.1, 'reg_lambda': 2}"
66,5,56,66,63,"{'reg_alpha': 0.1, 'reg_lambda': 3}"
31,1,52,23,40,"{'reg_alpha': 0.5, 'reg_lambda': 0}"
31,2,9,23,40,"{'reg_alpha': 0.5, 'reg_lambda': 0.01}"
37,33,42,23,55,"{'reg_alpha': 0.5, 'reg_lambda': 0.02}"
49,13,10,23,68,"{'reg_alpha': 0.5, 'reg_lambda': 0.05}"
12,48,8,5,35,"{'reg_alpha': 0.5, 'reg_lambda': 0.1}"
41,53,54,42,27,"{'reg_alpha': 0.5, 'reg_lambda': 0.5}"
9,21,29,10,11,"{'reg_alpha': 0.5, 'reg_lambda': 1}"
9,61,65,10,11,"{'reg_alpha': 0.5, 'reg_lambda': 2}"
45,59,59,42,45,"{'reg_alpha': 0.5, 'reg_lambda': 3}"
35,23,11,37,26,"{'reg_alpha': 1, 'reg_lambda': 0}"
47,10,53,48,30,"{'reg_alpha': 1, 'reg_lambda': 0.01}"
22,3,47,23,15,"{'reg_alpha': 1, 'reg_lambda': 0.02}"
29,37,26,37,17,"{'reg_alpha': 1, 'reg_lambda': 0.05}"
31,19,23,23,40,"{'reg_alpha': 1, 'reg_lambda': 0.1}"
55,75,19,54,47,"{'reg_alpha': 1, 'reg_lambda': 0.5}"
17,8,38,5,53,"{'reg_alpha': 1, 'reg_lambda': 1}"
24,34,12,10,54,"{'reg_alpha': 1, 'reg_lambda': 2}"
74,6,28,74,71,"{'reg_alpha': 1, 'reg_lambda': 3}"
65,62,63,54,72,"{'reg_alpha': 2, 'reg_lambda': 0}"
72,16,46,69,75,"{'reg_alpha': 2, 'reg_lambda': 0.01}"
31,36,43,23,40,"{'reg_alpha': 2, 'reg_lambda': 0.02}"
47,22,66,48,30,"{'reg_alpha': 2, 'reg_lambda': 0.05}"
64,78,76,54,70,"{'reg_alpha': 2, 'reg_lambda': 0.1}"
36,41,68,48,9,"{'reg_alpha': 2, 'reg_lambda': 0.5}"
25,72,61,17,38,"{'reg_alpha': 2, 'reg_lambda': 1}"
62,57,64,69,34,"{'reg_alpha': 2, 'reg_lambda': 2}"
58,7,16,61,49,"{'reg_alpha': 2, 'reg_lambda': 3}"
58,76,80,61,49,"{'reg_alpha': 3, 'reg_lambda': 0}"
74,50,71,77,66,"{'reg_alpha': 3, 'reg_lambda': 0.01}"
63,30,75,73,18,"{'reg_alpha': 3, 'reg_lambda': 0.02}"
73,40,79,79,52,"{'reg_alpha': 3, 'reg_lambda': 0.05}"
41,66,62,42,27,"{'reg_alpha': 3, 'reg_lambda': 0.1}"
3,56,60,5,3,"{'reg_alpha': 3, 'reg_lambda': 0.5}"
15,18,31,23,6,"{'reg_alpha': 3, 'reg_lambda': 1}"
80,77,81,81,77,"{'reg_alpha': 3, 'reg_lambda': 2}"
61,31,67,66,51,"{'reg_alpha': 3, 'reg_lambda': 3}"
