rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
50,51,52,49,15,"{'max_depth': 3, 'min_child_weight': 1}"
53,52,54,52,28,"{'max_depth': 3, 'min_child_weight': 2}"
52,53,51,51,10,"{'max_depth': 3, 'min_child_weight': 3}"
49,49,49,50,2,"{'max_depth': 3, 'min_child_weight': 4}"
51,50,50,52,1,"{'max_depth': 3, 'min_child_weight': 5}"
54,54,53,54,19,"{'max_depth': 3, 'min_child_weight': 6}"
48,48,44,47,31,"{'max_depth': 4, 'min_child_weight': 1}"
46,46,47,46,5,"{'max_depth': 4, 'min_child_weight': 2}"
45,41,46,45,4,"{'max_depth': 4, 'min_child_weight': 3}"
47,47,48,47,6,"{'max_depth': 4, 'min_child_weight': 4}"
44,40,45,43,7,"{'max_depth': 4, 'min_child_weight': 5}"
43,32,43,43,3,"{'max_depth': 4, 'min_child_weight': 6}"
40,38,33,39,50,"{'max_depth': 5, 'min_child_weight': 1}"
41,33,39,41,32,"{'max_depth': 5, 'min_child_weight': 2}"
34,45,36,34,21,"{'max_depth': 5, 'min_child_weight': 3}"
42,43,42,42,33,"{'max_depth': 5, 'min_child_weight': 4}"
39,30,31,40,14,"{'max_depth': 5, 'min_child_weight': 5}"
31,44,41,34,13,"{'max_depth': 5, 'min_child_weight': 6}"
9,36,18,6,35,"{'max_depth': 6, 'min_child_weight': 1}"
5,39,16,6,9,"{'max_depth': 6, 'min_child_weight': 2}"
34,42,40,34,21,"{'max_depth': 6, 'min_child_weight': 3}"
4,19,26,3,17,"{'max_depth': 6, 'min_child_weight': 4}"
8,29,28,11,11,"{'max_depth': 6, 'min_child_weight': 5}"
38,37,34,38,23,"{'max_depth': 6, 'min_child_weight': 6}"
2,35,22,1,34,"{'max_depth': 7, 'min_child_weight': 1}"
6,28,29,3,42,"{'max_depth': 7, 'min_child_weight': 2}"
36,14,11,31,54,"{'max_depth': 7, 'min_child_weight': 3}"
19,21,4,24,12,"{'max_depth': 7, 'min_child_weight': 4}"
17,34,38,18,29,"{'max_depth': 7, 'min_child_weight': 5}"
28,1,7,27,48,"{'max_depth': 7, 'min_child_weight': 6}"
23,13,10,18,44,"{'max_depth': 8, 'min_child_weight': 1}"
23,25,20,18,44,"{'max_depth': 8, 'min_child_weight': 2}"
10,16,19,6,43,"{'max_depth': 8, 'min_child_weight': 3}"
11,7,25,11,25,"{'max_depth': 8, 'min_child_weight': 4}"
23,24,32,18,44,"{'max_depth': 8, 'min_child_weight': 5}"
11,23,17,11,25,"{'max_depth': 8, 'min_child_weight': 6}"
18,3,6,11,52,"{'max_depth': 9, 'min_child_weight': 1}"
7,9,5,6,24,"{'max_depth': 9, 'min_child_weight': 2}"
15,20,21,11,36,"{'max_depth': 9, 'min_child_weight': 3}"
22,16,37,24,18,"{'max_depth': 9, 'min_child_weight': 4}"
20,22,13,18,38,"{'max_depth': 9, 'min_child_weight': 5}"
37,15,35,37,30,"{'max_depth': 9, 'min_child_weight': 6}"
32,8,12,31,40,"{'max_depth': 10, 'min_child_weight': 1}"
20,26,27,18,38,"{'max_depth': 10, 'min_child_weight': 2}"
30,18,24,27,53,"{'max_depth': 10, 'min_child_weight': 3}"
1,2,3,1,16,"{'max_depth': 10, 'min_child_weight': 4}"
32,31,30,31,40,"{'max_depth': 10, 'min_child_weight': 5}"
11,4,9,11,25,"{'max_depth': 10, 'min_child_weight': 6}"
14,10,2,6,51,"{'max_depth': 12, 'min_child_weight': 1}"
27,11,15,24,47,"{'max_depth': 12, 'min_child_weight': 2}"
2,5,1,3,8,"{'max_depth': 12, 'min_child_weight': 3}"
15,6,8,11,36,"{'max_depth': 12, 'min_child_weight': 4}"
28,12,14,27,48,"{'max_depth': 12, 'min_child_weight': 5}"
26,27,23,27,20,"{'max_depth': 12, 'min_child_weight': 6}"
