rank_test_f1,mean_test_f1,std_test_f1,rank_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_accuracy,mean_test_accuracy,std_test_accuracy,params
133,0.8818974107481011,0.1678056418471785,1,0.9346806642456482,0.09395258893114114,1,0.9329751369062178,0.08747395687369583,133,0.9082299270072992,0.11796649111393423,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 50, 'predictors': 'xgboost', 'use_predictor': True}"
134,0.8818974107481011,0.1678056418471785,2,0.9346806642456482,0.09395258893114114,2,0.9329751369062178,0.08747395687369583,134,0.9082299270072992,0.11796649111393423,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 50, 'predictors': 'lightgbm', 'use_predictor': True}"
135,0.8818974107481011,0.1678056418471785,3,0.9346806642456482,0.09395258893114114,3,0.9329751369062178,0.08747395687369583,135,0.9082299270072992,0.11796649111393423,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 50, 'predictors': 'forest', 'use_predictor': True}"
136,0.8854990173969522,0.17429839983614634,10,0.9461543021030467,0.08094665145288799,13,0.9462483350315717,0.07346971898449992,136,0.9129379562043795,0.12081338576842422,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 100, 'predictors': 'xgboost', 'use_predictor': True}"
137,0.8854990173969522,0.17429839983614634,11,0.9461543021030467,0.08094665145288799,14,0.9462483350315717,0.07346971898449992,137,0.9129379562043795,0.12081338576842422,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 100, 'predictors': 'lightgbm', 'use_predictor': True}"
138,0.8854990173969522,0.17429839983614634,12,0.9461543021030467,0.08094665145288799,15,0.9462483350315717,0.07346971898449992,138,0.9129379562043795,0.12081338576842422,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 100, 'predictors': 'forest', 'use_predictor': True}"
139,0.8849143588228634,0.177945132765207,4,0.9492451732807785,0.07873267539031371,4,0.9496362745946175,0.06966661988577201,139,0.9135583941605839,0.122017247204114,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 150, 'predictors': 'xgboost', 'use_predictor': True}"
140,0.8849143588228634,0.177945132765207,5,0.9492451732807785,0.07873267539031371,5,0.9496362745946175,0.06966661988577201,140,0.9135583941605839,0.122017247204114,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 150, 'predictors': 'lightgbm', 'use_predictor': True}"
141,0.8849143588228634,0.177945132765207,6,0.9492451732807785,0.07873267539031371,6,0.9496362745946175,0.06966661988577201,141,0.9135583941605839,0.122017247204114,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 150, 'predictors': 'forest', 'use_predictor': True}"
142,0.8878870871941908,0.1732192174608607,7,0.9509157373397354,0.07585944778076022,7,0.9511126893054123,0.0674533872271506,142,0.9151094890510949,0.11987093630822405,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 200, 'predictors': 'xgboost', 'use_predictor': True}"
