rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
187,169,181,187,187,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 50}"
1,133,151,1,1,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 100}"
13,151,157,13,13,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 150}"
109,115,109,109,109,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 200}"
43,31,67,43,43,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 250}"
109,145,145,109,109,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 300}"
85,85,97,85,85,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 400}"
151,187,187,145,151,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 50}"
187,163,163,187,187,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 100}"
145,13,25,145,145,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 150}"
91,1,1,85,91,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 200}"
43,25,13,43,43,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 250}"
13,7,7,13,13,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 300}"
13,19,19,13,13,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 400}"
187,199,199,187,187,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 50}"
91,79,115,85,91,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 100}"
109,91,85,109,109,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 150}"
91,67,31,85,91,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 200}"
43,43,37,43,43,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 250}"
67,55,55,67,67,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 300}"
13,37,43,13,13,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 400}"
151,193,193,145,151,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 50}"
151,175,169,145,151,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 100}"
109,97,91,109,109,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 150}"
