rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
125,145,65,186,146,"{'max_bin': 5, 'min_child_samples': 10}"
329,115,78,220,364,"{'max_bin': 5, 'min_child_samples': 20}"
28,89,20,15,165,"{'max_bin': 5, 'min_child_samples': 30}"
447,384,261,186,491,"{'max_bin': 5, 'min_child_samples': 40}"
151,217,197,186,186,"{'max_bin': 5, 'min_child_samples': 50}"
168,142,328,124,260,"{'max_bin': 5, 'min_child_samples': 60}"
127,483,199,28,345,"{'max_bin': 5, 'min_child_samples': 70}"
11,67,42,9,130,"{'max_bin': 5, 'min_child_samples': 80}"
469,510,461,391,419,"{'max_bin': 5, 'min_child_samples': 90}"
49,495,183,55,139,"{'max_bin': 5, 'min_child_samples': 100}"
85,466,176,55,216,"{'max_bin': 5, 'min_child_samples': 110}"
388,407,418,257,410,"{'max_bin': 5, 'min_child_samples': 120}"
13,477,271,28,70,"{'max_bin': 5, 'min_child_samples': 130}"
463,414,412,338,453,"{'max_bin': 5, 'min_child_samples': 140}"
394,468,437,321,376,"{'max_bin': 5, 'min_child_samples': 150}"
203,505,359,124,306,"{'max_bin': 5, 'min_child_samples': 160}"
121,382,483,220,115,"{'max_bin': 5, 'min_child_samples': 170}"
409,517,482,465,212,"{'max_bin': 5, 'min_child_samples': 180}"
355,304,435,490,102,"{'max_bin': 5, 'min_child_samples': 190}"
301,122,419,481,71,"{'max_bin': 5, 'min_child_samples': 200}"
1,25,1,9,31,"{'max_bin': 15, 'min_child_samples': 10}"
124,282,34,96,224,"{'max_bin': 15, 'min_child_samples': 20}"
107,69,17,28,287,"{'max_bin': 15, 'min_child_samples': 30}"
426,166,82,257,446,"{'max_bin': 15, 'min_child_samples': 40}"
399,369,8,220,443,"{'max_bin': 15, 'min_child_samples': 50}"
85,305,40,55,216,"{'max_bin': 15, 'min_child_samples': 60}"
35,504,81,28,133,"{'max_bin': 15, 'min_child_samples': 70}"
168,164,84,124,260,"{'max_bin': 15, 'min_child_samples': 80}"
64,463,5,55,175,"{'max_bin': 15, 'min_child_samples': 90}"
431,426,64,321,415,"{'max_bin': 15, 'min_child_samples': 100}"
85,292,55,55,216,"{'max_bin': 15, 'min_child_samples': 110}"
40,514,59,42,136,"{'max_bin': 15, 'min_child_samples': 120}"
421,470,206,338,380,"{'max_bin': 15, 'min_child_samples': 130}"
360,507,212,321,330,"{'max_bin': 15, 'min_child_samples': 140}"
195,135,142,257,189,"{'max_bin': 15, 'min_child_samples': 150}"
266,492,127,338,194,"{'max_bin': 15, 'min_child_samples': 160}"
219,451,215,291,191,"{'max_bin': 15, 'min_child_samples': 170}"
132,161,260,257,116,"{'max_bin': 15, 'min_child_samples': 180}"
9,435,168,55,18,"{'max_bin': 15, 'min_child_samples': 190}"
145,436,367,391,47,"{'max_bin': 15, 'min_child_samples': 200}"
435,30,138,220,476,"{'max_bin': 25, 'min_child_samples': 10}"
466,340,39,257,493,"{'max_bin': 25, 'min_child_samples': 20}"
388,86,217,257,410,"{'max_bin': 25, 'min_child_samples': 30}"
255,344,46,186,316,"{'max_bin': 25, 'min_child_samples': 40}"
201,90,58,55,390,"{'max_bin': 25, 'min_child_samples': 50}"
22,4,88,9,160,"{'max_bin': 25, 'min_child_samples': 60}"
466,176,177,257,493,"{'max_bin': 25, 'min_child_samples': 70}"
477,377,110,291,496,"{'max_bin': 25, 'min_child_samples': 80}"
38,237,15,15,211,"{'max_bin': 25, 'min_child_samples': 90}"
99,18,136,42,253,"{'max_bin': 25, 'min_child_samples': 100}"
219,7,35,186,267,"{'max_bin': 25, 'min_child_samples': 110}"
5,152,79,28,35,"{'max_bin': 25, 'min_child_samples': 120}"
160,214,251,257,149,"{'max_bin': 25, 'min_child_samples': 130}"
62,50,195,157,79,"{'max_bin': 25, 'min_child_samples': 140}"
160,21,114,257,149,"{'max_bin': 25, 'min_child_samples': 150}"
32,163,182,124,37,"{'max_bin': 25, 'min_child_samples': 160}"
284,55,193,391,156,"{'max_bin': 25, 'min_child_samples': 170}"
496,273,444,510,299,"{'max_bin': 25, 'min_child_samples': 180}"
112,88,442,372,26,"{'max_bin': 25, 'min_child_samples': 190}"
2,269,156,96,1,"{'max_bin': 25, 'min_child_samples': 200}"
297,279,313,124,400,"{'max_bin': 35, 'min_child_samples': 10}"
335,326,319,124,436,"{'max_bin': 35, 'min_child_samples': 20}"
281,453,108,75,430,"{'max_bin': 35, 'min_child_samples': 30}"
41,378,52,9,246,"{'max_bin': 35, 'min_child_samples': 40}"
28,458,201,15,165,"{'max_bin': 35, 'min_child_samples': 50}"
304,372,166,186,360,"{'max_bin': 35, 'min_child_samples': 60}"
31,325,67,1,274,"{'max_bin': 35, 'min_child_samples': 70}"
321,108,285,157,403,"{'max_bin': 35, 'min_child_samples': 80}"
168,179,63,124,260,"{'max_bin': 35, 'min_child_samples': 90}"
241,443,368,220,269,"{'max_bin': 35, 'min_child_samples': 100}"
360,482,273,321,330,"{'max_bin': 35, 'min_child_samples': 110}"
43,5,274,96,77,"{'max_bin': 35, 'min_child_samples': 120}"
319,241,401,257,327,"{'max_bin': 35, 'min_child_samples': 130}"
139,68,292,124,225,"{'max_bin': 35, 'min_child_samples': 140}"
70,110,415,186,81,"{'max_bin': 35, 'min_child_samples': 150}"
19,390,470,124,19,"{'max_bin': 35, 'min_child_samples': 160}"
145,380,452,391,47,"{'max_bin': 35, 'min_child_samples': 170}"
134,261,411,338,58,"{'max_bin': 35, 'min_child_samples': 180}"
381,349,507,465,168,"{'max_bin': 35, 'min_child_samples': 190}"
39,171,375,257,14,"{'max_bin': 35, 'min_child_samples': 200}"
149,148,75,96,258,"{'max_bin': 45, 'min_child_samples': 10}"
35,515,41,28,133,"{'max_bin': 45, 'min_child_samples': 20}"
308,91,170,96,432,"{'max_bin': 45, 'min_child_samples': 30}"
450,104,145,257,479,"{'max_bin': 45, 'min_child_samples': 40}"
442,321,230,291,450,"{'max_bin': 45, 'min_child_samples': 50}"
212,421,90,42,427,"{'max_bin': 45, 'min_child_samples': 60}"
75,210,25,75,176,"{'max_bin': 45, 'min_child_samples': 70}"
289,111,203,220,319,"{'max_bin': 45, 'min_child_samples': 80}"
203,490,231,124,306,"{'max_bin': 45, 'min_child_samples': 90}"
321,361,229,157,403,"{'max_bin': 45, 'min_child_samples': 100}"
231,300,238,157,311,"{'max_bin': 45, 'min_child_samples': 110}"
149,235,131,96,258,"{'max_bin': 45, 'min_child_samples': 120}"
374,140,330,372,274,"{'max_bin': 45, 'min_child_samples': 130}"
130,339,172,157,184,"{'max_bin': 45, 'min_child_samples': 140}"
317,413,334,424,158,"{'max_bin': 45, 'min_child_samples': 150}"
54,422,147,220,41,"{'max_bin': 45, 'min_child_samples': 160}"
126,366,424,291,84,"{'max_bin': 45, 'min_child_samples': 170}"
162,353,439,338,86,"{'max_bin': 45, 'min_child_samples': 180}"
423,259,457,458,248,"{'max_bin': 45, 'min_child_samples': 190}"
344,113,493,500,74,"{'max_bin': 45, 'min_child_samples': 200}"
66,459,23,15,282,"{'max_bin': 55, 'min_child_samples': 10}"
177,425,22,42,388,"{'max_bin': 55, 'min_child_samples': 20}"
275,71,103,157,354,"{'max_bin': 55, 'min_child_samples': 30}"
275,60,36,157,354,"{'max_bin': 55, 'min_child_samples': 40}"
245,58,43,55,429,"{'max_bin': 55, 'min_child_samples': 50}"
24,336,28,6,208,"{'max_bin': 55, 'min_child_samples': 60}"
85,408,232,55,216,"{'max_bin': 55, 'min_child_samples': 70}"
114,191,101,75,222,"{'max_bin': 55, 'min_child_samples': 80}"
482,427,277,338,483,"{'max_bin': 55, 'min_child_samples': 90}"
102,433,149,96,181,"{'max_bin': 55, 'min_child_samples': 100}"
48,375,112,157,56,"{'max_bin': 55, 'min_child_samples': 110}"
249,439,225,291,235,"{'max_bin': 55, 'min_child_samples': 120}"
37,242,105,157,40,"{'max_bin': 55, 'min_child_samples': 130}"
10,444,355,96,12,"{'max_bin': 55, 'min_child_samples': 140}"
458,301,307,510,181,"{'max_bin': 55, 'min_child_samples': 150}"
212,488,269,372,121,"{'max_bin': 55, 'min_child_samples': 160}"
25,189,314,186,13,"{'max_bin': 55, 'min_child_samples': 170}"
198,95,357,424,65,"{'max_bin': 55, 'min_child_samples': 180}"
339,351,447,442,160,"{'max_bin': 55, 'min_child_samples': 190}"
339,460,516,442,160,"{'max_bin': 55, 'min_child_samples': 200}"
190,33,21,28,426,"{'max_bin': 65, 'min_child_samples': 10}"
119,70,130,55,255,"{'max_bin': 65, 'min_child_samples': 20}"
500,212,66,291,510,"{'max_bin': 65, 'min_child_samples': 30}"
57,102,19,28,214,"{'max_bin': 65, 'min_child_samples': 40}"
212,77,47,42,427,"{'max_bin': 65, 'min_child_samples': 50}"
178,420,209,96,299,"{'max_bin': 65, 'min_child_samples': 60}"
411,449,293,186,469,"{'max_bin': 65, 'min_child_samples': 70}"
68,51,44,42,215,"{'max_bin': 65, 'min_child_samples': 80}"
203,62,282,124,306,"{'max_bin': 65, 'min_child_samples': 90}"
119,520,431,55,255,"{'max_bin': 65, 'min_child_samples': 100}"
329,207,220,220,364,"{'max_bin': 65, 'min_child_samples': 110}"
142,387,326,220,147,"{'max_bin': 65, 'min_child_samples': 120}"
384,277,372,338,334,"{'max_bin': 65, 'min_child_samples': 130}"
101,100,246,321,45,"{'max_bin': 65, 'min_child_samples': 140}"
264,192,425,424,128,"{'max_bin': 65, 'min_child_samples': 150}"
485,15,379,481,345,"{'max_bin': 65, 'min_child_samples': 160}"
209,376,394,391,89,"{'max_bin': 65, 'min_child_samples': 170}"
337,17,465,481,100,"{'max_bin': 65, 'min_child_samples': 180}"
165,374,468,465,16,"{'max_bin': 65, 'min_child_samples': 190}"
32,345,364,124,37,"{'max_bin': 65, 'min_child_samples': 200}"
53,169,14,42,172,"{'max_bin': 75, 'min_child_samples': 10}"
346,297,6,186,406,"{'max_bin': 75, 'min_child_samples': 20}"
486,250,233,391,456,"{'max_bin': 75, 'min_child_samples': 30}"
122,264,26,42,292,"{'max_bin': 75, 'min_child_samples': 40}"
12,131,9,6,158,"{'max_bin': 75, 'min_child_samples': 50}"
44,66,86,28,169,"{'max_bin': 75, 'min_child_samples': 60}"
167,371,257,55,349,"{'max_bin': 75, 'min_child_samples': 70}"
20,202,56,42,72,"{'max_bin': 75, 'min_child_samples': 80}"
321,289,327,157,403,"{'max_bin': 75, 'min_child_samples': 90}"
85,403,76,55,216,"{'max_bin': 75, 'min_child_samples': 100}"
75,262,198,75,176,"{'max_bin': 75, 'min_child_samples': 110}"
343,78,221,291,329,"{'max_bin': 75, 'min_child_samples': 120}"
56,291,250,96,108,"{'max_bin': 75, 'min_child_samples': 130}"
248,354,256,372,155,"{'max_bin': 75, 'min_child_samples': 140}"
286,159,191,321,241,"{'max_bin': 75, 'min_child_samples': 150}"
490,478,316,465,387,"{'max_bin': 75, 'min_child_samples': 160}"
123,412,459,391,28,"{'max_bin': 75, 'min_child_samples': 170}"
339,392,354,442,160,"{'max_bin': 75, 'min_child_samples': 180}"
266,485,390,338,194,"{'max_bin': 75, 'min_child_samples': 190}"
58,359,490,391,5,"{'max_bin': 75, 'min_child_samples': 200}"
66,26,18,15,282,"{'max_bin': 85, 'min_child_samples': 10}"
258,243,132,96,395,"{'max_bin': 85, 'min_child_samples': 20}"
369,352,204,124,463,"{'max_bin': 85, 'min_child_samples': 30}"
98,233,174,15,342,"{'max_bin': 85, 'min_child_samples': 40}"
107,518,137,28,287,"{'max_bin': 85, 'min_child_samples': 50}"
249,450,213,291,235,"{'max_bin': 85, 'min_child_samples': 60}"
275,222,343,157,354,"{'max_bin': 85, 'min_child_samples': 70}"
231,138,167,157,311,"{'max_bin': 85, 'min_child_samples': 80}"
45,271,281,75,105,"{'max_bin': 85, 'min_child_samples': 90}"
168,418,237,124,260,"{'max_bin': 85, 'min_child_samples': 100}"
494,53,296,391,484,"{'max_bin': 85, 'min_child_samples': 110}"
18,157,259,55,54,"{'max_bin': 85, 'min_child_samples': 120}"
207,231,275,220,233,"{'max_bin': 85, 'min_child_samples': 130}"
266,513,302,338,194,"{'max_bin': 85, 'min_child_samples': 140}"
