rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
20,16,14,35,60,"{'max_depth': -1, 'num_leaves': 221}"
8,8,57,11,56,"{'max_depth': -1, 'num_leaves': 231}"
11,43,46,5,82,"{'max_depth': -1, 'num_leaves': 241}"
39,32,35,29,116,"{'max_depth': -1, 'num_leaves': 251}"
41,6,9,42,87,"{'max_depth': -1, 'num_leaves': 261}"
27,3,15,16,112,"{'max_depth': -1, 'num_leaves': 271}"
14,18,25,5,95,"{'max_depth': -1, 'num_leaves': 281}"
24,12,2,16,105,"{'max_depth': -1, 'num_leaves': 291}"
32,1,11,16,119,"{'max_depth': -1, 'num_leaves': 301}"
48,38,54,29,138,"{'max_depth': -1, 'num_leaves': 311}"
59,20,5,39,141,"{'max_depth': -1, 'num_leaves': 321}"
16,56,3,11,85,"{'max_depth': -1, 'num_leaves': 331}"
4,85,7,1,93,"{'max_depth': -1, 'num_leaves': 341}"
20,15,13,35,60,"{'max_depth': 0, 'num_leaves': 221}"
8,9,58,11,56,"{'max_depth': 0, 'num_leaves': 231}"
11,42,44,5,82,"{'max_depth': 0, 'num_leaves': 241}"
39,31,36,29,116,"{'max_depth': 0, 'num_leaves': 251}"
41,5,10,42,87,"{'max_depth': 0, 'num_leaves': 261}"
27,4,16,16,112,"{'max_depth': 0, 'num_leaves': 271}"
14,17,23,5,95,"{'max_depth': 0, 'num_leaves': 281}"
24,11,1,16,105,"{'max_depth': 0, 'num_leaves': 291}"
32,2,12,16,119,"{'max_depth': 0, 'num_leaves': 301}"
48,37,53,29,138,"{'max_depth': 0, 'num_leaves': 311}"
59,21,6,39,141,"{'max_depth': 0, 'num_leaves': 321}"
16,57,4,11,85,"{'max_depth': 0, 'num_leaves': 331}"
4,83,8,1,93,"{'max_depth': 0, 'num_leaves': 341}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 221}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 231}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 241}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 251}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 261}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 271}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 281}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 291}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 301}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 311}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 321}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 331}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 341}"
144,154,154,144,144,"{'max_depth': 4, 'num_leaves': 221}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 231}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 241}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 251}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 261}"
144,154,154,144,144,"{'max_depth': 4, 'num_leaves': 271}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 281}"
144,154,154,144,144,"{'max_depth': 4, 'num_leaves': 291}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 301}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 311}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 321}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 331}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 341}"
131,140,140,131,125,"{'max_depth': 5, 'num_leaves': 221}"
131,131,131,131,125,"{'max_depth': 5, 'num_leaves': 231}"
131,131,131,131,125,"{'max_depth': 5, 'num_leaves': 241}"
131,131,131,131,125,"{'max_depth': 5, 'num_leaves': 251}"
131,143,143,131,125,"{'max_depth': 5, 'num_leaves': 261}"
131,131,131,131,125,"{'max_depth': 5, 'num_leaves': 271}"
131,131,131,131,125,"{'max_depth': 5, 'num_leaves': 281}"
131,131,131,131,125,"{'max_depth': 5, 'num_leaves': 291}"
131,131,131,131,125,"{'max_depth': 5, 'num_leaves': 301}"
131,139,139,131,125,"{'max_depth': 5, 'num_leaves': 311}"
131,140,140,131,125,"{'max_depth': 5, 'num_leaves': 321}"
131,131,131,131,125,"{'max_depth': 5, 'num_leaves': 331}"
131,140,140,131,125,"{'max_depth': 5, 'num_leaves': 341}"
119,121,121,119,11,"{'max_depth': 6, 'num_leaves': 221}"
119,125,128,119,11,"{'max_depth': 6, 'num_leaves': 231}"
119,119,120,119,11,"{'max_depth': 6, 'num_leaves': 241}"
119,128,125,119,11,"{'max_depth': 6, 'num_leaves': 251}"
119,130,130,119,11,"{'max_depth': 6, 'num_leaves': 261}"
119,123,124,119,11,"{'max_depth': 6, 'num_leaves': 271}"
118,118,118,118,37,"{'max_depth': 6, 'num_leaves': 281}"
119,124,123,119,11,"{'max_depth': 6, 'num_leaves': 291}"
119,127,127,119,11,"{'max_depth': 6, 'num_leaves': 301}"
119,128,125,119,11,"{'max_depth': 6, 'num_leaves': 311}"
119,126,129,119,11,"{'max_depth': 6, 'num_leaves': 321}"
119,122,122,119,11,"{'max_depth': 6, 'num_leaves': 331}"
119,120,119,119,11,"{'max_depth': 6, 'num_leaves': 341}"
109,95,109,109,23,"{'max_depth': 7, 'num_leaves': 221}"
109,101,115,109,23,"{'max_depth': 7, 'num_leaves': 231}"
109,98,110,109,23,"{'max_depth': 7, 'num_leaves': 241}"
109,103,117,109,23,"{'max_depth': 7, 'num_leaves': 251}"
109,99,116,109,23,"{'max_depth': 7, 'num_leaves': 261}"
105,91,105,105,1,"{'max_depth': 7, 'num_leaves': 271}"
105,92,107,105,1,"{'max_depth': 7, 'num_leaves': 281}"
105,92,106,105,1,"{'max_depth': 7, 'num_leaves': 291}"
109,97,111,109,23,"{'max_depth': 7, 'num_leaves': 301}"
109,95,112,109,23,"{'max_depth': 7, 'num_leaves': 311}"
109,100,113,109,23,"{'max_depth': 7, 'num_leaves': 321}"
108,94,108,108,4,"{'max_depth': 7, 'num_leaves': 331}"
109,102,114,109,23,"{'max_depth': 7, 'num_leaves': 341}"
101,77,94,101,39,"{'max_depth': 8, 'num_leaves': 221}"
92,115,98,92,35,"{'max_depth': 8, 'num_leaves': 231}"
94,67,100,97,7,"{'max_depth': 8, 'num_leaves': 241}"
94,69,102,97,7,"{'max_depth': 8, 'num_leaves': 251}"
101,80,97,101,39,"{'max_depth': 8, 'num_leaves': 261}"
94,70,101,97,7,"{'max_depth': 8, 'num_leaves': 271}"
101,79,96,101,39,"{'max_depth': 8, 'num_leaves': 281}"
99,108,92,95,46,"{'max_depth': 8, 'num_leaves': 291}"
98,71,104,94,45,"{'max_depth': 8, 'num_leaves': 301}"
99,109,93,95,46,"{'max_depth': 8, 'num_leaves': 311}"
92,114,99,92,35,"{'max_depth': 8, 'num_leaves': 321}"
101,78,95,101,39,"{'max_depth': 8, 'num_leaves': 331}"
94,68,103,97,7,"{'max_depth': 8, 'num_leaves': 341}"
80,111,87,89,33,"{'max_depth': 9, 'num_leaves': 221}"
52,81,78,71,5,"{'max_depth': 9, 'num_leaves': 231}"
81,117,90,82,54,"{'max_depth': 9, 'num_leaves': 241}"
74,46,84,76,58,"{'max_depth': 9, 'num_leaves': 251}"
82,59,85,81,69,"{'max_depth': 9, 'num_leaves': 261}"
87,55,91,84,71,"{'max_depth': 9, 'num_leaves': 271}"
87,58,88,84,71,"{'max_depth': 9, 'num_leaves': 281}"
85,104,89,89,49,"{'max_depth': 9, 'num_leaves': 291}"
83,22,81,89,44,"{'max_depth': 9, 'num_leaves': 301}"
89,75,86,86,63,"{'max_depth': 9, 'num_leaves': 311}"
79,113,83,82,48,"{'max_depth': 9, 'num_leaves': 321}"
90,64,80,86,89,"{'max_depth': 9, 'num_leaves': 331}"
