rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
87,45,72,107,82,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 0}"
70,139,41,76,56,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 10}"
13,78,33,18,9,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 20}"
79,130,132,76,77,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 30}"
40,119,70,34,47,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 40}"
114,222,175,150,62,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 50}"
214,221,199,222,157,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 60}"
85,205,139,130,60,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 70}"
175,86,155,201,154,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 80}"
87,48,75,107,82,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 0}"
77,225,206,107,58,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 10}"
147,145,202,165,126,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 20}"
215,91,141,217,198,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 30}"
149,85,113,150,142,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 40}"
13,73,14,18,9,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 50}"
178,80,101,183,175,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 60}"
77,18,24,107,58,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 70}"
178,202,142,183,175,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 80}"
87,49,71,107,82,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 0}"
97,223,133,76,100,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 10}"
62,215,123,49,73,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 20}"
62,26,49,65,54,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 30}"
10,62,4,8,21,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 40}"
36,204,23,18,65,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 50}"
10,131,13,8,21,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 60}"
125,206,54,65,158,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 70}"
2,58,11,2,3,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 80}"
87,50,78,107,82,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 0}"
220,21,137,217,213,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 10}"
137,142,143,150,124,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 20}"
221,210,171,165,225,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 30}"
144,10,10,107,165,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 40}"
28,144,158,18,46,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 50}"
170,224,203,150,200,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 60}"
173,216,208,130,215,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 70}"
133,219,127,76,162,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 80}"
156,155,209,130,168,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 0}"
156,151,210,130,168,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 10}"
156,153,213,130,168,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 20}"
87,46,76,107,82,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 30}"
156,154,212,130,168,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 40}"
87,51,74,107,82,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 50}"
87,46,73,107,82,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 60}"
87,52,77,107,82,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 70}"
156,152,211,130,168,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 80}"
97,162,85,76,100,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 0}"
19,132,26,18,17,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 10}"
156,16,45,130,168,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 20}"
47,214,150,76,13,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 30}"
166,189,157,217,95,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 40}"
136,20,42,201,42,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 50}"
26,100,122,49,11,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 60}"
29,76,55,34,27,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 70}"
35,7,39,49,19,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 80}"
97,172,89,76,100,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 0}"
60,53,61,65,37,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 10}"
40,117,112,34,47,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 20}"
16,122,25,8,44,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 30}"
52,55,46,34,69,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 40}"
2,14,19,2,3,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 50}"
62,115,119,49,73,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 60}"
149,9,18,150,142,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 70}"
4,105,102,5,2,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 80}"
97,171,86,76,100,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 0}"
139,12,22,130,137,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 10}"
50,67,67,18,96,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 20}"
116,197,109,107,116,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 30}"
79,68,43,76,77,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 40}"
79,137,154,76,77,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 50}"
149,212,179,150,142,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 60}"
62,217,116,65,54,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 70}"
21,149,146,49,7,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 80}"
97,167,92,76,100,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 0}"
167,72,214,183,151,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 10}"
74,77,192,49,98,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 20}"
125,146,131,65,158,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 30}"
113,116,153,65,133,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 40}"
156,138,193,130,168,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 50}"
56,124,174,49,50,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 60}"
213,125,195,130,224,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 70}"
170,198,189,150,200,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 80}"
97,161,93,76,100,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 0}"
97,163,84,76,100,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 10}"
97,164,90,76,100,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 20}"
