rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
95,463,421,68,334,"{'max_bin': 5, 'min_child_samples': 10}"
79,111,43,68,228,"{'max_bin': 5, 'min_child_samples': 20}"
41,164,75,23,318,"{'max_bin': 5, 'min_child_samples': 30}"
32,491,110,23,215,"{'max_bin': 5, 'min_child_samples': 40}"
228,155,224,169,477,"{'max_bin': 5, 'min_child_samples': 50}"
79,497,354,68,228,"{'max_bin': 5, 'min_child_samples': 60}"
32,128,323,23,215,"{'max_bin': 5, 'min_child_samples': 70}"
17,46,30,13,210,"{'max_bin': 5, 'min_child_samples': 80}"
57,461,51,49,224,"{'max_bin': 5, 'min_child_samples': 90}"
79,33,284,68,228,"{'max_bin': 5, 'min_child_samples': 100}"
23,294,64,23,112,"{'max_bin': 5, 'min_child_samples': 110}"
23,416,212,23,112,"{'max_bin': 5, 'min_child_samples': 120}"
207,261,181,169,426,"{'max_bin': 5, 'min_child_samples': 130}"
60,36,4,68,58,"{'max_bin': 5, 'min_child_samples': 140}"
137,11,250,135,247,"{'max_bin': 5, 'min_child_samples': 150}"
136,369,123,208,3,"{'max_bin': 5, 'min_child_samples': 160}"
266,9,374,274,159,"{'max_bin': 5, 'min_child_samples': 170}"
480,32,431,475,310,"{'max_bin': 5, 'min_child_samples': 180}"
419,389,450,413,191,"{'max_bin': 5, 'min_child_samples': 190}"
285,492,345,305,80,"{'max_bin': 5, 'min_child_samples': 200}"
243,8,326,208,434,"{'max_bin': 15, 'min_child_samples': 10}"
1,291,35,1,43,"{'max_bin': 15, 'min_child_samples': 20}"
9,166,57,3,308,"{'max_bin': 15, 'min_child_samples': 30}"
134,56,76,100,421,"{'max_bin': 15, 'min_child_samples': 40}"
137,185,182,135,247,"{'max_bin': 15, 'min_child_samples': 50}"
21,30,77,13,315,"{'max_bin': 15, 'min_child_samples': 60}"
3,329,103,2,197,"{'max_bin': 15, 'min_child_samples': 70}"
126,288,271,100,341,"{'max_bin': 15, 'min_child_samples': 80}"
12,143,398,13,52,"{'max_bin': 15, 'min_child_samples': 90}"
50,180,302,23,409,"{'max_bin': 15, 'min_child_samples': 100}"
152,190,10,100,467,"{'max_bin': 15, 'min_child_samples': 110}"
45,45,6,49,122,"{'max_bin': 15, 'min_child_samples': 120}"
310,435,251,274,441,"{'max_bin': 15, 'min_child_samples': 130}"
247,303,150,243,273,"{'max_bin': 15, 'min_child_samples': 140}"
137,237,72,135,247,"{'max_bin': 15, 'min_child_samples': 150}"
298,286,184,305,163,"{'max_bin': 15, 'min_child_samples': 160}"
442,348,437,413,394,"{'max_bin': 15, 'min_child_samples': 170}"
298,24,203,305,163,"{'max_bin': 15, 'min_child_samples': 180}"
322,371,282,336,83,"{'max_bin': 15, 'min_child_samples': 190}"
349,140,376,353,85,"{'max_bin': 15, 'min_child_samples': 200}"
2,38,106,3,5,"{'max_bin': 25, 'min_child_samples': 10}"
12,108,5,13,52,"{'max_bin': 25, 'min_child_samples': 20}"
122,216,32,68,464,"{'max_bin': 25, 'min_child_samples': 30}"
4,54,9,3,103,"{'max_bin': 25, 'min_child_samples': 40}"
5,44,18,3,204,"{'max_bin': 25, 'min_child_samples': 50}"
17,50,16,13,210,"{'max_bin': 25, 'min_child_samples': 60}"
5,23,1,3,204,"{'max_bin': 25, 'min_child_samples': 70}"
55,92,211,68,25,"{'max_bin': 25, 'min_child_samples': 80}"
45,65,38,49,122,"{'max_bin': 25, 'min_child_samples': 90}"
88,228,153,100,60,"{'max_bin': 25, 'min_child_samples': 100}"
390,364,307,336,515,"{'max_bin': 25, 'min_child_samples': 110}"
332,433,148,305,378,"{'max_bin': 25, 'min_child_samples': 120}"
215,98,279,208,263,"{'max_bin': 25, 'min_child_samples': 130}"
119,385,89,135,66,"{'max_bin': 25, 'min_child_samples': 140}"
298,88,112,305,163,"{'max_bin': 25, 'min_child_samples': 150}"
197,328,337,208,149,"{'max_bin': 25, 'min_child_samples': 160}"
102,16,191,100,134,"{'max_bin': 25, 'min_child_samples': 170}"
373,414,434,379,88,"{'max_bin': 25, 'min_child_samples': 180}"
79,258,412,68,228,"{'max_bin': 25, 'min_child_samples': 190}"
384,317,403,379,181,"{'max_bin': 25, 'min_child_samples': 200}"
68,115,109,68,128,"{'max_bin': 35, 'min_child_samples': 10}"
328,411,381,274,486,"{'max_bin': 35, 'min_child_samples': 20}"
32,297,289,23,215,"{'max_bin': 35, 'min_child_samples': 30}"
152,370,364,100,467,"{'max_bin': 35, 'min_child_samples': 40}"
147,393,183,68,518,"{'max_bin': 35, 'min_child_samples': 50}"
160,97,44,135,343,"{'max_bin': 35, 'min_child_samples': 60}"
292,349,297,274,372,"{'max_bin': 35, 'min_child_samples': 70}"
16,255,13,9,404,"{'max_bin': 35, 'min_child_samples': 80}"
255,469,429,243,361,"{'max_bin': 35, 'min_child_samples': 90}"
88,150,394,100,60,"{'max_bin': 35, 'min_child_samples': 100}"
207,377,346,169,426,"{'max_bin': 35, 'min_child_samples': 110}"
148,305,385,169,69,"{'max_bin': 35, 'min_child_samples': 120}"
399,42,336,379,388,"{'max_bin': 35, 'min_child_samples': 130}"
379,324,468,353,383,"{'max_bin': 35, 'min_child_samples': 140}"
394,188,380,379,296,"{'max_bin': 35, 'min_child_samples': 150}"
316,106,463,305,283,"{'max_bin': 35, 'min_child_samples': 160}"
413,69,219,400,299,"{'max_bin': 35, 'min_child_samples': 170}"
316,320,477,305,283,"{'max_bin': 35, 'min_child_samples': 180}"
434,27,489,400,452,"{'max_bin': 35, 'min_child_samples': 190}"
399,249,418,400,187,"{'max_bin': 35, 'min_child_samples': 200}"
79,105,45,68,228,"{'max_bin': 45, 'min_child_samples': 10}"
32,242,22,23,215,"{'max_bin': 45, 'min_child_samples': 20}"
17,39,85,13,210,"{'max_bin': 45, 'min_child_samples': 30}"
111,60,139,100,238,"{'max_bin': 45, 'min_child_samples': 40}"
73,146,36,49,414,"{'max_bin': 45, 'min_child_samples': 50}"
243,296,141,208,434,"{'max_bin': 45, 'min_child_samples': 60}"
79,210,71,68,228,"{'max_bin': 45, 'min_child_samples': 70}"
68,351,280,68,128,"{'max_bin': 45, 'min_child_samples': 80}"
102,374,176,100,134,"{'max_bin': 45, 'min_child_samples': 90}"
32,341,248,23,215,"{'max_bin': 45, 'min_child_samples': 100}"
255,477,360,243,361,"{'max_bin': 45, 'min_child_samples': 110}"
316,315,195,305,283,"{'max_bin': 45, 'min_child_samples': 120}"
238,13,23,274,33,"{'max_bin': 45, 'min_child_samples': 130}"
55,67,83,68,25,"{'max_bin': 45, 'min_child_samples': 140}"
125,126,306,169,9,"{'max_bin': 45, 'min_child_samples': 150}"
399,80,230,379,388,"{'max_bin': 45, 'min_child_samples': 160}"
399,5,407,379,388,"{'max_bin': 45, 'min_child_samples': 170}"
394,316,227,379,296,"{'max_bin': 45, 'min_child_samples': 180}"
495,87,275,496,118,"{'max_bin': 45, 'min_child_samples': 190}"
361,313,440,353,175,"{'max_bin': 45, 'min_child_samples': 200}"
134,84,14,100,421,"{'max_bin': 55, 'min_child_samples': 10}"
111,4,84,100,238,"{'max_bin': 55, 'min_child_samples': 20}"
355,90,21,274,519,"{'max_bin': 55, 'min_child_samples': 30}"
207,169,198,169,426,"{'max_bin': 55, 'min_child_samples': 40}"
122,214,73,68,464,"{'max_bin': 55, 'min_child_samples': 50}"
188,372,121,135,475,"{'max_bin': 55, 'min_child_samples': 60}"
41,114,175,23,318,"{'max_bin': 55, 'min_child_samples': 70}"
215,279,125,208,263,"{'max_bin': 55, 'min_child_samples': 80}"
233,280,104,208,358,"{'max_bin': 55, 'min_child_samples': 90}"
197,319,17,208,149,"{'max_bin': 55, 'min_child_samples': 100}"
335,322,128,336,172,"{'max_bin': 55, 'min_child_samples': 110}"
379,421,259,353,383,"{'max_bin': 55, 'min_child_samples': 120}"
266,245,116,274,159,"{'max_bin': 55, 'min_child_samples': 130}"
