nohup: ignoring input
experiment: HUVEC pseknc_rf
trainSet len:[X=54800,y=54800]
testSet len:[X=3192,y=3192]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 2, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 1/34] END n_estimators=10; total=3192, TP=58, TN=2985, FP=55, FN=94; precision=0.513, recall=0.382
accuracy: (test=0.953) average_precision: (test=0.387) balanced_accuracy: (test=0.682) f1: (test=0.438) roc_auc: (test=0.828) 6.59s
[fit 2/34] END n_estimators=20; total=3192, TP=64, TN=3001, FP=39, FN=88; precision=0.621, recall=0.421
accuracy: (test=0.960) average_precision: (test=0.453) balanced_accuracy: (test=0.704) f1: (test=0.502) roc_auc: (test=0.830) 11.73s
[fit 3/34] END n_estimators=30; total=3192, TP=61, TN=3012, FP=28, FN=91; precision=0.685, recall=0.401
accuracy: (test=0.963) average_precision: (test=0.506) balanced_accuracy: (test=0.696) f1: (test=0.506) roc_auc: (test=0.863) 18.04s
[fit 4/34] END n_estimators=40; total=3192, TP=61, TN=3007, FP=33, FN=91; precision=0.649, recall=0.401
accuracy: (test=0.961) average_precision: (test=0.528) balanced_accuracy: (test=0.695) f1: (test=0.496) roc_auc: (test=0.872) 24.08s
[fit 5/34] END n_estimators=50; total=3192, TP=63, TN=3016, FP=24, FN=89; precision=0.724, recall=0.414
accuracy: (test=0.965) average_precision: (test=0.540) balanced_accuracy: (test=0.703) f1: (test=0.527) roc_auc: (test=0.874) 31.52s
[fit 6/34] END n_estimators=60; total=3192, TP=61, TN=3011, FP=29, FN=91; precision=0.678, recall=0.401
accuracy: (test=0.962) average_precision: (test=0.523) balanced_accuracy: (test=0.696) f1: (test=0.504) roc_auc: (test=0.869) 41.37s
[fit 7/34] END n_estimators=70; total=3192, TP=66, TN=3006, FP=34, FN=86; precision=0.660, recall=0.434
accuracy: (test=0.962) average_precision: (test=0.547) balanced_accuracy: (test=0.712) f1: (test=0.524) roc_auc: (test=0.891) 53.53s
[fit 8/34] END n_estimators=80; total=3192, TP=67, TN=3014, FP=26, FN=85; precision=0.720, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.553) balanced_accuracy: (test=0.716) f1: (test=0.547) roc_auc: (test=0.887) 1.03min
[fit 9/34] END n_estimators=90; total=3192, TP=68, TN=3013, FP=27, FN=84; precision=0.716, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.537) balanced_accuracy: (test=0.719) f1: (test=0.551) roc_auc: (test=0.868) 1.16min
[fit 10/34] END n_estimators=100; total=3192, TP=63, TN=3013, FP=27, FN=89; precision=0.700, recall=0.414
accuracy: (test=0.964) average_precision: (test=0.552) balanced_accuracy: (test=0.703) f1: (test=0.521) roc_auc: (test=0.887) 1.28min
[fit 11/34] END n_estimators=110; total=3192, TP=67, TN=3014, FP=26, FN=85; precision=0.720, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.552) balanced_accuracy: (test=0.716) f1: (test=0.547) roc_auc: (test=0.889) 1.42min
[fit 12/34] END n_estimators=120; total=3192, TP=68, TN=3012, FP=28, FN=84; precision=0.708, recall=0.447
