nohup: ignoring input
experiment: IMR90 pseknc_rf
trainSet len:[X=45080,y=45080]
testSet len:[X=2625,y=2625]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 2, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 1/34] END n_estimators=10; total=2625, TP=59, TN=2474, FP=26, FN=66; precision=0.694, recall=0.472
accuracy: (test=0.965) average_precision: (test=0.547) balanced_accuracy: (test=0.731) f1: (test=0.562) roc_auc: (test=0.865) 5.94s
[fit 2/34] END n_estimators=20; total=2625, TP=65, TN=2481, FP=19, FN=60; precision=0.774, recall=0.520
accuracy: (test=0.970) average_precision: (test=0.618) balanced_accuracy: (test=0.756) f1: (test=0.622) roc_auc: (test=0.875) 9.82s
[fit 3/34] END n_estimators=30; total=2625, TP=69, TN=2478, FP=22, FN=56; precision=0.758, recall=0.552
accuracy: (test=0.970) average_precision: (test=0.655) balanced_accuracy: (test=0.772) f1: (test=0.639) roc_auc: (test=0.890) 16.66s
[fit 4/34] END n_estimators=40; total=2625, TP=66, TN=2484, FP=16, FN=59; precision=0.805, recall=0.528
accuracy: (test=0.971) average_precision: (test=0.669) balanced_accuracy: (test=0.761) f1: (test=0.638) roc_auc: (test=0.890) 22.37s
[fit 5/34] END n_estimators=50; total=2625, TP=68, TN=2484, FP=16, FN=57; precision=0.810, recall=0.544
accuracy: (test=0.972) average_precision: (test=0.669) balanced_accuracy: (test=0.769) f1: (test=0.651) roc_auc: (test=0.879) 28.56s
[fit 6/34] END n_estimators=60; total=2625, TP=64, TN=2484, FP=16, FN=61; precision=0.800, recall=0.512
accuracy: (test=0.971) average_precision: (test=0.665) balanced_accuracy: (test=0.753) f1: (test=0.624) roc_auc: (test=0.897) 36.85s
[fit 7/34] END n_estimators=70; total=2625, TP=68, TN=2486, FP=14, FN=57; precision=0.829, recall=0.544
accuracy: (test=0.973) average_precision: (test=0.677) balanced_accuracy: (test=0.769) f1: (test=0.657) roc_auc: (test=0.902) 42.94s
[fit 8/34] END n_estimators=80; total=2625, TP=67, TN=2487, FP=13, FN=58; precision=0.838, recall=0.536
accuracy: (test=0.973) average_precision: (test=0.683) balanced_accuracy: (test=0.765) f1: (test=0.654) roc_auc: (test=0.905) 48.36s
[fit 9/34] END n_estimators=90; total=2625, TP=69, TN=2486, FP=14, FN=56; precision=0.831, recall=0.552
accuracy: (test=0.973) average_precision: (test=0.684) balanced_accuracy: (test=0.773) f1: (test=0.663) roc_auc: (test=0.908) 54.34s
[fit 10/34] END n_estimators=100; total=2625, TP=64, TN=2487, FP=13, FN=61; precision=0.831, recall=0.512
accuracy: (test=0.972) average_precision: (test=0.681) balanced_accuracy: (test=0.753) f1: (test=0.634) roc_auc: (test=0.898) 1.03min
[fit 11/34] END n_estimators=110; total=2625, TP=65, TN=2484, FP=16, FN=60; precision=0.802, recall=0.520
accuracy: (test=0.971) average_precision: (test=0.685) balanced_accuracy: (test=0.757) f1: (test=0.631) roc_auc: (test=0.901) 1.10min
[fit 12/34] END n_estimators=120; total=2625, TP=66, TN=2483, FP=17, FN=59; precision=0.795, recall=0.528
accuracy: (test=0.971) average_precision: (test=0.680) balanced_accuracy: (test=0.761) f1: (test=0.635) roc_auc: (test=0.907) 1.20min
[fit 13/34] END n_estimators=130; total=2625, TP=69, TN=2481, FP=19, FN=56; precision=0.784, recall=0.552
accuracy: (test=0.971) average_precision: (test=0.680) balanced_accuracy: (test=0.772) f1: (test=0.648) roc_auc: (test=0.900) 1.30min
[fit 14/34] END n_estimators=140; total=2625, TP=65, TN=2486, FP=14, FN=60; precision=0.823, recall=0.520
accuracy: (test=0.972) average_precision: (test=0.681) balanced_accuracy: (test=0.757) f1: (test=0.637) roc_auc: (test=0.902) 1.38min
[fit 15/34] END n_estimators=150; total=2625, TP=70, TN=2483, FP=17, FN=55; precision=0.805, recall=0.560
accuracy: (test=0.973) average_precision: (test=0.686) balanced_accuracy: (test=0.777) f1: (test=0.660) roc_auc: (test=0.899) 1.52min
[fit 16/34] END n_estimators=160; total=2625, TP=69, TN=2485, FP=15, FN=56; precision=0.821, recall=0.552
accuracy: (test=0.973) average_precision: (test=0.692) balanced_accuracy: (test=0.773) f1: (test=0.660) roc_auc: (test=0.919) 1.60min
[fit 17/34] END n_estimators=170; total=2625, TP=65, TN=2484, FP=16, FN=60; precision=0.802, recall=0.520
accuracy: (test=0.971) average_precision: (test=0.689) balanced_accuracy: (test=0.757) f1: (test=0.631) roc_auc: (test=0.894) 1.74min
[fit 18/34] END n_estimators=180; total=2625, TP=67, TN=2486, FP=14, FN=58; precision=0.827, recall=0.536
accuracy: (test=0.973) average_precision: (test=0.688) balanced_accuracy: (test=0.765) f1: (test=0.650) roc_auc: (test=0.913) 1.84min
[fit 19/34] END n_estimators=190; total=2625, TP=68, TN=2483, FP=17, FN=57; precision=0.800, recall=0.544
accuracy: (test=0.972) average_precision: (test=0.688) balanced_accuracy: (test=0.769) f1: (test=0.648) roc_auc: (test=0.910) 1.92min
[fit 20/34] END n_estimators=200; total=2625, TP=69, TN=2485, FP=15, FN=56; precision=0.821, recall=0.552
accuracy: (test=0.973) average_precision: (test=0.694) balanced_accuracy: (test=0.773) f1: (test=0.660) roc_auc: (test=0.911) 2.02min
[fit 21/34] END n_estimators=210; total=2625, TP=68, TN=2484, FP=16, FN=57; precision=0.810, recall=0.544
accuracy: (test=0.972) average_precision: (test=0.692) balanced_accuracy: (test=0.769) f1: (test=0.651) roc_auc: (test=0.914) 2.14min
[fit 22/34] END n_estimators=220; total=2625, TP=67, TN=2483, FP=17, FN=58; precision=0.798, recall=0.536
accuracy: (test=0.971) average_precision: (test=0.695) balanced_accuracy: (test=0.765) f1: (test=0.641) roc_auc: (test=0.908) 2.20min
[fit 23/34] END n_estimators=230; total=2625, TP=68, TN=2484, FP=16, FN=57; precision=0.810, recall=0.544
accuracy: (test=0.972) average_precision: (test=0.695) balanced_accuracy: (test=0.769) f1: (test=0.651) roc_auc: (test=0.910) 2.33min
[fit 24/34] END n_estimators=240; total=2625, TP=70, TN=2485, FP=15, FN=55; precision=0.824, recall=0.560
accuracy: (test=0.973) average_precision: (test=0.683) balanced_accuracy: (test=0.777) f1: (test=0.667) roc_auc: (test=0.908) 2.40min
[fit 25/34] END n_estimators=250; total=2625, TP=67, TN=2485, FP=15, FN=58; precision=0.817, recall=0.536
accuracy: (test=0.972) average_precision: (test=0.688) balanced_accuracy: (test=0.765) f1: (test=0.647) roc_auc: (test=0.910) 2.52min
[fit 26/34] END n_estimators=260; total=2625, TP=68, TN=2485, FP=15, FN=57; precision=0.819, recall=0.544
accuracy: (test=0.973) average_precision: (test=0.692) balanced_accuracy: (test=0.769) f1: (test=0.654) roc_auc: (test=0.914) 2.63min
[fit 27/34] END n_estimators=270; total=2625, TP=68, TN=2486, FP=14, FN=57; precision=0.829, recall=0.544
accuracy: (test=0.973) average_precision: (test=0.699) balanced_accuracy: (test=0.769) f1: (test=0.657) roc_auc: (test=0.923) 2.70min
[fit 28/34] END n_estimators=280; total=2625, TP=68, TN=2484, FP=16, FN=57; precision=0.810, recall=0.544
accuracy: (test=0.972) average_precision: (test=0.690) balanced_accuracy: (test=0.769) f1: (test=0.651) roc_auc: (test=0.924) 2.82min
[fit 29/34] END n_estimators=290; total=2625, TP=70, TN=2487, FP=13, FN=55; precision=0.843, recall=0.560
accuracy: (test=0.974) average_precision: (test=0.691) balanced_accuracy: (test=0.777) f1: (test=0.673) roc_auc: (test=0.915) 2.95min
[fit 30/34] END n_estimators=300; total=2625, TP=70, TN=2486, FP=14, FN=55; precision=0.833, recall=0.560
accuracy: (test=0.974) average_precision: (test=0.700) balanced_accuracy: (test=0.777) f1: (test=0.670) roc_auc: (test=0.916) 3.07min
