rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
34,34,34,34,34,{'n_estimators': 10}
33,31,33,33,33,{'n_estimators': 20}
25,32,32,23,26,{'n_estimators': 30}
31,33,31,31,28,{'n_estimators': 40}
24,25,29,28,16,{'n_estimators': 50}
22,28,30,23,15,{'n_estimators': 60}
27,30,28,29,17,{'n_estimators': 70}
32,22,25,31,31,{'n_estimators': 80}
30,29,27,29,25,{'n_estimators': 90}
6,27,26,8,6,{'n_estimators': 100}
23,15,6,18,29,{'n_estimators': 110}
20,26,12,18,24,{'n_estimators': 120}
12,1,16,8,11,{'n_estimators': 130}
21,18,22,22,23,{'n_estimators': 140}
3,17,14,3,2,{'n_estimators': 150}
17,24,17,13,21,{'n_estimators': 160}
14,5,23,13,12,{'n_estimators': 170}
19,19,13,21,14,{'n_estimators': 180}
29,13,24,23,32,{'n_estimators': 190}
16,2,1,18,9,{'n_estimators': 200}
9,4,18,13,5,{'n_estimators': 210}
25,7,21,23,26,{'n_estimators': 220}
14,10,7,13,12,{'n_estimators': 230}
10,6,9,4,18,{'n_estimators': 240}
1,23,3,1,1,{'n_estimators': 250}
6,9,19,8,6,{'n_estimators': 260}
13,3,2,8,20,{'n_estimators': 270}
2,21,4,2,3,{'n_estimators': 280}
4,14,8,4,4,{'n_estimators': 290}
5,20,20,4,10,{'n_estimators': 300}
17,16,5,13,21,{'n_estimators': 310}
6,8,11,8,6,{'n_estimators': 320}
10,12,10,4,18,{'n_estimators': 330}
28,11,15,23,30,{'n_estimators': 340}
