rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
34,34,34,34,34,{'n_estimators': 10}
32,33,33,33,26,{'n_estimators': 20}
29,32,32,27,30,{'n_estimators': 30}
33,29,30,32,33,{'n_estimators': 40}
20,28,28,12,27,{'n_estimators': 50}
30,30,31,28,31,{'n_estimators': 60}
24,10,27,28,16,{'n_estimators': 70}
9,18,24,5,9,{'n_estimators': 80}
4,31,29,5,5,{'n_estimators': 90}
27,17,26,22,28,{'n_estimators': 100}
9,12,25,5,9,{'n_estimators': 110}
7,23,10,9,6,{'n_estimators': 120}
25,22,21,24,24,{'n_estimators': 130}
19,24,23,17,20,{'n_estimators': 140}
6,20,5,4,8,{'n_estimators': 150}
13,6,20,9,14,{'n_estimators': 160}
1,26,22,1,1,{'n_estimators': 170}
5,9,8,12,3,{'n_estimators': 180}
14,19,11,17,13,{'n_estimators': 190}
9,25,7,5,9,{'n_estimators': 200}
3,3,4,2,4,{'n_estimators': 210}
21,27,18,20,21,{'n_estimators': 220}
23,1,1,22,23,{'n_estimators': 230}
12,11,2,12,12,{'n_estimators': 240}
2,13,19,2,2,{'n_estimators': 250}
28,7,15,28,29,{'n_estimators': 260}
7,16,3,9,6,{'n_estimators': 270}
15,2,6,12,17,{'n_estimators': 280}
18,21,17,24,15,{'n_estimators': 290}
15,14,9,12,17,{'n_estimators': 300}
25,8,16,24,24,{'n_estimators': 310}
31,5,14,31,32,{'n_estimators': 320}
21,15,12,20,21,{'n_estimators': 330}
17,4,13,17,19,{'n_estimators': 340}
