rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
38,77,7,16,83,"{'min_samples_leaf': 1, 'min_samples_split': 2}"
38,20,2,16,83,"{'min_samples_leaf': 1, 'min_samples_split': 3}"
71,16,5,38,79,"{'min_samples_leaf': 1, 'min_samples_split': 4}"
9,19,4,2,70,"{'min_samples_leaf': 1, 'min_samples_split': 5}"
47,28,1,38,63,"{'min_samples_leaf': 1, 'min_samples_split': 6}"
87,35,11,59,90,"{'min_samples_leaf': 1, 'min_samples_split': 7}"
1,56,8,1,24,"{'min_samples_leaf': 1, 'min_samples_split': 8}"
71,34,6,38,79,"{'min_samples_leaf': 1, 'min_samples_split': 9}"
2,41,9,2,25,"{'min_samples_leaf': 1, 'min_samples_split': 10}"
69,48,10,29,85,"{'min_samples_leaf': 2, 'min_samples_split': 2}"
3,51,14,4,26,"{'min_samples_leaf': 2, 'min_samples_split': 3}"
31,1,15,16,72,"{'min_samples_leaf': 2, 'min_samples_split': 4}"
19,63,12,10,57,"{'min_samples_leaf': 2, 'min_samples_split': 5}"
24,6,20,16,58,"{'min_samples_leaf': 2, 'min_samples_split': 6}"
24,4,22,16,58,"{'min_samples_leaf': 2, 'min_samples_split': 7}"
79,27,30,38,86,"{'min_samples_leaf': 2, 'min_samples_split': 8}"
31,18,17,16,72,"{'min_samples_leaf': 2, 'min_samples_split': 9}"
57,74,23,29,78,"{'min_samples_leaf': 2, 'min_samples_split': 10}"
34,30,38,24,61,"{'min_samples_leaf': 3, 'min_samples_split': 2}"
3,71,21,4,26,"{'min_samples_leaf': 3, 'min_samples_split': 3}"
6,42,16,4,44,"{'min_samples_leaf': 3, 'min_samples_split': 4}"
16,65,13,10,46,"{'min_samples_leaf': 3, 'min_samples_split': 5}"
13,37,18,8,56,"{'min_samples_leaf': 3, 'min_samples_split': 6}"
36,25,19,24,74,"{'min_samples_leaf': 3, 'min_samples_split': 7}"
11,49,28,10,29,"{'min_samples_leaf': 3, 'min_samples_split': 8}"
71,64,36,38,79,"{'min_samples_leaf': 3, 'min_samples_split': 9}"
23,11,26,10,71,"{'min_samples_leaf': 3, 'min_samples_split': 10}"
60,10,27,38,75,"{'min_samples_leaf': 4, 'min_samples_split': 2}"
8,62,33,8,28,"{'min_samples_leaf': 4, 'min_samples_split': 3}"
47,14,35,38,63,"{'min_samples_leaf': 4, 'min_samples_split': 4}"
12,9,24,16,11,"{'min_samples_leaf': 4, 'min_samples_split': 5}"
6,67,34,4,44,"{'min_samples_leaf': 4, 'min_samples_split': 6}"
34,32,29,24,61,"{'min_samples_leaf': 4, 'min_samples_split': 7}"
62,40,3,51,67,"{'min_samples_leaf': 4, 'min_samples_split': 8}"
24,13,39,16,58,"{'min_samples_leaf': 4, 'min_samples_split': 9}"
17,61,31,29,4,"{'min_samples_leaf': 4, 'min_samples_split': 10}"
20,2,25,24,30,"{'min_samples_leaf': 5, 'min_samples_split': 2}"
37,59,37,38,47,"{'min_samples_leaf': 5, 'min_samples_split': 3}"
47,66,40,38,63,"{'min_samples_leaf': 5, 'min_samples_split': 4}"
51,88,42,51,48,"{'min_samples_leaf': 5, 'min_samples_split': 5}"
27,3,45,29,32,"{'min_samples_leaf': 5, 'min_samples_split': 6}"
51,39,43,51,48,"{'min_samples_leaf': 5, 'min_samples_split': 7}"
79,81,46,38,86,"{'min_samples_leaf': 5, 'min_samples_split': 8}"
89,47,32,88,88,"{'min_samples_leaf': 5, 'min_samples_split': 9}"
5,23,44,10,3,"{'min_samples_leaf': 5, 'min_samples_split': 10}"
84,85,49,78,82,"{'min_samples_leaf': 6, 'min_samples_split': 2}"
27,79,41,29,32,"{'min_samples_leaf': 6, 'min_samples_split': 3}"
86,53,52,85,69,"{'min_samples_leaf': 6, 'min_samples_split': 4}"
76,21,56,59,68,"{'min_samples_leaf': 6, 'min_samples_split': 5}"
20,8,48,24,30,"{'min_samples_leaf': 6, 'min_samples_split': 6}"
41,68,58,59,15,"{'min_samples_leaf': 6, 'min_samples_split': 7}"
51,75,59,51,48,"{'min_samples_leaf': 6, 'min_samples_split': 8}"
47,36,60,38,63,"{'min_samples_leaf': 6, 'min_samples_split': 9}"
85,78,47,82,77,"{'min_samples_leaf': 6, 'min_samples_split': 10}"
41,54,54,59,15,"{'min_samples_leaf': 7, 'min_samples_split': 2}"
58,90,64,69,20,"{'min_samples_leaf': 7, 'min_samples_split': 3}"
75,44,53,51,76,"{'min_samples_leaf': 7, 'min_samples_split': 4}"
17,12,50,29,4,"{'min_samples_leaf': 7, 'min_samples_split': 5}"
63,24,55,59,52,"{'min_samples_leaf': 7, 'min_samples_split': 6}"
77,29,51,69,53,"{'min_samples_leaf': 7, 'min_samples_split': 7}"
51,46,72,51,48,"{'min_samples_leaf': 7, 'min_samples_split': 8}"
64,17,65,69,37,"{'min_samples_leaf': 7, 'min_samples_split': 9}"
64,60,57,69,37,"{'min_samples_leaf': 7, 'min_samples_split': 10}"
14,76,74,29,1,"{'min_samples_leaf': 8, 'min_samples_split': 2}"
64,15,61,69,37,"{'min_samples_leaf': 8, 'min_samples_split': 3}"
58,45,80,69,20,"{'min_samples_leaf': 8, 'min_samples_split': 4}"
64,50,66,69,37,"{'min_samples_leaf': 8, 'min_samples_split': 5}"
29,89,75,38,13,"{'min_samples_leaf': 8, 'min_samples_split': 6}"
90,43,78,90,89,"{'min_samples_leaf': 8, 'min_samples_split': 7}"
10,86,81,10,10,"{'min_samples_leaf': 8, 'min_samples_split': 8}"
22,55,62,29,12,"{'min_samples_leaf': 8, 'min_samples_split': 9}"
55,57,63,59,35,"{'min_samples_leaf': 8, 'min_samples_split': 10}"
29,84,79,38,13,"{'min_samples_leaf': 9, 'min_samples_split': 2}"
74,80,68,82,9,"{'min_samples_leaf': 9, 'min_samples_split': 3}"
88,33,85,88,55,"{'min_samples_leaf': 9, 'min_samples_split': 4}"
40,73,69,51,34,"{'min_samples_leaf': 9, 'min_samples_split': 5}"
55,5,70,59,35,"{'min_samples_leaf': 9, 'min_samples_split': 6}"
83,82,76,85,54,"{'min_samples_leaf': 9, 'min_samples_split': 7}"
64,87,73,69,37,"{'min_samples_leaf': 9, 'min_samples_split': 8}"
41,26,71,59,15,"{'min_samples_leaf': 9, 'min_samples_split': 9}"
70,72,67,78,22,"{'min_samples_leaf': 9, 'min_samples_split': 10}"
82,31,77,85,23,"{'min_samples_leaf': 10, 'min_samples_split': 2}"
46,58,83,69,7,"{'min_samples_leaf': 10, 'min_samples_split': 3}"
41,38,87,59,15,"{'min_samples_leaf': 10, 'min_samples_split': 4}"
41,70,88,59,15,"{'min_samples_leaf': 10, 'min_samples_split': 5}"
33,52,82,51,6,"{'min_samples_leaf': 10, 'min_samples_split': 6}"
78,69,86,78,42,"{'min_samples_leaf': 10, 'min_samples_split': 7}"
61,7,89,78,8,"{'min_samples_leaf': 10, 'min_samples_split': 8}"
81,22,84,82,43,"{'min_samples_leaf': 10, 'min_samples_split': 9}"
14,83,90,29,1,"{'min_samples_leaf': 10, 'min_samples_split': 10}"
