rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
34,34,34,34,34,{'n_estimators': 10}
33,33,33,33,31,{'n_estimators': 20}
25,31,32,32,10,{'n_estimators': 30}
26,30,30,25,26,{'n_estimators': 40}
14,32,29,15,15,{'n_estimators': 50}
32,28,31,31,33,{'n_estimators': 60}
9,22,28,5,11,{'n_estimators': 70}
13,21,23,5,22,{'n_estimators': 80}
4,18,21,3,5,{'n_estimators': 90}
29,27,24,21,32,{'n_estimators': 100}
30,24,20,28,29,{'n_estimators': 110}
28,20,27,28,27,{'n_estimators': 120}
20,25,26,25,9,{'n_estimators': 130}
27,23,25,21,28,{'n_estimators': 140}
5,26,18,10,4,{'n_estimators': 150}
6,3,8,5,6,{'n_estimators': 160}
30,29,14,28,29,{'n_estimators': 170}
19,10,17,10,23,{'n_estimators': 180}
21,14,15,21,20,{'n_estimators': 190}
6,11,7,5,6,{'n_estimators': 200}
14,7,9,15,15,{'n_estimators': 210}
24,17,5,25,25,{'n_estimators': 220}
14,15,6,15,15,{'n_estimators': 230}
3,19,22,3,3,{'n_estimators': 240}
23,12,16,15,24,{'n_estimators': 250}
11,8,10,10,13,{'n_estimators': 260}
9,2,3,5,11,{'n_estimators': 270}
14,1,13,15,15,{'n_estimators': 280}
1,6,11,1,1,{'n_estimators': 290}
2,5,2,2,2,{'n_estimators': 300}
21,16,19,21,20,{'n_estimators': 310}
14,4,4,15,15,{'n_estimators': 320}
11,13,1,10,13,{'n_estimators': 330}
8,9,12,10,8,{'n_estimators': 340}
