rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
65,86,9,17,87,"{'min_samples_leaf': 1, 'min_samples_split': 2}"
25,70,4,4,69,"{'min_samples_leaf': 1, 'min_samples_split': 3}"
51,78,13,17,71,"{'min_samples_leaf': 1, 'min_samples_split': 4}"
1,50,2,1,34,"{'min_samples_leaf': 1, 'min_samples_split': 5}"
84,4,1,42,90,"{'min_samples_leaf': 1, 'min_samples_split': 6}"
22,68,5,5,57,"{'min_samples_leaf': 1, 'min_samples_split': 7}"
12,56,16,3,39,"{'min_samples_leaf': 1, 'min_samples_split': 8}"
77,87,28,50,82,"{'min_samples_leaf': 1, 'min_samples_split': 9}"
66,79,20,12,89,"{'min_samples_leaf': 1, 'min_samples_split': 10}"
76,83,15,30,88,"{'min_samples_leaf': 2, 'min_samples_split': 2}"
5,76,3,2,38,"{'min_samples_leaf': 2, 'min_samples_split': 3}"
37,77,11,8,70,"{'min_samples_leaf': 2, 'min_samples_split': 4}"
33,20,18,17,60,"{'min_samples_leaf': 2, 'min_samples_split': 5}"
58,24,14,23,74,"{'min_samples_leaf': 2, 'min_samples_split': 6}"
24,80,30,8,59,"{'min_samples_leaf': 2, 'min_samples_split': 7}"
77,90,12,50,82,"{'min_samples_leaf': 2, 'min_samples_split': 8}"
69,10,7,30,79,"{'min_samples_leaf': 2, 'min_samples_split': 9}"
22,58,21,5,57,"{'min_samples_leaf': 2, 'min_samples_split': 10}"
51,55,24,17,71,"{'min_samples_leaf': 3, 'min_samples_split': 2}"
69,81,6,30,79,"{'min_samples_leaf': 3, 'min_samples_split': 3}"
74,45,35,42,81,"{'min_samples_leaf': 3, 'min_samples_split': 4}"
72,54,19,50,76,"{'min_samples_leaf': 3, 'min_samples_split': 5}"
16,23,17,5,52,"{'min_samples_leaf': 3, 'min_samples_split': 6}"
77,66,8,50,82,"{'min_samples_leaf': 3, 'min_samples_split': 7}"
29,88,36,30,42,"{'min_samples_leaf': 3, 'min_samples_split': 8}"
44,43,10,23,61,"{'min_samples_leaf': 3, 'min_samples_split': 9}"
56,82,45,30,66,"{'min_samples_leaf': 3, 'min_samples_split': 10}"
77,11,33,50,82,"{'min_samples_leaf': 4, 'min_samples_split': 2}"
44,84,22,23,61,"{'min_samples_leaf': 4, 'min_samples_split': 3}"
21,30,32,12,40,"{'min_samples_leaf': 4, 'min_samples_split': 4}"
38,53,26,42,43,"{'min_samples_leaf': 4, 'min_samples_split': 5}"
38,16,25,42,43,"{'min_samples_leaf': 4, 'min_samples_split': 6}"
50,49,31,30,63,"{'min_samples_leaf': 4, 'min_samples_split': 7}"
31,14,23,23,53,"{'min_samples_leaf': 4, 'min_samples_split': 8}"
28,44,29,8,65,"{'min_samples_leaf': 4, 'min_samples_split': 9}"
56,61,39,30,66,"{'min_samples_leaf': 4, 'min_samples_split': 10}"
41,64,48,30,54,"{'min_samples_leaf': 5, 'min_samples_split': 2}"
26,75,27,23,41,"{'min_samples_leaf': 5, 'min_samples_split': 3}"
87,12,40,67,77,"{'min_samples_leaf': 5, 'min_samples_split': 4}"
3,15,43,8,12,"{'min_samples_leaf': 5, 'min_samples_split': 5}"
68,7,42,42,75,"{'min_samples_leaf': 5, 'min_samples_split': 6}"
48,3,44,50,45,"{'min_samples_leaf': 5, 'min_samples_split': 7}"
41,37,46,30,54,"{'min_samples_leaf': 5, 'min_samples_split': 8}"
51,39,47,17,71,"{'min_samples_leaf': 5, 'min_samples_split': 9}"
