rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
234,231,231,234,234,"{'C': 0.0625, 'gamma': 0.0625, 'kernel': 'rbf'}"
232,237,235,232,232,"{'C': 0.0625, 'gamma': 0.125, 'kernel': 'rbf'}"
228,236,236,228,228,"{'C': 0.0625, 'gamma': 0.25, 'kernel': 'rbf'}"
227,233,229,227,227,"{'C': 0.0625, 'gamma': 0.5, 'kernel': 'rbf'}"
231,232,226,231,231,"{'C': 0.0625, 'gamma': 1.0, 'kernel': 'rbf'}"
221,220,221,223,221,"{'C': 0.0625, 'gamma': 2.0, 'kernel': 'rbf'}"
196,213,218,213,196,"{'C': 0.0625, 'gamma': 4.0, 'kernel': 'rbf'}"
206,205,212,208,206,"{'C': 0.0625, 'gamma': 8.0, 'kernel': 'rbf'}"
219,196,197,204,219,"{'C': 0.0625, 'gamma': 16.0, 'kernel': 'rbf'}"
186,186,147,186,186,"{'C': 0.0625, 'gamma': 32.0, 'kernel': 'rbf'}"
153,141,131,151,156,"{'C': 0.0625, 'gamma': 64.0, 'kernel': 'rbf'}"
125,122,117,124,127,"{'C': 0.0625, 'gamma': 128.0, 'kernel': 'rbf'}"
109,109,104,109,109,"{'C': 0.0625, 'gamma': 256.0, 'kernel': 'rbf'}"
94,100,94,94,99,"{'C': 0.0625, 'gamma': 512.0, 'kernel': 'rbf'}"
86,93,89,86,97,"{'C': 0.0625, 'gamma': 1024.0, 'kernel': 'rbf'}"
69,92,71,60,101,"{'C': 0.0625, 'gamma': 2048.0, 'kernel': 'rbf'}"
233,239,237,233,233,"{'C': 0.125, 'gamma': 0.0625, 'kernel': 'rbf'}"
226,235,238,226,226,"{'C': 0.125, 'gamma': 0.125, 'kernel': 'rbf'}"
235,240,240,235,235,"{'C': 0.125, 'gamma': 0.25, 'kernel': 'rbf'}"
228,234,228,228,228,"{'C': 0.125, 'gamma': 0.5, 'kernel': 'rbf'}"
223,224,224,221,223,"{'C': 0.125, 'gamma': 1.0, 'kernel': 'rbf'}"
201,215,219,218,201,"{'C': 0.125, 'gamma': 2.0, 'kernel': 'rbf'}"
206,206,211,208,206,"{'C': 0.125, 'gamma': 4.0, 'kernel': 'rbf'}"
210,197,204,203,211,"{'C': 0.125, 'gamma': 8.0, 'kernel': 'rbf'}"
187,187,154,187,187,"{'C': 0.125, 'gamma': 16.0, 'kernel': 'rbf'}"
175,149,138,172,173,"{'C': 0.125, 'gamma': 32.0, 'kernel': 'rbf'}"
131,127,123,130,133,"{'C': 0.125, 'gamma': 64.0, 'kernel': 'rbf'}"
113,113,110,111,116,"{'C': 0.125, 'gamma': 128.0, 'kernel': 'rbf'}"
98,101,97,97,100,"{'C': 0.125, 'gamma': 256.0, 'kernel': 'rbf'}"
83,83,79,85,1,"{'C': 0.125, 'gamma': 512.0, 'kernel': 'rbf'}"
76,82,51,76,4,"{'C': 0.125, 'gamma': 1024.0, 'kernel': 'rbf'}"
66,84,50,66,37,"{'C': 0.125, 'gamma': 2048.0, 'kernel': 'rbf'}"
230,238,239,230,230,"{'C': 0.25, 'gamma': 0.0625, 'kernel': 'rbf'}"
236,228,230,236,236,"{'C': 0.25, 'gamma': 0.125, 'kernel': 'rbf'}"
236,226,234,236,236,"{'C': 0.25, 'gamma': 0.25, 'kernel': 'rbf'}"
220,225,225,220,220,"{'C': 0.25, 'gamma': 0.5, 'kernel': 'rbf'}"
201,217,215,218,201,"{'C': 0.25, 'gamma': 1.0, 'kernel': 'rbf'}"
211,207,205,212,210,"{'C': 0.25, 'gamma': 2.0, 'kernel': 'rbf'}"
218,198,196,202,218,"{'C': 0.25, 'gamma': 4.0, 'kernel': 'rbf'}"
188,188,159,188,188,"{'C': 0.25, 'gamma': 8.0, 'kernel': 'rbf'}"
178,159,144,177,177,"{'C': 0.25, 'gamma': 16.0, 'kernel': 'rbf'}"
138,133,130,136,140,"{'C': 0.25, 'gamma': 32.0, 'kernel': 'rbf'}"
118,117,118,117,118,"{'C': 0.25, 'gamma': 64.0, 'kernel': 'rbf'}"
102,104,102,102,102,"{'C': 0.25, 'gamma': 128.0, 'kernel': 'rbf'}"
88,87,87,89,9,"{'C': 0.25, 'gamma': 256.0, 'kernel': 'rbf'}"
74,48,48,74,5,"{'C': 0.25, 'gamma': 512.0, 'kernel': 'rbf'}"
58,53,24,58,34,"{'C': 0.25, 'gamma': 1024.0, 'kernel': 'rbf'}"
33,81,38,35,42,"{'C': 0.25, 'gamma': 2048.0, 'kernel': 'rbf'}"
236,229,233,236,236,"{'C': 0.5, 'gamma': 0.0625, 'kernel': 'rbf'}"
236,227,227,236,236,"{'C': 0.5, 'gamma': 0.125, 'kernel': 'rbf'}"
222,221,220,222,222,"{'C': 0.5, 'gamma': 0.25, 'kernel': 'rbf'}"
197,219,217,214,197,"{'C': 0.5, 'gamma': 0.5, 'kernel': 'rbf'}"
206,208,206,208,206,"{'C': 0.5, 'gamma': 1.0, 'kernel': 'rbf'}"
217,199,200,201,217,"{'C': 0.5, 'gamma': 2.0, 'kernel': 'rbf'}"
191,189,169,192,191,"{'C': 0.5, 'gamma': 4.0, 'kernel': 'rbf'}"
177,178,148,178,175,"{'C': 0.5, 'gamma': 8.0, 'kernel': 'rbf'}"
149,140,136,146,159,"{'C': 0.5, 'gamma': 16.0, 'kernel': 'rbf'}"
126,125,126,126,124,"{'C': 0.5, 'gamma': 32.0, 'kernel': 'rbf'}"
111,110,111,110,111,"{'C': 0.5, 'gamma': 64.0, 'kernel': 'rbf'}"
95,94,95,95,92,"{'C': 0.5, 'gamma': 128.0, 'kernel': 'rbf'}"
79,47,67,79,2,"{'C': 0.5, 'gamma': 256.0, 'kernel': 'rbf'}"
58,2,35,58,34,"{'C': 0.5, 'gamma': 512.0, 'kernel': 'rbf'}"
57,54,12,51,81,"{'C': 0.5, 'gamma': 1024.0, 'kernel': 'rbf'}"
1,80,37,1,41,"{'C': 0.5, 'gamma': 2048.0, 'kernel': 'rbf'}"
236,230,232,236,236,"{'C': 1.0, 'gamma': 0.0625, 'kernel': 'rbf'}"
224,223,222,224,225,"{'C': 1.0, 'gamma': 0.125, 'kernel': 'rbf'}"
197,218,216,214,197,"{'C': 1.0, 'gamma': 0.25, 'kernel': 'rbf'}"
206,211,207,208,206,"{'C': 1.0, 'gamma': 0.5, 'kernel': 'rbf'}"
213,200,202,197,213,"{'C': 1.0, 'gamma': 1.0, 'kernel': 'rbf'}"
195,190,175,195,195,"{'C': 1.0, 'gamma': 2.0, 'kernel': 'rbf'}"
179,179,150,179,179,"{'C': 1.0, 'gamma': 4.0, 'kernel': 'rbf'}"
148,146,142,157,147,"{'C': 1.0, 'gamma': 8.0, 'kernel': 'rbf'}"
132,132,133,133,131,"{'C': 1.0, 'gamma': 16.0, 'kernel': 'rbf'}"
117,118,119,118,117,"{'C': 1.0, 'gamma': 32.0, 'kernel': 'rbf'}"
103,102,103,103,105,"{'C': 1.0, 'gamma': 64.0, 'kernel': 'rbf'}"
89,85,86,88,23,"{'C': 1.0, 'gamma': 128.0, 'kernel': 'rbf'}"
68,4,52,69,8,"{'C': 1.0, 'gamma': 256.0, 'kernel': 'rbf'}"
44,3,13,35,54,"{'C': 1.0, 'gamma': 512.0, 'kernel': 'rbf'}"
3,66,11,1,60,"{'C': 1.0, 'gamma': 1024.0, 'kernel': 'rbf'}"
2,79,36,1,50,"{'C': 1.0, 'gamma': 2048.0, 'kernel': 'rbf'}"
225,222,223,225,224,"{'C': 2.0, 'gamma': 0.0625, 'kernel': 'rbf'}"
197,215,214,214,197,"{'C': 2.0, 'gamma': 0.125, 'kernel': 'rbf'}"
203,211,209,205,203,"{'C': 2.0, 'gamma': 0.25, 'kernel': 'rbf'}"
213,201,203,197,213,"{'C': 2.0, 'gamma': 0.5, 'kernel': 'rbf'}"
194,191,176,190,194,"{'C': 2.0, 'gamma': 1.0, 'kernel': 'rbf'}"
182,180,153,180,182,"{'C': 2.0, 'gamma': 2.0, 'kernel': 'rbf'}"
150,154,149,163,143,"{'C': 2.0, 'gamma': 4.0, 'kernel': 'rbf'}"
140,139,140,139,137,"{'C': 2.0, 'gamma': 8.0, 'kernel': 'rbf'}"
124,126,127,125,123,"{'C': 2.0, 'gamma': 16.0, 'kernel': 'rbf'}"
110,111,112,112,110,"{'C': 2.0, 'gamma': 32.0, 'kernel': 'rbf'}"
96,95,96,96,94,"{'C': 2.0, 'gamma': 64.0, 'kernel': 'rbf'}"
80,51,72,80,3,"{'C': 2.0, 'gamma': 128.0, 'kernel': 'rbf'}"
43,1,46,51,14,"{'C': 2.0, 'gamma': 256.0, 'kernel': 'rbf'}"
52,39,23,35,90,"{'C': 2.0, 'gamma': 512.0, 'kernel': 'rbf'}"
3,65,10,1,60,"{'C': 2.0, 'gamma': 1024.0, 'kernel': 'rbf'}"
14,69,25,14,71,"{'C': 2.0, 'gamma': 2048.0, 'kernel': 'rbf'}"
197,214,213,214,197,"{'C': 4.0, 'gamma': 0.0625, 'kernel': 'rbf'}"
204,209,208,206,204,"{'C': 4.0, 'gamma': 0.125, 'kernel': 'rbf'}"
213,202,201,197,213,"{'C': 4.0, 'gamma': 0.25, 'kernel': 'rbf'}"
190,192,181,190,190,"{'C': 4.0, 'gamma': 0.5, 'kernel': 'rbf'}"
181,181,157,182,181,"{'C': 4.0, 'gamma': 1.0, 'kernel': 'rbf'}"
165,162,156,166,160,"{'C': 4.0, 'gamma': 2.0, 'kernel': 'rbf'}"
144,145,146,147,142,"{'C': 4.0, 'gamma': 4.0, 'kernel': 'rbf'}"
130,134,135,132,128,"{'C': 4.0, 'gamma': 8.0, 'kernel': 'rbf'}"
119,119,120,119,119,"{'C': 4.0, 'gamma': 16.0, 'kernel': 'rbf'}"
104,103,105,104,103,"{'C': 4.0, 'gamma': 32.0, 'kernel': 'rbf'}"
87,86,88,87,21,"{'C': 4.0, 'gamma': 64.0, 'kernel': 'rbf'}"
62,37,61,66,6,"{'C': 4.0, 'gamma': 128.0, 'kernel': 'rbf'}"
33,8,49,35,42,"{'C': 4.0, 'gamma': 256.0, 'kernel': 'rbf'}"
52,36,22,35,90,"{'C': 4.0, 'gamma': 512.0, 'kernel': 'rbf'}"
3,64,9,1,60,"{'C': 4.0, 'gamma': 1024.0, 'kernel': 'rbf'}"
