rank_test_f1,mean_test_f1,std_test_f1,rank_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_accuracy,mean_test_accuracy,std_test_accuracy,params
37,0.9747612061355981,0.018174208011880456,42,0.9984549908333047,0.001659838601069383,45,0.9980311463826936,0.00218737972935007,38,0.9754469987228607,0.017488794065209843,"{'reg_alpha': 0, 'reg_lambda': 0}"
40,0.9746508440432053,0.018429212437987105,28,0.9985205425925111,0.0016330078424437388,22,0.9981788275713492,0.002109473086068589,40,0.9753512132822477,0.01772702172762659,"{'reg_alpha': 0, 'reg_lambda': 0.01}"
48,0.9743053445032916,0.018037824591181497,52,0.9983848949744655,0.001721691932513336,54,0.9979373764503322,0.0022527367176935023,48,0.9750159642401023,0.01735196137396013,"{'reg_alpha': 0, 'reg_lambda': 0.02}"
49,0.9741605845511945,0.018429794160554708,44,0.9984463894108359,0.001697873139783612,47,0.9980262057291875,0.0022583039836364324,49,0.9748882503192849,0.017716322196557308,"{'reg_alpha': 0, 'reg_lambda': 0.05}"
31,0.9751620852224514,0.017439012246284562,9,0.9985930188153759,0.0015163110558111092,9,0.9982458028919782,0.0019560086817153846,31,0.9758141762452107,0.016810883024596275,"{'reg_alpha': 0, 'reg_lambda': 0.1}"
4,0.976426545334745,0.01669444327958213,13,0.9985794323907295,0.0014841571976476429,11,0.9982325410531191,0.0019081707047202798,4,0.9770114942528736,0.016103875274691128,"{'reg_alpha': 0, 'reg_lambda': 0.5}"
20,0.9755400872813711,0.0183957134053634,5,0.9986059630004778,0.0016244699878562243,5,0.9982658793469181,0.002133100797251562,19,0.9762132822477649,0.017690870469099496,"{'reg_alpha': 0, 'reg_lambda': 1}"
3,0.9764656263818392,0.01775458210443069,3,0.9986191391054154,0.0015175488856472043,3,0.9982955289305592,0.0019450609473018639,3,0.9770913154533843,0.01708576479408613,"{'reg_alpha': 0, 'reg_lambda': 2}"
2,0.9765728353547276,0.018090263780491982,1,0.9986436359566067,0.0015025038677732242,1,0.9983101495222325,0.001935664191803068,2,0.9772030651340996,0.017382235280560994,"{'reg_alpha': 0, 'reg_lambda': 3}"
30,0.9751947037088378,0.01836136668536664,22,0.9985521142729686,0.001652761826176288,24,0.9981690946295207,0.002182432210792435,30,0.9758939974457217,0.01765878774076466,"{'reg_alpha': 0.01, 'reg_lambda': 0}"
7,0.9762628508187078,0.016474829841276913,36,0.9985001081612948,0.0016876208356000968,35,0.9981105942217251,0.0022415512191824197,7,0.9768358876117496,0.015908539481743773,"{'reg_alpha': 0.01, 'reg_lambda': 0.01}"
41,0.9746271324758904,0.0183316013966436,46,0.9984238575068218,0.0018252590931376,46,0.9980283872539537,0.002369178514122299,41,0.9753192848020433,0.017630868029060116,"{'reg_alpha': 0.01, 'reg_lambda': 0.02}"
45,0.9744459801231284,0.017997152080117502,40,0.9984693137945715,0.0016486372188034997,41,0.9980699474129702,0.0022027063808832356,46,0.9751277139208174,0.01733973706659271,"{'reg_alpha': 0.01, 'reg_lambda': 0.05}"
9,0.9760670252602571,0.017012657507709406,17,0.9985705276884758,0.0015906825198696857,10,0.9982448980744643,0.0020213144539939654,9,0.9766762452107279,0.016424355939825545,"{'reg_alpha': 0.01, 'reg_lambda': 0.1}"
15,0.9756574669618161,0.017454140651816462,10,0.9985858242033375,0.0015509733502129803,6,0.9982643796519601,0.0019773828961112713,15,0.9763090676883779,0.01679225593444458,"{'reg_alpha': 0.01, 'reg_lambda': 0.5}"
17,0.9756365586482337,0.018073343969912305,34,0.9985010944577377,0.001676926535073259,38,0.9981057019887721,0.0022272189861221097,17,0.9762771392081737,0.017394825311268968,"{'reg_alpha': 0.01, 'reg_lambda': 1}"
