rank_test_f1,mean_test_f1,std_test_f1,rank_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_accuracy,mean_test_accuracy,std_test_accuracy,params
8,0.9820408891294921,0.014423033349310223,12,0.9987886920578684,0.0012881108795975238,15,0.998384535519482,0.0017286901156301506,8,0.9823646850044365,0.014047502205493582,"{'colsample_bytree': 0.6, 'subsample': 0.6}"
5,0.9823040993580057,0.013049938481869538,10,0.9988138765869501,0.0011632149434365345,9,0.9984817658155787,0.0015083878124479535,5,0.9825865128660161,0.012725458396811565,"{'colsample_bytree': 0.6, 'subsample': 0.7}"
7,0.9822047273590773,0.014137662205625727,8,0.9988198110422204,0.0012269019840899066,5,0.9985308604866135,0.001517837902398779,7,0.9825199645075422,0.01375719097348673,"{'colsample_bytree': 0.6, 'subsample': 0.8}"
14,0.9812211714851896,0.014006027155810036,13,0.998787540596398,0.0013291784838974773,10,0.9984702775119146,0.0017420711816490844,14,0.9815661047027506,0.013606097196274113,"{'colsample_bytree': 0.6, 'subsample': 0.9}"
3,0.982769675549781,0.013374642980302437,5,0.998838057277827,0.0012091731603727082,3,0.9985471758590627,0.0015527604845992143,3,0.9830523513753328,0.01303215559839352,"{'colsample_bytree': 0.7, 'subsample': 0.6}"
13,0.9814468936182135,0.01381417967852915,7,0.998827349670308,0.0012695673820273103,7,0.9985142596922923,0.0017199105352272452,13,0.981765749778172,0.0134488069229767,"{'colsample_bytree': 0.7, 'subsample': 0.7}"
6,0.98228341300309,0.013208235287696126,6,0.9988328806219859,0.0012437244174517126,12,0.998428279451909,0.0018067827682344082,5,0.9825865128660161,0.012845346429729109,"{'colsample_bytree': 0.7, 'subsample': 0.8}"
4,0.9823637637541669,0.013023165577253203,11,0.9988022143489814,0.0012198193997483568,11,0.9984597349465669,0.0016275922654809363,4,0.9826530612244898,0.012715323180480978,"{'colsample_bytree': 0.7, 'subsample': 0.9}"
2,0.9830969290175299,0.013109355319121618,3,0.9988472886526916,0.0011908100992536759,6,0.9985262890626011,0.001594566974069063,2,0.983362910381544,0.012777361850305155,"{'colsample_bytree': 0.8, 'subsample': 0.6}"
11,0.9817528854682636,0.013257282768404025,15,0.9987613325460092,0.001338036512905269,13,0.9984121360729222,0.0018113458717916142,11,0.9820541259982253,0.012911715491357497,"{'colsample_bytree': 0.8, 'subsample': 0.7}"
9,0.981954924456107,0.013458660585783783,4,0.9988456057474657,0.001187949264536771,4,0.99854229230572,0.0015878394069641388,9,0.9822759538598047,0.013093369564262628,"{'colsample_bytree': 0.8, 'subsample': 0.8}"
15,0.9809796268322186,0.013631380915677973,16,0.9987611258734377,0.0012670682606462256,14,0.9983961768191729,0.0017038960532124317,15,0.9813220940550134,0.013272018611910866,"{'colsample_bytree': 0.8, 'subsample': 0.9}"
1,0.9836067984458019,0.01256310242515318,1,0.9989394400157465,0.0010427545563428367,1,0.9986357286887676,0.0014308472480375274,1,0.9838509316770185,0.01226862501932729,"{'colsample_bytree': 0.9, 'subsample': 0.6}"
10,0.981920378796756,0.01381092585167566,14,0.9987763704359807,0.0012461786143532986,16,0.9983608355269921,0.0017032914741960717,10,0.9822315882874889,0.013445659916092203,"{'colsample_bytree': 0.9, 'subsample': 0.7}"
16,0.9807764602805428,0.014323421743788069,2,0.9988563724042908,0.001204621508398931,2,0.9985835585669024,0.001561562395298445,16,0.9811446317657498,0.013906147846167291,"{'colsample_bytree': 0.9, 'subsample': 0.8}"
12,0.9816812682956852,0.013273304935819064,9,0.9988155988583802,0.0012281893964104951,8,0.9984818991652016,0.0016741794461274525,12,0.9819875776397516,0.012926037214980484,"{'colsample_bytree': 0.9, 'subsample': 0.9}"
