rank_test_f1,mean_test_f1,std_test_f1,rank_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_accuracy,mean_test_accuracy,std_test_accuracy,params
43,0.9758175783122016,0.01732026794136301,51,0.998756815057128,0.001252958746589674,48,0.9984934785212489,0.001540350865935679,43,0.9764722417427969,0.016666982559522512,"{'reg_alpha': 0, 'reg_lambda': 0}"
33,0.9764568379530869,0.016813594123874308,43,0.9987956589073784,0.0012197588457809356,41,0.9985451818101321,0.0014924337794941305,33,0.9770625439212932,0.016188473368168033,"{'reg_alpha': 0, 'reg_lambda': 0.01}"
20,0.9768407857268905,0.01643607313485699,48,0.9987708086410974,0.0012043698107724573,49,0.9984916974646809,0.0015089418050636928,20,0.9774279690794095,0.01584678850621018,"{'reg_alpha': 0, 'reg_lambda': 0.02}"
34,0.9763469440608299,0.017423073190411295,37,0.9988183974936392,0.0011821979433685674,47,0.9985011400633461,0.00154152962558467,34,0.9769922698524244,0.016754175154887915,"{'reg_alpha': 0, 'reg_lambda': 0.05}"
21,0.9768029038907908,0.016929017607072074,4,0.9989341882773115,0.001116894591841002,4,0.9987300174966363,0.001358827952433569,21,0.977413914265636,0.01629531862118514,"{'reg_alpha': 0, 'reg_lambda': 0.1}"
23,0.9767926063270309,0.01688282230754551,29,0.998841444239005,0.0011800707909455004,23,0.9986174829629082,0.0014385718647851905,22,0.9773998594518624,0.01626455939672392,"{'reg_alpha': 0, 'reg_lambda': 0.5}"
8,0.9773652773109485,0.016324176791983017,2,0.9989558423805687,0.0011144253852006078,2,0.9987353886036259,0.001385776065325013,8,0.9779479971890372,0.01571158456973502,"{'reg_alpha': 0, 'reg_lambda': 1}"
4,0.977560318318719,0.016655380666828725,1,0.9989652333317529,0.001077399267840253,1,0.9987701854199516,0.0012945639812490602,5,0.9781307097680955,0.016040317531982838,"{'reg_alpha': 0, 'reg_lambda': 2}"
2,0.9781847802556181,0.016624724244150537,21,0.9988714897517343,0.001134872088531556,21,0.9986365520823529,0.001382755070027322,2,0.9787350667603654,0.016021661652215396,"{'reg_alpha': 0, 'reg_lambda': 3}"
53,0.9753909409512538,0.017527190933209758,60,0.998680030104774,0.0013055614662921934,62,0.9983286209752498,0.0016859530349940786,53,0.9760646521433591,0.016864991783101965,"{'reg_alpha': 0.01, 'reg_lambda': 0}"
45,0.9757731969300251,0.017220760041111612,49,0.9987654751181276,0.0012637636225515654,50,0.9984842960289038,0.0015854364474494945,45,0.9764160224877021,0.016588348391945982,"{'reg_alpha': 0.01, 'reg_lambda': 0.01}"
46,0.9756764576955513,0.017759296683168287,41,0.9988050281293953,0.0011631381612112002,46,0.9985037512979898,0.0014578015912783708,46,0.9763457484188335,0.017070067492348472,"{'reg_alpha': 0.01, 'reg_lambda': 0.02}"
35,0.9762848514989948,0.016487165734390886,26,0.9988563563741526,0.0011613348387131584,29,0.9985929369038651,0.001460923764834736,35,0.9769079409697821,0.015863993990705042,"{'reg_alpha': 0.01, 'reg_lambda': 0.05}"
44,0.9757733444566133,0.017262175319086772,22,0.9988665236492359,0.001157791927529905,18,0.9986633529162608,0.0013942338212967445,44,0.9764441321152495,0.016596848686934593,"{'reg_alpha': 0.01, 'reg_lambda': 0.1}"
9,0.977338126228512,0.016354567477767246,11,0.998903775344111,0.0010913295867014008,17,0.9986673694361843,0.0013442999558992324,9,0.9779198875614898,0.015750198319441903,"{'reg_alpha': 0.01, 'reg_lambda': 0.5}"
28,0.9765661040152782,0.017293282248434648,10,0.9989068766889488,0.0011231387927588467,6,0.9987111544139375,0.0013481305467248383,28,0.9772030920590302,0.016623143458603985,"{'reg_alpha': 0.01, 'reg_lambda': 1}"
5,0.9775556850246581,0.01678226672782617,15,0.9988928356958864,0.0011662266170008998,16,0.9986690151190982,0.0014291375424541814,4,0.9781307097680957,0.01616177696829996,"{'reg_alpha': 0.01, 'reg_lambda': 2}"
