rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
7,14,9,8,5,"{'colsample_bytree': 0.6, 'subsample': 0.6}"
16,15,11,14,16,"{'colsample_bytree': 0.6, 'subsample': 0.7}"
11,10,10,8,8,"{'colsample_bytree': 0.6, 'subsample': 0.8}"
14,7,16,15,9,"{'colsample_bytree': 0.6, 'subsample': 0.9}"
4,13,7,8,3,"{'colsample_bytree': 0.7, 'subsample': 0.6}"
2,9,5,1,4,"{'colsample_bytree': 0.7, 'subsample': 0.7}"
5,2,2,4,10,"{'colsample_bytree': 0.7, 'subsample': 0.8}"
3,11,8,2,2,"{'colsample_bytree': 0.7, 'subsample': 0.9}"
7,8,13,8,5,"{'colsample_bytree': 0.8, 'subsample': 0.6}"
1,16,6,2,1,"{'colsample_bytree': 0.8, 'subsample': 0.7}"
15,1,14,16,15,"{'colsample_bytree': 0.8, 'subsample': 0.8}"
10,6,15,6,12,"{'colsample_bytree': 0.8, 'subsample': 0.9}"
12,3,4,6,13,"{'colsample_bytree': 0.9, 'subsample': 0.6}"
7,12,12,8,5,"{'colsample_bytree': 0.9, 'subsample': 0.7}"
13,5,1,13,14,"{'colsample_bytree': 0.9, 'subsample': 0.8}"
5,4,3,4,10,"{'colsample_bytree': 0.9, 'subsample': 0.9}"
