rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
17,69,44,10,25,"{'reg_alpha': 0, 'reg_lambda': 0}"
70,40,71,44,77,"{'reg_alpha': 0, 'reg_lambda': 0.01}"
40,39,32,28,48,"{'reg_alpha': 0, 'reg_lambda': 0.02}"
31,45,50,20,34,"{'reg_alpha': 0, 'reg_lambda': 0.05}"
65,19,78,60,65,"{'reg_alpha': 0, 'reg_lambda': 0.1}"
59,12,68,60,56,"{'reg_alpha': 0, 'reg_lambda': 0.5}"
9,1,1,10,10,"{'reg_alpha': 0, 'reg_lambda': 1}"
62,7,14,44,70,"{'reg_alpha': 0, 'reg_lambda': 2}"
48,13,9,60,33,"{'reg_alpha': 0, 'reg_lambda': 3}"
26,61,70,39,20,"{'reg_alpha': 0.01, 'reg_lambda': 0}"
56,68,23,55,55,"{'reg_alpha': 0.01, 'reg_lambda': 0.01}"
81,72,64,69,81,"{'reg_alpha': 0.01, 'reg_lambda': 0.02}"
40,32,47,28,48,"{'reg_alpha': 0.01, 'reg_lambda': 0.05}"
64,70,43,69,57,"{'reg_alpha': 0.01, 'reg_lambda': 0.1}"
68,5,48,69,66,"{'reg_alpha': 0.01, 'reg_lambda': 0.5}"
40,42,52,28,48,"{'reg_alpha': 0.01, 'reg_lambda': 1}"
57,4,20,44,62,"{'reg_alpha': 0.01, 'reg_lambda': 2}"
54,53,40,60,42,"{'reg_alpha': 0.01, 'reg_lambda': 3}"
79,62,56,79,76,"{'reg_alpha': 0.02, 'reg_lambda': 0}"
29,76,79,28,29,"{'reg_alpha': 0.02, 'reg_lambda': 0.01}"
45,44,63,44,39,"{'reg_alpha': 0.02, 'reg_lambda': 0.02}"
80,2,65,79,80,"{'reg_alpha': 0.02, 'reg_lambda': 0.05}"
54,57,45,60,42,"{'reg_alpha': 0.02, 'reg_lambda': 0.1}"
25,27,58,20,28,"{'reg_alpha': 0.02, 'reg_lambda': 0.5}"
72,9,69,60,72,"{'reg_alpha': 0.02, 'reg_lambda': 1}"
72,15,54,60,72,"{'reg_alpha': 0.02, 'reg_lambda': 2}"
7,54,8,5,11,"{'reg_alpha': 0.02, 'reg_lambda': 3}"
38,50,35,44,32,"{'reg_alpha': 0.05, 'reg_lambda': 0}"
36,75,34,55,22,"{'reg_alpha': 0.05, 'reg_lambda': 0.01}"
52,21,12,44,53,"{'reg_alpha': 0.05, 'reg_lambda': 0.02}"
37,14,30,20,47,"{'reg_alpha': 0.05, 'reg_lambda': 0.05}"
47,77,81,69,23,"{'reg_alpha': 0.05, 'reg_lambda': 0.1}"
34,29,27,39,31,"{'reg_alpha': 0.05, 'reg_lambda': 0.5}"
70,49,33,44,77,"{'reg_alpha': 0.05, 'reg_lambda': 1}"
40,47,10,28,48,"{'reg_alpha': 0.05, 'reg_lambda': 2}"
12,37,67,15,13,"{'reg_alpha': 0.05, 'reg_lambda': 3}"
62,35,80,44,70,"{'reg_alpha': 0.1, 'reg_lambda': 0}"
66,78,42,74,58,"{'reg_alpha': 0.1, 'reg_lambda': 0.01}"
29,24,2,28,29,"{'reg_alpha': 0.1, 'reg_lambda': 0.02}"
19,74,39,20,17,"{'reg_alpha': 0.1, 'reg_lambda': 0.05}"
31,31,3,20,34,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
4,23,4,5,8,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
16,8,22,39,5,"{'reg_alpha': 0.1, 'reg_lambda': 1}"
72,10,21,60,72,"{'reg_alpha': 0.1, 'reg_lambda': 2}"
21,6,55,28,18,"{'reg_alpha': 0.1, 'reg_lambda': 3}"
78,51,11,74,79,"{'reg_alpha': 0.5, 'reg_lambda': 0}"
23,18,5,7,45,"{'reg_alpha': 0.5, 'reg_lambda': 0.01}"
72,46,28,60,72,"{'reg_alpha': 0.5, 'reg_lambda': 0.02}"
51,34,46,20,69,"{'reg_alpha': 0.5, 'reg_lambda': 0.05}"
45,65,18,44,39,"{'reg_alpha': 0.5, 'reg_lambda': 0.1}"
3,26,38,1,7,"{'reg_alpha': 0.5, 'reg_lambda': 0.5}"
20,64,17,15,27,"{'reg_alpha': 0.5, 'reg_lambda': 1}"
12,11,31,15,13,"{'reg_alpha': 0.5, 'reg_lambda': 2}"
50,33,53,55,41,"{'reg_alpha': 0.5, 'reg_lambda': 3}"
1,38,16,1,2,"{'reg_alpha': 1, 'reg_lambda': 0}"
17,20,7,10,25,"{'reg_alpha': 1, 'reg_lambda': 0.01}"
12,81,66,15,13,"{'reg_alpha': 1, 'reg_lambda': 0.02}"
8,55,6,3,24,"{'reg_alpha': 1, 'reg_lambda': 0.05}"
28,17,13,10,46,"{'reg_alpha': 1, 'reg_lambda': 0.1}"
35,43,15,28,37,"{'reg_alpha': 1, 'reg_lambda': 0.5}"
40,25,26,28,48,"{'reg_alpha': 1, 'reg_lambda': 1}"
2,22,29,3,1,"{'reg_alpha': 1, 'reg_lambda': 2}"
21,59,49,28,18,"{'reg_alpha': 1, 'reg_lambda': 3}"
49,63,25,28,61,"{'reg_alpha': 2, 'reg_lambda': 0}"
6,3,19,7,9,"{'reg_alpha': 2, 'reg_lambda': 0.01}"
68,48,72,69,66,"{'reg_alpha': 2, 'reg_lambda': 0.02}"
10,28,41,7,12,"{'reg_alpha': 2, 'reg_lambda': 0.05}"
5,73,24,10,3,"{'reg_alpha': 2, 'reg_lambda': 0.1}"
12,80,59,15,13,"{'reg_alpha': 2, 'reg_lambda': 0.5}"
57,67,37,44,62,"{'reg_alpha': 2, 'reg_lambda': 1}"
61,36,57,74,44,"{'reg_alpha': 2, 'reg_lambda': 2}"
77,30,51,81,60,"{'reg_alpha': 2, 'reg_lambda': 3}"
39,58,76,39,38,"{'reg_alpha': 3, 'reg_lambda': 0}"
11,79,74,20,4,"{'reg_alpha': 3, 'reg_lambda': 0.01}"
66,52,61,74,58,"{'reg_alpha': 3, 'reg_lambda': 0.02}"
31,41,60,20,34,"{'reg_alpha': 3, 'reg_lambda': 0.05}"
24,66,73,55,6,"{'reg_alpha': 3, 'reg_lambda': 0.1}"
52,16,36,44,53,"{'reg_alpha': 3, 'reg_lambda': 0.5}"
76,56,62,74,68,"{'reg_alpha': 3, 'reg_lambda': 1}"
26,71,77,39,20,"{'reg_alpha': 3, 'reg_lambda': 2}"
60,60,75,55,64,"{'reg_alpha': 3, 'reg_lambda': 3}"
