rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
49,51,52,49,2,"{'max_depth': 3, 'min_child_weight': 1}"
53,54,54,52,11,"{'max_depth': 3, 'min_child_weight': 2}"
51,50,53,51,12,"{'max_depth': 3, 'min_child_weight': 3}"
50,49,50,49,5,"{'max_depth': 3, 'min_child_weight': 4}"
52,52,49,52,8,"{'max_depth': 3, 'min_child_weight': 5}"
54,53,51,54,13,"{'max_depth': 3, 'min_child_weight': 6}"
45,15,44,44,4,"{'max_depth': 4, 'min_child_weight': 1}"
43,36,43,43,3,"{'max_depth': 4, 'min_child_weight': 2}"
46,32,45,47,6,"{'max_depth': 4, 'min_child_weight': 3}"
48,34,47,46,14,"{'max_depth': 4, 'min_child_weight': 4}"
44,13,46,45,1,"{'max_depth': 4, 'min_child_weight': 5}"
47,47,48,48,7,"{'max_depth': 4, 'min_child_weight': 6}"
25,1,34,36,9,"{'max_depth': 5, 'min_child_weight': 1}"
30,30,39,36,17,"{'max_depth': 5, 'min_child_weight': 2}"
21,9,38,32,16,"{'max_depth': 5, 'min_child_weight': 3}"
32,44,40,40,10,"{'max_depth': 5, 'min_child_weight': 4}"
42,48,41,42,19,"{'max_depth': 5, 'min_child_weight': 5}"
38,45,42,41,18,"{'max_depth': 5, 'min_child_weight': 6}"
8,40,21,14,20,"{'max_depth': 6, 'min_child_weight': 1}"
6,33,28,6,31,"{'max_depth': 6, 'min_child_weight': 2}"
24,41,37,21,33,"{'max_depth': 6, 'min_child_weight': 3}"
20,21,31,21,29,"{'max_depth': 6, 'min_child_weight': 4}"
37,14,35,39,35,"{'max_depth': 6, 'min_child_weight': 5}"
19,37,36,26,14,"{'max_depth': 6, 'min_child_weight': 6}"
26,27,30,20,43,"{'max_depth': 7, 'min_child_weight': 1}"
17,12,15,11,41,"{'max_depth': 7, 'min_child_weight': 2}"
15,46,25,11,38,"{'max_depth': 7, 'min_child_weight': 3}"
41,7,33,35,54,"{'max_depth': 7, 'min_child_weight': 4}"
31,4,26,26,40,"{'max_depth': 7, 'min_child_weight': 5}"
22,23,27,26,22,"{'max_depth': 7, 'min_child_weight': 6}"
12,19,7,6,47,"{'max_depth': 8, 'min_child_weight': 1}"
2,31,11,2,23,"{'max_depth': 8, 'min_child_weight': 2}"
29,5,5,26,34,"{'max_depth': 8, 'min_child_weight': 3}"
18,16,24,14,42,"{'max_depth': 8, 'min_child_weight': 4}"
14,8,9,18,24,"{'max_depth': 8, 'min_child_weight': 5}"
4,2,10,6,25,"{'max_depth': 8, 'min_child_weight': 6}"
10,43,20,10,32,"{'max_depth': 9, 'min_child_weight': 1}"
13,39,19,14,27,"{'max_depth': 9, 'min_child_weight': 2}"
35,6,14,26,51,"{'max_depth': 9, 'min_child_weight': 3}"
39,28,29,34,53,"{'max_depth': 9, 'min_child_weight': 4}"
28,26,16,21,44,"{'max_depth': 9, 'min_child_weight': 5}"
40,11,23,36,49,"{'max_depth': 9, 'min_child_weight': 6}"
7,3,1,2,46,"{'max_depth': 10, 'min_child_weight': 1}"
35,18,18,26,51,"{'max_depth': 10, 'min_child_weight': 2}"
16,38,17,18,28,"{'max_depth': 10, 'min_child_weight': 3}"
11,20,13,11,26,"{'max_depth': 10, 'min_child_weight': 4}"
1,24,6,1,21,"{'max_depth': 10, 'min_child_weight': 5}"
34,17,22,32,45,"{'max_depth': 10, 'min_child_weight': 6}"
3,10,2,4,30,"{'max_depth': 12, 'min_child_weight': 1}"
5,22,4,4,36,"{'max_depth': 12, 'min_child_weight': 2}"
23,42,12,14,50,"{'max_depth': 12, 'min_child_weight': 3}"
9,25,3,6,37,"{'max_depth': 12, 'min_child_weight': 4}"
33,35,32,25,48,"{'max_depth': 12, 'min_child_weight': 5}"
27,29,8,21,39,"{'max_depth': 12, 'min_child_weight': 6}"
