rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
15,2,4,15,13,"{'colsample_bytree': 0.6, 'subsample': 0.6}"
15,10,11,15,13,"{'colsample_bytree': 0.6, 'subsample': 0.7}"
12,16,10,14,10,"{'colsample_bytree': 0.6, 'subsample': 0.8}"
8,15,14,6,11,"{'colsample_bytree': 0.6, 'subsample': 0.9}"
3,11,6,3,3,"{'colsample_bytree': 0.7, 'subsample': 0.6}"
7,5,8,11,1,"{'colsample_bytree': 0.7, 'subsample': 0.7}"
5,8,9,3,8,"{'colsample_bytree': 0.7, 'subsample': 0.8}"
3,6,3,3,3,"{'colsample_bytree': 0.7, 'subsample': 0.9}"
10,14,16,12,9,"{'colsample_bytree': 0.8, 'subsample': 0.6}"
9,3,2,9,7,"{'colsample_bytree': 0.8, 'subsample': 0.7}"
2,1,1,2,2,"{'colsample_bytree': 0.8, 'subsample': 0.8}"
13,12,12,9,16,"{'colsample_bytree': 0.8, 'subsample': 0.9}"
1,9,5,1,5,"{'colsample_bytree': 0.9, 'subsample': 0.6}"
6,7,15,6,6,"{'colsample_bytree': 0.9, 'subsample': 0.7}"
14,13,13,12,12,"{'colsample_bytree': 0.9, 'subsample': 0.8}"
10,4,7,8,15,"{'colsample_bytree': 0.9, 'subsample': 0.9}"
