rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
48,75,47,46,37,"{'reg_alpha': 0, 'reg_lambda': 0}"
48,77,81,46,37,"{'reg_alpha': 0, 'reg_lambda': 0.01}"
34,65,60,32,31,"{'reg_alpha': 0, 'reg_lambda': 0.02}"
68,20,73,70,53,"{'reg_alpha': 0, 'reg_lambda': 0.05}"
78,7,69,77,76,"{'reg_alpha': 0, 'reg_lambda': 0.1}"
11,30,65,7,27,"{'reg_alpha': 0, 'reg_lambda': 0.5}"
21,4,8,12,28,"{'reg_alpha': 0, 'reg_lambda': 1}"
17,80,62,12,17,"{'reg_alpha': 0, 'reg_lambda': 2}"
77,17,16,77,55,"{'reg_alpha': 0, 'reg_lambda': 3}"
4,44,51,4,3,"{'reg_alpha': 0.01, 'reg_lambda': 0}"
17,78,26,12,17,"{'reg_alpha': 0.01, 'reg_lambda': 0.01}"
42,1,18,46,24,"{'reg_alpha': 0.01, 'reg_lambda': 0.02}"
40,2,13,32,48,"{'reg_alpha': 0.01, 'reg_lambda': 0.05}"
44,13,54,32,58,"{'reg_alpha': 0.01, 'reg_lambda': 0.1}"
22,73,80,26,11,"{'reg_alpha': 0.01, 'reg_lambda': 0.5}"
63,37,76,59,65,"{'reg_alpha': 0.01, 'reg_lambda': 1}"
32,31,55,12,78,"{'reg_alpha': 0.01, 'reg_lambda': 2}"
75,8,34,70,74,"{'reg_alpha': 0.01, 'reg_lambda': 3}"
70,39,35,59,79,"{'reg_alpha': 0.02, 'reg_lambda': 0}"
26,63,71,12,56,"{'reg_alpha': 0.02, 'reg_lambda': 0.01}"
2,53,40,2,2,"{'reg_alpha': 0.02, 'reg_lambda': 0.02}"
63,81,38,59,65,"{'reg_alpha': 0.02, 'reg_lambda': 0.05}"
34,60,56,32,31,"{'reg_alpha': 0.02, 'reg_lambda': 0.1}"
67,59,72,59,73,"{'reg_alpha': 0.02, 'reg_lambda': 0.5}"
63,47,50,59,65,"{'reg_alpha': 0.02, 'reg_lambda': 1}"
55,33,57,59,26,"{'reg_alpha': 0.02, 'reg_lambda': 2}"
59,24,78,59,41,"{'reg_alpha': 0.02, 'reg_lambda': 3}"
8,36,48,7,15,"{'reg_alpha': 0.05, 'reg_lambda': 0}"
44,64,41,32,58,"{'reg_alpha': 0.05, 'reg_lambda': 0.01}"
24,12,42,26,21,"{'reg_alpha': 0.05, 'reg_lambda': 0.02}"
28,51,33,26,29,"{'reg_alpha': 0.05, 'reg_lambda': 0.05}"
12,74,75,12,7,"{'reg_alpha': 0.05, 'reg_lambda': 0.1}"
17,72,28,12,17,"{'reg_alpha': 0.05, 'reg_lambda': 0.5}"
34,46,68,32,31,"{'reg_alpha': 0.05, 'reg_lambda': 1}"
56,71,37,46,62,"{'reg_alpha': 0.05, 'reg_lambda': 2}"
59,3,49,59,41,"{'reg_alpha': 0.05, 'reg_lambda': 3}"
34,15,15,32,31,"{'reg_alpha': 0.1, 'reg_lambda': 0}"
56,10,53,46,62,"{'reg_alpha': 0.1, 'reg_lambda': 0.01}"
44,49,20,32,58,"{'reg_alpha': 0.1, 'reg_lambda': 0.02}"
31,62,21,26,47,"{'reg_alpha': 0.1, 'reg_lambda': 0.05}"
