rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
1,129,137,1,1,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 50}"
1,125,133,1,1,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 100}"
1,133,129,1,1,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 150}"
1,93,105,1,1,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 200}"
1,97,89,1,1,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 250}"
1,101,97,1,1,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 300}"
1,53,49,1,1,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 400}"
1,109,121,1,1,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 50}"
1,117,117,1,1,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 100}"
1,137,109,1,1,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 150}"
1,89,77,1,1,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 200}"
1,85,61,1,1,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 250}"
1,77,65,1,1,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 300}"
1,29,33,1,1,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 400}"
1,113,113,1,1,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 50}"
1,57,53,1,1,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 100}"
1,65,73,1,1,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 150}"
1,49,57,1,1,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 200}"
1,33,41,1,1,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 250}"
1,37,37,1,1,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 300}"
1,9,17,1,1,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 400}"
1,121,125,1,1,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 50}"
1,61,81,1,1,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 100}"
1,69,93,1,1,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 150}"
1,45,45,1,1,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 200}"
1,21,25,1,1,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 250}"
1,1,13,1,1,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 300}"
1,13,9,1,1,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 400}"
1,105,101,1,1,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 50}"
1,73,85,1,1,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 100}"
1,81,69,1,1,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 150}"
1,41,29,1,1,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 200}"
1,25,21,1,1,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 250}"
1,5,1,1,1,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 300}"
1,17,5,1,1,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 400}"
1,129,137,1,1,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 50}"
1,125,133,1,1,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 100}"
1,133,129,1,1,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 150}"
1,93,105,1,1,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 200}"
1,97,89,1,1,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 250}"
1,101,97,1,1,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 300}"
1,53,49,1,1,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 400}"
1,109,121,1,1,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 50}"
1,117,117,1,1,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 100}"
1,137,109,1,1,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 150}"
1,89,77,1,1,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 200}"
1,85,61,1,1,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 250}"
1,77,65,1,1,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 300}"
1,29,33,1,1,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 400}"
1,113,113,1,1,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 50}"
1,57,53,1,1,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 100}"
1,65,73,1,1,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 150}"
1,49,57,1,1,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 200}"
1,33,41,1,1,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 250}"
1,37,37,1,1,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 300}"
1,9,17,1,1,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 400}"
1,121,125,1,1,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 50}"
1,61,81,1,1,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 100}"
1,69,93,1,1,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 150}"
1,45,45,1,1,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 200}"
1,21,25,1,1,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 250}"
1,1,13,1,1,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 300}"
1,13,9,1,1,"{'max_layers': 15, 'n_estimators': 10, 'n_trees': 400}"
1,105,101,1,1,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 50}"
1,73,85,1,1,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 100}"
1,81,69,1,1,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 150}"
1,41,29,1,1,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 200}"
1,25,21,1,1,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 250}"
1,5,1,1,1,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 300}"
1,17,5,1,1,"{'max_layers': 15, 'n_estimators': 13, 'n_trees': 400}"
1,129,137,1,1,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 50}"
1,125,133,1,1,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 100}"
1,133,129,1,1,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 150}"
1,93,105,1,1,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 200}"
1,97,89,1,1,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 250}"
1,101,97,1,1,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 300}"
1,53,49,1,1,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 400}"
1,109,121,1,1,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 50}"
1,117,117,1,1,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 100}"
1,137,109,1,1,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 150}"
1,89,77,1,1,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 200}"
1,85,61,1,1,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 250}"
1,77,65,1,1,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 300}"
