rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
1,17,129,1,1,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 50}"
13,1,113,13,13,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 100}"
13,5,121,13,13,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 150}"
13,13,125,13,13,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 200}"
13,9,97,13,13,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 250}"
5,77,69,5,5,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 300}"
5,85,53,5,5,"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 400}"
133,29,137,133,133,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 50}"
29,25,101,13,29,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 100}"
29,33,117,13,29,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 150}"
29,37,89,13,29,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 200}"
133,41,77,133,133,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 250}"
29,21,37,13,29,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 300}"
29,81,41,13,29,"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 400}"
29,133,133,13,29,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 50}"
29,125,93,13,29,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 100}"
29,137,105,13,29,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 150}"
29,121,73,13,29,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 200}"
29,109,49,13,29,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 250}"
29,53,17,13,29,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 300}"
29,65,29,13,29,"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 400}"
29,117,109,13,29,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 50}"
29,89,65,13,29,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 100}"
29,129,85,13,29,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 150}"
29,113,45,13,29,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 200}"
29,105,25,13,29,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 250}"
29,45,1,13,29,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 300}"
29,61,5,13,29,"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 400}"
29,73,81,13,29,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 50}"
29,69,21,13,29,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 100}"
29,101,61,13,29,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 150}"
29,97,57,13,29,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 200}"
29,93,33,13,29,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 250}"
29,49,9,13,29,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 300}"
29,57,13,13,29,"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 400}"
1,17,129,1,1,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 50}"
13,1,113,13,13,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 100}"
13,5,121,13,13,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 150}"
13,13,125,13,13,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 200}"
13,9,97,13,13,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 250}"
5,77,69,5,5,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 300}"
5,85,53,5,5,"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 400}"
133,29,137,133,133,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 50}"
29,25,101,13,29,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 100}"
29,33,117,13,29,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 150}"
29,37,89,13,29,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 200}"
133,41,77,133,133,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 250}"
29,21,37,13,29,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 300}"
29,81,41,13,29,"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 400}"
29,133,133,13,29,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 50}"
29,125,93,13,29,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 100}"
29,137,105,13,29,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 150}"
29,121,73,13,29,"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 200}"
