rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
434,91,89,432,440,"{'max_bin': 5, 'min_child_samples': 10}"
444,87,103,432,444,"{'max_bin': 5, 'min_child_samples': 20}"
434,146,132,432,440,"{'max_bin': 5, 'min_child_samples': 30}"
444,132,128,432,444,"{'max_bin': 5, 'min_child_samples': 40}"
386,107,92,363,386,"{'max_bin': 5, 'min_child_samples': 50}"
444,62,77,432,444,"{'max_bin': 5, 'min_child_samples': 60}"
386,113,78,363,386,"{'max_bin': 5, 'min_child_samples': 70}"
444,116,100,432,444,"{'max_bin': 5, 'min_child_samples': 80}"
423,66,99,423,432,"{'max_bin': 5, 'min_child_samples': 90}"
491,70,90,490,491,"{'max_bin': 5, 'min_child_samples': 100}"
423,111,84,423,432,"{'max_bin': 5, 'min_child_samples': 110}"
438,103,94,474,416,"{'max_bin': 5, 'min_child_samples': 120}"
438,112,87,474,416,"{'max_bin': 5, 'min_child_samples': 130}"
465,104,93,432,467,"{'max_bin': 5, 'min_child_samples': 140}"
491,109,69,490,491,"{'max_bin': 5, 'min_child_samples': 150}"
444,118,108,432,444,"{'max_bin': 5, 'min_child_samples': 160}"
465,119,110,432,467,"{'max_bin': 5, 'min_child_samples': 170}"
386,72,91,363,386,"{'max_bin': 5, 'min_child_samples': 180}"
386,79,83,363,386,"{'max_bin': 5, 'min_child_samples': 190}"
454,64,107,423,455,"{'max_bin': 5, 'min_child_samples': 200}"
431,93,135,462,413,"{'max_bin': 15, 'min_child_samples': 10}"
444,97,245,432,444,"{'max_bin': 15, 'min_child_samples': 20}"
434,105,117,432,440,"{'max_bin': 15, 'min_child_samples': 30}"
444,117,123,432,444,"{'max_bin': 15, 'min_child_samples': 40}"
491,123,119,490,491,"{'max_bin': 15, 'min_child_samples': 50}"
444,125,124,432,444,"{'max_bin': 15, 'min_child_samples': 60}"
434,124,125,432,440,"{'max_bin': 15, 'min_child_samples': 70}"
386,101,112,363,386,"{'max_bin': 15, 'min_child_samples': 80}"
438,115,129,474,416,"{'max_bin': 15, 'min_child_samples': 90}"
386,110,106,363,386,"{'max_bin': 15, 'min_child_samples': 100}"
491,106,111,490,491,"{'max_bin': 15, 'min_child_samples': 110}"
423,102,109,423,432,"{'max_bin': 15, 'min_child_samples': 120}"
386,94,86,363,386,"{'max_bin': 15, 'min_child_samples': 130}"
444,95,64,432,444,"{'max_bin': 15, 'min_child_samples': 140}"
415,63,61,415,423,"{'max_bin': 15, 'min_child_samples': 150}"
386,67,98,363,386,"{'max_bin': 15, 'min_child_samples': 160}"
415,53,39,415,423,"{'max_bin': 15, 'min_child_samples': 170}"
415,57,101,415,423,"{'max_bin': 15, 'min_child_samples': 180}"
491,55,63,490,491,"{'max_bin': 15, 'min_child_samples': 190}"
386,58,80,363,386,"{'max_bin': 15, 'min_child_samples': 200}"
