rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
125,47,91,122,126,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 0}"
32,140,116,28,32,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 10}"
12,138,188,28,12,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 20}"
28,168,190,57,27,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 30}"
121,195,191,122,122,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 40}"
176,208,197,160,178,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 50}"
155,197,196,181,156,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 60}"
66,200,210,88,66,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 70}"
1,194,195,6,1,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 80}"
98,23,78,88,99,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 0}"
44,82,14,57,44,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 10}"
66,27,49,88,66,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 20}"
97,129,71,142,97,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 30}"
77,143,69,57,77,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 40}"
204,165,37,202,205,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 50}"
204,159,9,202,205,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 60}"
191,152,5,181,192,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 70}"
176,156,50,160,178,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 80}"
125,39,73,122,126,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 0}"
20,2,1,1,20,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 10}"
22,115,96,6,22,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 20}"
4,85,95,6,4,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 30}"
77,184,148,57,77,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 40}"
191,151,75,181,192,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 50}"
204,126,17,202,205,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 60}"
204,99,12,202,205,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 70}"
176,120,82,160,178,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 80}"
125,40,81,122,126,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 0}"
50,77,47,28,50,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 10}"
66,25,30,88,66,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 20}"
38,15,51,28,38,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 30}"
77,21,40,57,77,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 40}"
158,59,13,146,159,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 50}"
191,189,100,181,192,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 60}"
158,5,38,146,159,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 70}"
148,4,7,146,149,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 80}"
98,48,89,88,99,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 0}"
125,52,106,122,126,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 10}"
125,55,99,122,126,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 20}"
125,61,88,122,126,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 30}"
98,37,72,88,99,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 40}"
125,26,60,122,126,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 50}"
125,11,68,122,126,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 60}"
98,54,66,88,99,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 70}"
125,22,58,122,126,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 80}"
98,88,142,88,99,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 0}"
30,153,184,6,30,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 10}"
12,166,194,28,12,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 20}"
28,198,192,57,27,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 30}"
96,201,198,88,96,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 40}"
176,215,205,160,178,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 50}"
155,213,202,181,156,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 60}"
66,216,214,88,66,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 70}"
223,190,206,220,224,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 80}"
98,74,129,88,99,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 0}"
43,141,133,28,43,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 10}"
44,9,59,57,44,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 20}"
76,155,183,122,71,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 30}"
98,174,176,88,99,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 40}"
204,164,128,202,205,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 50}"
204,150,76,202,205,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 60}"
204,147,146,202,205,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 70}"
166,137,150,160,167,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 80}"
98,102,114,88,99,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 0}"
2,173,93,1,2,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 10}"
32,63,105,28,32,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 20}"
4,162,166,6,4,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 30}"
98,187,170,88,99,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 40}"
191,163,104,181,192,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 50}"
191,142,23,181,192,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 60}"
191,121,109,181,192,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 70}"
176,132,147,160,178,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 80}"
98,89,107,88,99,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 0}"
64,139,182,57,64,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 10}"
50,13,157,28,50,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 20}"
22,101,139,6,22,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 30}"
158,6,2,146,159,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 40}"
166,157,120,160,167,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 50}"
166,185,152,160,167,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 60}"
189,41,136,181,191,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 70}"
172,76,11,181,173,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 80}"
98,67,132,88,99,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 0}"
98,117,119,88,99,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 10}"
98,103,98,88,99,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 20}"
98,66,134,88,99,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 30}"
98,70,90,88,99,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 40}"
98,118,121,88,99,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 50}"
98,122,137,88,99,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 60}"
98,90,113,88,99,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 70}"
98,94,101,88,99,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 80}"
77,19,74,57,77,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 0}"
24,171,189,28,24,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 10}"
12,179,193,28,12,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 20}"
12,199,199,28,12,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 30}"
64,209,207,57,64,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 40}"
176,217,211,160,178,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 50}"
139,220,213,142,140,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 60}"
