rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
7,67,5,7,7,"{'reg_alpha': 1e-05, 'reg_lambda': 1e-05}"
1,28,75,1,1,"{'reg_alpha': 1e-05, 'reg_lambda': 0.001}"
16,22,14,16,16,"{'reg_alpha': 1e-05, 'reg_lambda': 0.1}"
6,4,3,6,6,"{'reg_alpha': 1e-05, 'reg_lambda': 0.0}"
41,24,18,41,41,"{'reg_alpha': 1e-05, 'reg_lambda': 0.1}"
41,48,72,41,41,"{'reg_alpha': 1e-05, 'reg_lambda': 0.3}"
16,12,21,16,16,"{'reg_alpha': 1e-05, 'reg_lambda': 0.5}"
16,15,84,16,16,"{'reg_alpha': 1e-05, 'reg_lambda': 0.7}"
16,51,86,16,16,"{'reg_alpha': 1e-05, 'reg_lambda': 0.9}"
41,53,89,41,41,"{'reg_alpha': 1e-05, 'reg_lambda': 1.0}"
1,2,4,1,1,"{'reg_alpha': 0.001, 'reg_lambda': 1e-05}"
5,9,7,5,5,"{'reg_alpha': 0.001, 'reg_lambda': 0.001}"
41,20,16,41,41,"{'reg_alpha': 0.001, 'reg_lambda': 0.1}"
1,10,6,1,1,"{'reg_alpha': 0.001, 'reg_lambda': 0.0}"
41,21,17,41,41,"{'reg_alpha': 0.001, 'reg_lambda': 0.1}"
41,47,71,41,41,"{'reg_alpha': 0.001, 'reg_lambda': 0.3}"
41,12,21,41,41,"{'reg_alpha': 0.001, 'reg_lambda': 0.5}"
16,15,85,16,16,"{'reg_alpha': 0.001, 'reg_lambda': 0.7}"
80,50,88,80,80,"{'reg_alpha': 0.001, 'reg_lambda': 0.9}"
16,54,90,16,16,"{'reg_alpha': 0.001, 'reg_lambda': 1.0}"
16,42,24,16,16,"{'reg_alpha': 0.1, 'reg_lambda': 1e-05}"
7,44,27,7,7,"{'reg_alpha': 0.1, 'reg_lambda': 0.001}"
16,71,37,16,16,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
7,43,25,7,7,"{'reg_alpha': 0.1, 'reg_lambda': 0.0}"
16,71,37,16,16,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
80,26,35,80,80,"{'reg_alpha': 0.1, 'reg_lambda': 0.3}"
41,7,47,41,41,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
41,34,44,41,41,"{'reg_alpha': 0.1, 'reg_lambda': 0.7}"
41,39,50,41,41,"{'reg_alpha': 0.1, 'reg_lambda': 0.9}"
80,37,45,80,80,"{'reg_alpha': 0.1, 'reg_lambda': 1.0}"
16,3,2,16,16,"{'reg_alpha': 0.0, 'reg_lambda': 1e-05}"
1,28,75,1,1,"{'reg_alpha': 0.0, 'reg_lambda': 0.001}"
41,22,14,41,41,"{'reg_alpha': 0.0, 'reg_lambda': 0.1}"
99,1,1,99,99,"{'reg_alpha': 0.0, 'reg_lambda': 0.0}"
41,27,20,41,41,"{'reg_alpha': 0.0, 'reg_lambda': 0.1}"
41,49,73,41,41,"{'reg_alpha': 0.0, 'reg_lambda': 0.3}"
16,11,19,16,16,"{'reg_alpha': 0.0, 'reg_lambda': 0.5}"
41,14,83,41,41,"{'reg_alpha': 0.0, 'reg_lambda': 0.7}"
16,51,86,16,16,"{'reg_alpha': 0.0, 'reg_lambda': 0.9}"
41,55,91,41,41,"{'reg_alpha': 0.0, 'reg_lambda': 1.0}"
41,44,28,41,41,"{'reg_alpha': 0.1, 'reg_lambda': 1e-05}"
16,44,28,16,16,"{'reg_alpha': 0.1, 'reg_lambda': 0.001}"
16,71,37,16,16,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
16,41,23,16,16,"{'reg_alpha': 0.1, 'reg_lambda': 0.0}"
16,71,37,16,16,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
80,25,34,80,80,"{'reg_alpha': 0.1, 'reg_lambda': 0.3}"
16,7,47,16,16,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
41,35,49,41,41,"{'reg_alpha': 0.1, 'reg_lambda': 0.7}"
41,39,50,41,41,"{'reg_alpha': 0.1, 'reg_lambda': 0.9}"
80,37,45,80,80,"{'reg_alpha': 0.1, 'reg_lambda': 1.0}"
7,17,31,7,7,"{'reg_alpha': 0.3, 'reg_lambda': 1e-05}"
7,17,31,7,7,"{'reg_alpha': 0.3, 'reg_lambda': 0.001}"
41,5,52,41,41,"{'reg_alpha': 0.3, 'reg_lambda': 0.1}"
7,17,31,7,7,"{'reg_alpha': 0.3, 'reg_lambda': 0.0}"
41,5,52,41,41,"{'reg_alpha': 0.3, 'reg_lambda': 0.1}"
16,33,95,16,16,"{'reg_alpha': 0.3, 'reg_lambda': 0.3}"
41,36,54,41,41,"{'reg_alpha': 0.3, 'reg_lambda': 0.5}"
7,77,100,7,7,"{'reg_alpha': 0.3, 'reg_lambda': 0.7}"
16,76,97,16,16,"{'reg_alpha': 0.3, 'reg_lambda': 0.9}"
41,81,96,41,41,"{'reg_alpha': 0.3, 'reg_lambda': 1.0}"
41,30,12,41,41,"{'reg_alpha': 0.5, 'reg_lambda': 1e-05}"
16,32,13,16,16,"{'reg_alpha': 0.5, 'reg_lambda': 0.001}"
16,88,98,16,16,"{'reg_alpha': 0.5, 'reg_lambda': 0.1}"
7,30,11,7,7,"{'reg_alpha': 0.5, 'reg_lambda': 0.0}"
16,88,98,16,16,"{'reg_alpha': 0.5, 'reg_lambda': 0.1}"
80,75,77,80,80,"{'reg_alpha': 0.5, 'reg_lambda': 0.3}"
80,61,43,80,80,"{'reg_alpha': 0.5, 'reg_lambda': 0.5}"
41,60,42,41,41,"{'reg_alpha': 0.5, 'reg_lambda': 0.7}"
80,86,41,80,80,"{'reg_alpha': 0.5, 'reg_lambda': 0.9}"
41,86,36,41,41,"{'reg_alpha': 0.5, 'reg_lambda': 1.0}"
7,56,8,7,7,"{'reg_alpha': 0.7, 'reg_lambda': 1e-05}"
41,58,10,41,41,"{'reg_alpha': 0.7, 'reg_lambda': 0.001}"
80,78,60,80,80,"{'reg_alpha': 0.7, 'reg_lambda': 0.1}"
41,56,9,41,41,"{'reg_alpha': 0.7, 'reg_lambda': 0.0}"
80,79,61,80,80,"{'reg_alpha': 0.7, 'reg_lambda': 0.1}"
99,62,74,99,99,"{'reg_alpha': 0.7, 'reg_lambda': 0.3}"
80,85,26,80,80,"{'reg_alpha': 0.7, 'reg_lambda': 0.5}"
41,80,30,41,41,"{'reg_alpha': 0.7, 'reg_lambda': 0.7}"
41,63,68,41,41,"{'reg_alpha': 0.7, 'reg_lambda': 0.9}"
41,59,59,41,41,"{'reg_alpha': 0.7, 'reg_lambda': 1.0}"
41,68,65,41,41,"{'reg_alpha': 0.9, 'reg_lambda': 1e-05}"
41,68,65,41,41,"{'reg_alpha': 0.9, 'reg_lambda': 0.001}"
80,65,63,80,80,"{'reg_alpha': 0.9, 'reg_lambda': 0.1}"
41,68,65,41,41,"{'reg_alpha': 0.9, 'reg_lambda': 0.0}"
80,64,62,80,80,"{'reg_alpha': 0.9, 'reg_lambda': 0.1}"
41,66,64,41,41,"{'reg_alpha': 0.9, 'reg_lambda': 0.3}"
80,83,56,80,80,"{'reg_alpha': 0.9, 'reg_lambda': 0.5}"
80,84,55,80,80,"{'reg_alpha': 0.9, 'reg_lambda': 0.7}"
41,98,79,41,41,"{'reg_alpha': 0.9, 'reg_lambda': 0.9}"
80,99,82,80,80,"{'reg_alpha': 0.9, 'reg_lambda': 1.0}"
41,94,93,41,41,"{'reg_alpha': 1.0, 'reg_lambda': 1e-05}"
41,94,93,41,41,"{'reg_alpha': 1.0, 'reg_lambda': 0.001}"
16,91,69,16,16,"{'reg_alpha': 1.0, 'reg_lambda': 0.1}"
80,93,92,80,80,"{'reg_alpha': 1.0, 'reg_lambda': 0.0}"
16,91,69,16,16,"{'reg_alpha': 1.0, 'reg_lambda': 0.1}"
80,82,57,80,80,"{'reg_alpha': 1.0, 'reg_lambda': 0.3}"
16,90,58,16,16,"{'reg_alpha': 1.0, 'reg_lambda': 0.5}"
80,100,80,80,80,"{'reg_alpha': 1.0, 'reg_lambda': 0.7}"
41,96,78,41,41,"{'reg_alpha': 1.0, 'reg_lambda': 0.9}"
41,97,81,41,41,"{'reg_alpha': 1.0, 'reg_lambda': 1.0}"
