rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
131,91,40,130,37,{'max_depth': None}
150,16,150,150,2,{'max_depth': 1}
149,2,147,149,1,{'max_depth': 2}
148,25,148,148,3,{'max_depth': 3}
147,6,149,147,5,{'max_depth': 4}
133,3,138,142,6,{'max_depth': 5}
27,138,132,27,18,{'max_depth': 6}
12,77,36,12,13,{'max_depth': 7}
27,114,142,27,18,{'max_depth': 8}
37,147,95,27,60,{'max_depth': 9}
46,53,46,43,67,{'max_depth': 10}
46,38,61,43,67,{'max_depth': 11}
6,43,3,6,44,{'max_depth': 12}
98,7,49,92,109,{'max_depth': 13}
72,70,53,66,88,{'max_depth': 14}
36,100,62,43,7,{'max_depth': 15}
71,107,47,92,9,{'max_depth': 16}
93,54,29,92,32,{'max_depth': 17}
72,82,73,66,88,{'max_depth': 18}
134,119,5,130,140,{'max_depth': 19}
72,50,38,66,88,{'max_depth': 20}
72,32,107,66,88,{'max_depth': 21}
98,45,90,92,109,{'max_depth': 22}
134,51,126,130,140,{'max_depth': 23}
117,86,60,114,126,{'max_depth': 24}
72,26,30,66,88,{'max_depth': 25}
46,72,141,43,67,{'max_depth': 26}
98,99,127,92,109,{'max_depth': 27}
98,10,59,92,109,{'max_depth': 28}
98,68,102,92,109,{'max_depth': 29}
20,20,74,19,53,{'max_depth': 30}
72,58,64,66,88,{'max_depth': 31}
117,34,45,114,126,{'max_depth': 32}
20,42,50,19,53,{'max_depth': 33}
46,14,99,43,67,{'max_depth': 34}
37,59,135,27,60,{'max_depth': 35}
1,39,22,1,41,{'max_depth': 36}
72,36,37,66,88,{'max_depth': 37}
115,74,13,114,36,{'max_depth': 38}
93,69,115,92,32,{'max_depth': 39}
72,35,21,66,88,{'max_depth': 40}
37,105,123,27,60,{'max_depth': 41}
27,83,128,27,18,{'max_depth': 42}
20,12,129,19,53,{'max_depth': 43}
67,85,134,66,28,{'max_depth': 44}
20,137,88,19,53,{'max_depth': 45}
72,44,15,66,88,{'max_depth': 46}
144,5,8,142,40,{'max_depth': 47}
27,1,28,27,18,{'max_depth': 48}
134,13,17,130,140,{'max_depth': 49}
6,64,26,6,44,{'max_depth': 50}
117,66,77,114,126,{'max_depth': 51}
16,133,76,12,50,{'max_depth': 52}
98,28,54,92,109,{'max_depth': 53}
3,108,106,3,11,{'max_depth': 54}
46,19,33,43,67,{'max_depth': 55}
97,129,118,114,10,{'max_depth': 56}
141,90,133,139,39,{'max_depth': 57}
117,81,119,114,126,{'max_depth': 58}
98,139,96,92,109,{'max_depth': 59}
116,141,42,146,4,{'max_depth': 60}
117,47,27,114,126,{'max_depth': 61}
46,67,19,43,67,{'max_depth': 62}
12,120,80,12,13,{'max_depth': 63}
98,46,10,92,109,{'max_depth': 64}
67,76,113,66,28,{'max_depth': 65}
67,124,143,66,28,{'max_depth': 66}
134,144,124,130,140,{'max_depth': 67}
46,17,31,43,67,{'max_depth': 68}
19,97,111,19,17,{'max_depth': 69}
72,131,105,66,88,{'max_depth': 70}
27,30,52,27,18,{'max_depth': 71}
46,37,98,43,67,{'max_depth': 72}
72,96,103,66,88,{'max_depth': 73}
46,112,58,43,67,{'max_depth': 74}
12,57,84,12,13,{'max_depth': 75}
72,94,139,66,88,{'max_depth': 76}
37,8,20,27,60,{'max_depth': 77}
134,55,83,130,140,{'max_depth': 78}
6,123,101,6,44,{'max_depth': 79}
6,122,116,6,44,{'max_depth': 80}
93,117,56,92,32,{'max_depth': 81}
46,149,140,43,67,{'max_depth': 82}
67,33,44,66,28,{'max_depth': 83}
72,150,92,66,88,{'max_depth': 84}
16,63,100,12,50,{'max_depth': 85}
98,4,18,92,109,{'max_depth': 86}
117,145,55,114,126,{'max_depth': 87}
3,73,2,3,11,{'max_depth': 88}
134,143,51,130,140,{'max_depth': 89}
37,80,122,27,60,{'max_depth': 90}
98,98,66,92,109,{'max_depth': 91}
46,104,72,43,67,{'max_depth': 92}
145,126,125,142,149,{'max_depth': 93}
117,15,9,114,126,{'max_depth': 94}
98,121,85,92,109,{'max_depth': 95}
6,116,67,6,44,{'max_depth': 96}
46,109,108,43,67,{'max_depth': 97}
145,140,146,142,149,{'max_depth': 98}
72,48,71,66,88,{'max_depth': 99}
117,134,131,114,126,{'max_depth': 100}
46,52,110,43,67,{'max_depth': 101}
27,22,81,27,18,{'max_depth': 102}
20,128,93,19,53,{'max_depth': 103}
27,79,137,27,18,{'max_depth': 104}
98,40,120,92,109,{'max_depth': 105}
72,136,63,66,88,{'max_depth': 106}
46,11,41,43,67,{'max_depth': 107}
46,60,14,43,67,{'max_depth': 108}
12,103,144,12,13,{'max_depth': 109}
16,78,35,12,50,{'max_depth': 110}
46,101,91,43,67,{'max_depth': 111}
98,111,65,92,109,{'max_depth': 112}
46,62,109,43,67,{'max_depth': 113}
37,142,114,27,60,{'max_depth': 114}
46,87,12,43,67,{'max_depth': 115}
117,41,23,114,126,{'max_depth': 116}
37,23,39,27,60,{'max_depth': 117}
72,115,43,66,88,{'max_depth': 118}
5,29,69,3,43,{'max_depth': 119}
27,89,25,27,18,{'max_depth': 120}
117,84,94,114,126,{'max_depth': 121}
45,93,87,66,8,{'max_depth': 122}
72,125,89,66,88,{'max_depth': 123}
20,102,78,19,53,{'max_depth': 124}
98,146,34,92,109,{'max_depth': 125}
98,130,104,92,109,{'max_depth': 126}
93,71,130,92,32,{'max_depth': 127}
98,9,86,92,109,{'max_depth': 128}
98,65,6,92,109,{'max_depth': 129}
44,113,121,43,27,{'max_depth': 130}
72,56,24,66,88,{'max_depth': 131}
142,21,70,139,147,{'max_depth': 132}
117,75,32,114,126,{'max_depth': 133}
27,31,4,27,18,{'max_depth': 134}
134,92,82,130,140,{'max_depth': 135}
20,127,75,19,53,{'max_depth': 136}
2,27,1,2,42,{'max_depth': 137}
117,18,79,114,126,{'max_depth': 138}
72,49,117,66,88,{'max_depth': 139}
117,118,145,114,126,{'max_depth': 140}
117,61,97,114,126,{'max_depth': 141}
72,135,68,66,88,{'max_depth': 142}
46,95,16,43,67,{'max_depth': 143}
6,88,57,6,44,{'max_depth': 144}
46,132,136,43,67,{'max_depth': 145}
72,148,7,66,88,{'max_depth': 146}
46,106,112,43,67,{'max_depth': 147}
131,110,48,130,37,{'max_depth': 148}
142,24,11,139,147,{'max_depth': 149}
