rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
31,34,34,23,34,{'n_estimators': 10}
2,1,20,4,4,{'n_estimators': 20}
34,33,33,34,33,{'n_estimators': 30}
1,26,30,1,8,{'n_estimators': 40}
30,28,25,32,8,{'n_estimators': 50}
32,31,32,31,32,{'n_estimators': 60}
20,32,28,18,29,{'n_estimators': 70}
8,12,16,13,1,{'n_estimators': 80}
22,7,29,27,5,{'n_estimators': 90}
33,30,21,33,30,{'n_estimators': 100}
5,3,15,6,2,{'n_estimators': 110}
18,13,23,20,6,{'n_estimators': 120}
26,16,8,26,14,{'n_estimators': 130}
28,20,12,29,28,{'n_estimators': 140}
7,4,5,7,18,{'n_estimators': 150}
19,27,18,19,16,{'n_estimators': 160}
27,29,17,30,22,{'n_estimators': 170}
9,6,1,10,10,{'n_estimators': 180}
6,10,3,5,12,{'n_estimators': 190}
14,17,7,10,21,{'n_estimators': 200}
11,23,2,7,26,{'n_estimators': 210}
21,11,10,21,15,{'n_estimators': 220}
24,21,19,25,17,{'n_estimators': 230}
29,24,6,27,31,{'n_estimators': 240}
11,5,11,7,26,{'n_estimators': 250}
16,19,14,15,19,{'n_estimators': 260}
23,22,26,22,23,{'n_estimators': 270}
3,2,24,3,6,{'n_estimators': 280}
17,15,31,17,20,{'n_estimators': 290}
9,9,13,10,10,{'n_estimators': 300}
15,14,27,13,24,{'n_estimators': 310}
4,18,9,2,13,{'n_estimators': 320}
13,8,4,16,3,{'n_estimators': 330}
25,25,22,24,25,{'n_estimators': 340}
