rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
27,16,34,33,1,{'n_estimators': 10}
16,34,33,16,20,{'n_estimators': 20}
15,19,32,15,26,{'n_estimators': 30}
2,1,4,2,5,{'n_estimators': 40}
11,33,25,11,14,{'n_estimators': 50}
1,18,12,1,6,{'n_estimators': 60}
8,31,7,7,12,{'n_estimators': 70}
6,30,30,6,7,{'n_estimators': 80}
7,15,26,8,4,{'n_estimators': 90}
19,25,1,19,17,{'n_estimators': 100}
24,2,19,24,30,{'n_estimators': 110}
20,32,31,20,18,{'n_estimators': 120}
22,17,9,22,23,{'n_estimators': 130}
3,13,2,3,3,{'n_estimators': 140}
10,5,29,10,8,{'n_estimators': 150}
31,10,18,30,29,{'n_estimators': 160}
26,4,14,26,24,{'n_estimators': 170}
28,24,21,28,27,{'n_estimators': 180}
5,27,10,5,9,{'n_estimators': 190}
34,14,20,34,31,{'n_estimators': 200}
32,20,13,31,32,{'n_estimators': 210}
17,29,27,17,21,{'n_estimators': 220}
21,7,24,21,11,{'n_estimators': 230}
23,23,23,23,25,{'n_estimators': 240}
18,9,6,18,16,{'n_estimators': 250}
13,28,17,12,19,{'n_estimators': 260}
14,11,16,14,15,{'n_estimators': 270}
9,6,11,9,13,{'n_estimators': 280}
29,26,15,26,34,{'n_estimators': 290}
4,12,3,4,2,{'n_estimators': 300}
32,3,28,31,32,{'n_estimators': 310}
12,8,8,13,10,{'n_estimators': 320}
25,21,22,25,22,{'n_estimators': 330}
30,22,5,29,28,{'n_estimators': 340}
