rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
14,76,1,14,7,"{'C': 0.0625, 'gamma': 0.0625, 'kernel': 'rbf'}"
14,136,16,14,7,"{'C': 0.0625, 'gamma': 0.125, 'kernel': 'rbf'}"
44,196,91,44,48,"{'C': 0.0625, 'gamma': 0.25, 'kernel': 'rbf'}"
59,195,92,59,74,"{'C': 0.0625, 'gamma': 0.5, 'kernel': 'rbf'}"
74,166,76,74,91,"{'C': 0.0625, 'gamma': 1.0, 'kernel': 'rbf'}"
88,138,35,88,107,"{'C': 0.0625, 'gamma': 2.0, 'kernel': 'rbf'}"
91,135,20,91,110,"{'C': 0.0625, 'gamma': 4.0, 'kernel': 'rbf'}"
106,80,74,106,125,"{'C': 0.0625, 'gamma': 8.0, 'kernel': 'rbf'}"
121,74,135,121,140,"{'C': 0.0625, 'gamma': 16.0, 'kernel': 'rbf'}"
150,30,150,150,169,"{'C': 0.0625, 'gamma': 32.0, 'kernel': 'rbf'}"
151,2,165,151,170,"{'C': 0.0625, 'gamma': 64.0, 'kernel': 'rbf'}"
179,45,180,179,198,"{'C': 0.0625, 'gamma': 128.0, 'kernel': 'rbf'}"
192,58,194,192,211,"{'C': 0.0625, 'gamma': 256.0, 'kernel': 'rbf'}"
209,109,210,208,227,"{'C': 0.0625, 'gamma': 512.0, 'kernel': 'rbf'}"
214,180,224,225,34,"{'C': 0.0625, 'gamma': 1024.0, 'kernel': 'rbf'}"
240,239,239,240,94,"{'C': 0.0625, 'gamma': 2048.0, 'kernel': 'rbf'}"
14,77,2,14,7,"{'C': 0.125, 'gamma': 0.0625, 'kernel': 'rbf'}"
17,137,32,14,20,"{'C': 0.125, 'gamma': 0.125, 'kernel': 'rbf'}"
31,212,94,14,35,"{'C': 0.125, 'gamma': 0.25, 'kernel': 'rbf'}"
59,197,93,59,74,"{'C': 0.125, 'gamma': 0.5, 'kernel': 'rbf'}"
74,181,77,74,91,"{'C': 0.125, 'gamma': 1.0, 'kernel': 'rbf'}"
88,142,47,88,107,"{'C': 0.125, 'gamma': 2.0, 'kernel': 'rbf'}"
92,134,18,92,111,"{'C': 0.125, 'gamma': 4.0, 'kernel': 'rbf'}"
106,91,51,106,125,"{'C': 0.125, 'gamma': 8.0, 'kernel': 'rbf'}"
121,73,121,121,140,"{'C': 0.125, 'gamma': 16.0, 'kernel': 'rbf'}"
136,34,149,136,155,"{'C': 0.125, 'gamma': 32.0, 'kernel': 'rbf'}"
151,15,164,151,170,"{'C': 0.125, 'gamma': 64.0, 'kernel': 'rbf'}"
179,29,179,179,198,"{'C': 0.125, 'gamma': 128.0, 'kernel': 'rbf'}"
192,75,195,192,211,"{'C': 0.125, 'gamma': 256.0, 'kernel': 'rbf'}"
209,108,209,208,227,"{'C': 0.125, 'gamma': 512.0, 'kernel': 'rbf'}"
213,179,223,224,3,"{'C': 0.125, 'gamma': 1024.0, 'kernel': 'rbf'}"
239,238,238,239,93,"{'C': 0.125, 'gamma': 2048.0, 'kernel': 'rbf'}"
3,78,3,13,6,"{'C': 0.25, 'gamma': 0.0625, 'kernel': 'rbf'}"
17,140,33,14,20,"{'C': 0.25, 'gamma': 0.125, 'kernel': 'rbf'}"
