rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
5,5,5,16,5,"{'C': 0.0625, 'gamma': 0.0625, 'kernel': 'rbf'}"
1,30,29,1,1,"{'C': 0.0625, 'gamma': 0.125, 'kernel': 'rbf'}"
44,61,46,43,44,"{'C': 0.0625, 'gamma': 0.25, 'kernel': 'rbf'}"
59,122,91,59,59,"{'C': 0.0625, 'gamma': 0.5, 'kernel': 'rbf'}"
72,120,92,72,72,"{'C': 0.0625, 'gamma': 1.0, 'kernel': 'rbf'}"
76,104,47,76,76,"{'C': 0.0625, 'gamma': 2.0, 'kernel': 'rbf'}"
91,77,31,91,91,"{'C': 0.0625, 'gamma': 4.0, 'kernel': 'rbf'}"
106,62,49,106,106,"{'C': 0.0625, 'gamma': 8.0, 'kernel': 'rbf'}"
122,31,124,122,122,"{'C': 0.0625, 'gamma': 16.0, 'kernel': 'rbf'}"
140,32,150,140,140,"{'C': 0.0625, 'gamma': 32.0, 'kernel': 'rbf'}"
181,165,165,151,151,"{'C': 0.0625, 'gamma': 64.0, 'kernel': 'rbf'}"
210,178,179,180,180,"{'C': 0.0625, 'gamma': 128.0, 'kernel': 'rbf'}"
210,193,193,180,180,"{'C': 0.0625, 'gamma': 256.0, 'kernel': 'rbf'}"
237,209,209,207,207,"{'C': 0.0625, 'gamma': 512.0, 'kernel': 'rbf'}"
151,211,211,211,207,"{'C': 0.0625, 'gamma': 1024.0, 'kernel': 'rbf'}"
151,216,216,211,207,"{'C': 0.0625, 'gamma': 2048.0, 'kernel': 'rbf'}"
5,2,4,16,5,"{'C': 0.125, 'gamma': 0.0625, 'kernel': 'rbf'}"
1,28,28,1,1,"{'C': 0.125, 'gamma': 0.125, 'kernel': 'rbf'}"
44,103,65,43,44,"{'C': 0.125, 'gamma': 0.25, 'kernel': 'rbf'}"
59,137,93,59,59,"{'C': 0.125, 'gamma': 0.5, 'kernel': 'rbf'}"
72,123,94,72,72,"{'C': 0.125, 'gamma': 1.0, 'kernel': 'rbf'}"
76,105,48,76,76,"{'C': 0.125, 'gamma': 2.0, 'kernel': 'rbf'}"
92,91,45,92,92,"{'C': 0.125, 'gamma': 4.0, 'kernel': 'rbf'}"
107,76,79,107,107,"{'C': 0.125, 'gamma': 8.0, 'kernel': 'rbf'}"
121,35,122,121,121,"{'C': 0.125, 'gamma': 16.0, 'kernel': 'rbf'}"
138,33,137,138,138,"{'C': 0.125, 'gamma': 32.0, 'kernel': 'rbf'}"
181,163,164,151,151,"{'C': 0.125, 'gamma': 64.0, 'kernel': 'rbf'}"
196,177,177,166,166,"{'C': 0.125, 'gamma': 128.0, 'kernel': 'rbf'}"
210,181,181,180,180,"{'C': 0.125, 'gamma': 256.0, 'kernel': 'rbf'}"
237,209,209,207,207,"{'C': 0.125, 'gamma': 512.0, 'kernel': 'rbf'}"
151,211,211,211,207,"{'C': 0.125, 'gamma': 1024.0, 'kernel': 'rbf'}"
151,216,216,211,207,"{'C': 0.125, 'gamma': 2048.0, 'kernel': 'rbf'}"
41,1,1,43,30,"{'C': 0.25, 'gamma': 0.0625, 'kernel': 'rbf'}"
1,29,30,1,1,"{'C': 0.25, 'gamma': 0.125, 'kernel': 'rbf'}"
42,121,78,16,42,"{'C': 0.25, 'gamma': 0.25, 'kernel': 'rbf'}"
46,150,109,46,46,"{'C': 0.25, 'gamma': 0.5, 'kernel': 'rbf'}"
72,136,107,72,72,"{'C': 0.25, 'gamma': 1.0, 'kernel': 'rbf'}"
76,109,52,76,76,"{'C': 0.25, 'gamma': 2.0, 'kernel': 'rbf'}"
104,78,43,104,104,"{'C': 0.25, 'gamma': 4.0, 'kernel': 'rbf'}"
108,63,50,108,108,"{'C': 0.25, 'gamma': 8.0, 'kernel': 'rbf'}"
123,36,121,123,123,"{'C': 0.25, 'gamma': 16.0, 'kernel': 'rbf'}"
136,48,138,136,136,"{'C': 0.25, 'gamma': 32.0, 'kernel': 'rbf'}"
181,164,163,151,151,"{'C': 0.25, 'gamma': 64.0, 'kernel': 'rbf'}"
196,180,180,166,166,"{'C': 0.25, 'gamma': 128.0, 'kernel': 'rbf'}"
210,195,195,180,180,"{'C': 0.25, 'gamma': 256.0, 'kernel': 'rbf'}"
237,206,206,207,207,"{'C': 0.25, 'gamma': 512.0, 'kernel': 'rbf'}"
151,211,211,211,207,"{'C': 0.25, 'gamma': 1024.0, 'kernel': 'rbf'}"
151,216,216,211,207,"{'C': 0.25, 'gamma': 2048.0, 'kernel': 'rbf'}"
5,4,2,16,5,"{'C': 0.5, 'gamma': 0.0625, 'kernel': 'rbf'}"
1,27,27,1,1,"{'C': 0.5, 'gamma': 0.125, 'kernel': 'rbf'}"
42,106,77,16,42,"{'C': 0.5, 'gamma': 0.25, 'kernel': 'rbf'}"
46,149,108,46,46,"{'C': 0.5, 'gamma': 0.5, 'kernel': 'rbf'}"
72,135,106,72,72,"{'C': 0.5, 'gamma': 1.0, 'kernel': 'rbf'}"
76,107,51,76,76,"{'C': 0.5, 'gamma': 2.0, 'kernel': 'rbf'}"
104,89,44,104,104,"{'C': 0.5, 'gamma': 4.0, 'kernel': 'rbf'}"
109,74,64,109,109,"{'C': 0.5, 'gamma': 8.0, 'kernel': 'rbf'}"
124,49,135,124,124,"{'C': 0.5, 'gamma': 16.0, 'kernel': 'rbf'}"
136,34,136,136,136,"{'C': 0.5, 'gamma': 32.0, 'kernel': 'rbf'}"
181,162,162,151,151,"{'C': 0.5, 'gamma': 64.0, 'kernel': 'rbf'}"
196,179,178,166,166,"{'C': 0.5, 'gamma': 128.0, 'kernel': 'rbf'}"
210,194,194,180,180,"{'C': 0.5, 'gamma': 256.0, 'kernel': 'rbf'}"
237,207,207,207,207,"{'C': 0.5, 'gamma': 512.0, 'kernel': 'rbf'}"
151,211,211,211,207,"{'C': 0.5, 'gamma': 1024.0, 'kernel': 'rbf'}"
151,216,216,211,207,"{'C': 0.5, 'gamma': 2048.0, 'kernel': 'rbf'}"
5,3,3,16,5,"{'C': 1.0, 'gamma': 0.0625, 'kernel': 'rbf'}"
5,26,16,16,5,"{'C': 1.0, 'gamma': 0.125, 'kernel': 'rbf'}"
30,92,76,1,31,"{'C': 1.0, 'gamma': 0.25, 'kernel': 'rbf'}"
46,148,110,46,46,"{'C': 1.0, 'gamma': 0.5, 'kernel': 'rbf'}"
61,124,95,61,61,"{'C': 1.0, 'gamma': 1.0, 'kernel': 'rbf'}"
76,108,63,76,76,"{'C': 1.0, 'gamma': 2.0, 'kernel': 'rbf'}"
103,90,42,103,103,"{'C': 1.0, 'gamma': 4.0, 'kernel': 'rbf'}"
110,75,90,110,110,"{'C': 1.0, 'gamma': 8.0, 'kernel': 'rbf'}"
125,37,123,125,125,"{'C': 1.0, 'gamma': 16.0, 'kernel': 'rbf'}"
138,60,139,138,138,"{'C': 1.0, 'gamma': 32.0, 'kernel': 'rbf'}"
181,151,151,151,151,"{'C': 1.0, 'gamma': 64.0, 'kernel': 'rbf'}"
196,176,176,166,166,"{'C': 1.0, 'gamma': 128.0, 'kernel': 'rbf'}"
