rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
1,1,1,1,1,"{'C': 0.0625, 'gamma': 0.0625, 'kernel': 'rbf'}"
1,105,46,1,1,"{'C': 0.0625, 'gamma': 0.125, 'kernel': 'rbf'}"
1,136,93,1,1,"{'C': 0.0625, 'gamma': 0.25, 'kernel': 'rbf'}"
46,139,107,46,46,"{'C': 0.0625, 'gamma': 0.5, 'kernel': 'rbf'}"
72,137,91,72,72,"{'C': 0.0625, 'gamma': 1.0, 'kernel': 'rbf'}"
76,133,73,76,76,"{'C': 0.0625, 'gamma': 2.0, 'kernel': 'rbf'}"
91,104,44,91,91,"{'C': 0.0625, 'gamma': 4.0, 'kernel': 'rbf'}"
106,61,41,106,106,"{'C': 0.0625, 'gamma': 8.0, 'kernel': 'rbf'}"
135,58,59,135,135,"{'C': 0.0625, 'gamma': 16.0, 'kernel': 'rbf'}"
149,52,150,149,149,"{'C': 0.0625, 'gamma': 32.0, 'kernel': 'rbf'}"
163,60,165,163,163,"{'C': 0.0625, 'gamma': 64.0, 'kernel': 'rbf'}"
180,134,180,180,180,"{'C': 0.0625, 'gamma': 128.0, 'kernel': 'rbf'}"
194,195,195,194,194,"{'C': 0.0625, 'gamma': 256.0, 'kernel': 'rbf'}"
209,210,210,210,210,"{'C': 0.0625, 'gamma': 512.0, 'kernel': 'rbf'}"
223,225,225,224,224,"{'C': 0.0625, 'gamma': 1024.0, 'kernel': 'rbf'}"
240,240,240,207,207,"{'C': 0.0625, 'gamma': 2048.0, 'kernel': 'rbf'}"
1,2,2,1,1,"{'C': 0.125, 'gamma': 0.0625, 'kernel': 'rbf'}"
1,106,58,1,1,"{'C': 0.125, 'gamma': 0.125, 'kernel': 'rbf'}"
1,153,108,1,1,"{'C': 0.125, 'gamma': 0.25, 'kernel': 'rbf'}"
46,167,109,46,46,"{'C': 0.125, 'gamma': 0.5, 'kernel': 'rbf'}"
72,138,92,72,72,"{'C': 0.125, 'gamma': 1.0, 'kernel': 'rbf'}"
