rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
1,1,4,5,1,"{'colsample_bytree': 0.6, 'subsample': 0.6}"
1,8,10,5,1,"{'colsample_bytree': 0.6, 'subsample': 0.7}"
9,11,11,13,9,"{'colsample_bytree': 0.6, 'subsample': 0.8}"
13,12,14,1,13,"{'colsample_bytree': 0.6, 'subsample': 0.9}"
1,3,7,5,1,"{'colsample_bytree': 0.7, 'subsample': 0.6}"
1,7,9,5,1,"{'colsample_bytree': 0.7, 'subsample': 0.7}"
10,5,1,13,10,"{'colsample_bytree': 0.7, 'subsample': 0.8}"
13,13,15,1,13,"{'colsample_bytree': 0.7, 'subsample': 0.9}"
1,4,6,5,1,"{'colsample_bytree': 0.8, 'subsample': 0.6}"
1,10,12,5,1,"{'colsample_bytree': 0.8, 'subsample': 0.7}"
10,9,3,13,10,"{'colsample_bytree': 0.8, 'subsample': 0.8}"
16,6,8,3,16,"{'colsample_bytree': 0.8, 'subsample': 0.9}"
1,2,2,5,1,"{'colsample_bytree': 0.9, 'subsample': 0.6}"
1,15,13,5,1,"{'colsample_bytree': 0.9, 'subsample': 0.7}"
10,14,5,13,10,"{'colsample_bytree': 0.9, 'subsample': 0.8}"
15,16,16,4,15,"{'colsample_bytree': 0.9, 'subsample': 0.9}"
