rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
1,1,1,1,1,"{'max_depth': 3, 'min_child_weight': 1}"
1,10,10,1,1,"{'max_depth': 3, 'min_child_weight': 2}"
37,37,28,37,37,"{'max_depth': 3, 'min_child_weight': 3}"
19,46,46,19,19,"{'max_depth': 3, 'min_child_weight': 4}"
37,19,19,37,37,"{'max_depth': 3, 'min_child_weight': 5}"
28,28,37,19,28,"{'max_depth': 3, 'min_child_weight': 6}"
1,1,1,1,1,"{'max_depth': 4, 'min_child_weight': 1}"
1,10,10,1,1,"{'max_depth': 4, 'min_child_weight': 2}"
37,37,28,37,37,"{'max_depth': 4, 'min_child_weight': 3}"
19,46,46,19,19,"{'max_depth': 4, 'min_child_weight': 4}"
37,19,19,37,37,"{'max_depth': 4, 'min_child_weight': 5}"
28,28,37,19,28,"{'max_depth': 4, 'min_child_weight': 6}"
1,1,1,1,1,"{'max_depth': 5, 'min_child_weight': 1}"
1,10,10,1,1,"{'max_depth': 5, 'min_child_weight': 2}"
37,37,28,37,37,"{'max_depth': 5, 'min_child_weight': 3}"
19,46,46,19,19,"{'max_depth': 5, 'min_child_weight': 4}"
37,19,19,37,37,"{'max_depth': 5, 'min_child_weight': 5}"
28,28,37,19,28,"{'max_depth': 5, 'min_child_weight': 6}"
1,1,1,1,1,"{'max_depth': 6, 'min_child_weight': 1}"
1,10,10,1,1,"{'max_depth': 6, 'min_child_weight': 2}"
37,37,28,37,37,"{'max_depth': 6, 'min_child_weight': 3}"
19,46,46,19,19,"{'max_depth': 6, 'min_child_weight': 4}"
37,19,19,37,37,"{'max_depth': 6, 'min_child_weight': 5}"
28,28,37,19,28,"{'max_depth': 6, 'min_child_weight': 6}"
1,1,1,1,1,"{'max_depth': 7, 'min_child_weight': 1}"
1,10,10,1,1,"{'max_depth': 7, 'min_child_weight': 2}"
37,37,28,37,37,"{'max_depth': 7, 'min_child_weight': 3}"
19,46,46,19,19,"{'max_depth': 7, 'min_child_weight': 4}"
37,19,19,37,37,"{'max_depth': 7, 'min_child_weight': 5}"
28,28,37,19,28,"{'max_depth': 7, 'min_child_weight': 6}"
1,1,1,1,1,"{'max_depth': 8, 'min_child_weight': 1}"
1,10,10,1,1,"{'max_depth': 8, 'min_child_weight': 2}"
37,37,28,37,37,"{'max_depth': 8, 'min_child_weight': 3}"
19,46,46,19,19,"{'max_depth': 8, 'min_child_weight': 4}"
37,19,19,37,37,"{'max_depth': 8, 'min_child_weight': 5}"
28,28,37,19,28,"{'max_depth': 8, 'min_child_weight': 6}"
1,1,1,1,1,"{'max_depth': 9, 'min_child_weight': 1}"
1,10,10,1,1,"{'max_depth': 9, 'min_child_weight': 2}"
37,37,28,37,37,"{'max_depth': 9, 'min_child_weight': 3}"
19,46,46,19,19,"{'max_depth': 9, 'min_child_weight': 4}"
37,19,19,37,37,"{'max_depth': 9, 'min_child_weight': 5}"
28,28,37,19,28,"{'max_depth': 9, 'min_child_weight': 6}"
1,1,1,1,1,"{'max_depth': 10, 'min_child_weight': 1}"
1,10,10,1,1,"{'max_depth': 10, 'min_child_weight': 2}"
37,37,28,37,37,"{'max_depth': 10, 'min_child_weight': 3}"
19,46,46,19,19,"{'max_depth': 10, 'min_child_weight': 4}"
37,19,19,37,37,"{'max_depth': 10, 'min_child_weight': 5}"
28,28,37,19,28,"{'max_depth': 10, 'min_child_weight': 6}"
1,1,1,1,1,"{'max_depth': 12, 'min_child_weight': 1}"
1,10,10,1,1,"{'max_depth': 12, 'min_child_weight': 2}"
37,37,28,37,37,"{'max_depth': 12, 'min_child_weight': 3}"
19,46,46,19,19,"{'max_depth': 12, 'min_child_weight': 4}"
37,19,19,37,37,"{'max_depth': 12, 'min_child_weight': 5}"
28,28,37,19,28,"{'max_depth': 12, 'min_child_weight': 6}"
