rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
15,54,3,13,41,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 0}"
146,68,90,171,111,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 10}"
138,23,182,148,108,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 20}"
174,218,178,177,145,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 30}"
212,211,218,221,102,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 40}"
216,220,221,223,135,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 50}"
171,209,208,217,14,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 60}"
202,177,189,213,100,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 70}"
172,195,155,194,97,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 80}"
15,54,3,13,41,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 0}"
225,113,131,217,224,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 10}"
129,166,118,148,94,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 20}"
146,182,156,171,111,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 30}"
220,186,222,219,182,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 40}"
138,201,219,148,108,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 50}"
215,222,224,204,190,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 60}"
148,160,169,148,144,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 70}"
101,194,161,104,71,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 80}"
15,54,3,13,41,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 0}"
84,178,191,59,167,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 10}"
144,197,134,189,76,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 20}"
91,223,195,98,69,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 30}"
127,101,194,177,38,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 40}"
141,108,181,139,142,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 50}"
184,189,197,177,175,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 60}"
113,207,163,127,89,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 70}"
150,210,205,177,113,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 80}"
15,54,3,13,41,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 0}"
67,100,141,55,131,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 10}"
14,21,36,5,99,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 20}"
104,216,91,85,137,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 30}"
67,67,48,55,131,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 40}"
73,187,47,63,103,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 50}"
85,164,148,63,149,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 60}"
108,106,123,74,168,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 70}"
116,188,122,85,170,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 80}"
15,54,3,13,41,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 0}"
15,54,3,13,41,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 10}"
15,53,2,13,41,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 20}"
15,54,3,13,41,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 30}"
15,54,3,13,41,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 40}"
15,54,3,13,41,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 50}"
15,54,3,13,41,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 60}"
15,54,3,13,41,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 70}"
15,54,3,13,41,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 80}"
136,202,96,85,186,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 0}"
42,86,50,74,7,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 10}"
74,91,180,85,32,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 20}"
149,190,89,194,78,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 30}"
95,163,129,127,27,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 40}"
178,221,225,206,54,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 50}"
13,173,95,55,15,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 60}"
129,200,217,148,94,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 70}"
217,105,146,221,149,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 80}"
186,142,76,148,204,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 0}"
99,198,35,85,105,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 10}"
88,98,188,85,85,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 20}"
103,52,116,127,35,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 30}"
198,84,190,204,117,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 40}"
116,125,187,139,91,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 50}"
64,95,172,74,25,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 60}"
93,49,185,104,33,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 70}"
10,43,125,26,13,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 80}"
186,147,71,148,204,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 0}"
4,123,18,5,6,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 10}"
63,171,154,59,81,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 20}"
9,120,124,11,30,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 30}"
41,112,41,69,11,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 40}"
141,225,198,139,142,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 50}"
12,193,68,5,79,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 60}"
153,217,193,139,172,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 70}"
88,205,144,85,85,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 80}"
186,148,72,148,204,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 0}"
85,191,120,63,149,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 10}"
155,28,49,127,187,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 20}"
6,44,16,11,22,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 30}"
110,116,66,85,153,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 40}"
211,89,171,189,222,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 50}"
207,70,176,203,179,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 60}"
110,121,86,85,153,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 70}"
91,69,67,98,69,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 80}"
186,153,79,148,204,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 0}"
186,142,74,148,204,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 10}"
186,150,80,148,204,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 20}"
186,146,69,148,204,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 30}"
186,151,77,148,204,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 40}"
186,142,70,148,204,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 50}"
186,151,73,148,204,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 60}"
186,148,78,148,204,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 70}"
186,142,75,148,204,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 80}"
28,38,64,26,55,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 0}"
5,20,44,2,21,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 10}"
199,82,93,194,161,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 20}"
82,99,32,127,18,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 30}"
172,85,173,194,97,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 40}"
143,81,201,213,10,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 50}"
1,79,133,1,4,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 60}"
107,74,142,171,20,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 70}"
116,15,52,177,28,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 80}"
28,29,53,26,55,"{'colsample_bytree': 0.8, 'subsample': 0.7, 'subsample_freq': 0}"
97,27,43,69,152,"{'colsample_bytree': 0.8, 'subsample': 0.7, 'subsample_freq': 10}"
224,104,137,223,184,"{'colsample_bytree': 0.8, 'subsample': 0.7, 'subsample_freq': 20}"
79,19,38,74,82,"{'colsample_bytree': 0.8, 'subsample': 0.7, 'subsample_freq': 30}"
155,93,186,127,187,"{'colsample_bytree': 0.8, 'subsample': 0.7, 'subsample_freq': 40}"
184,184,216,177,175,"{'colsample_bytree': 0.8, 'subsample': 0.7, 'subsample_freq': 50}"
218,47,196,206,217,"{'colsample_bytree': 0.8, 'subsample': 0.7, 'subsample_freq': 60}"
108,165,160,74,168,"{'colsample_bytree': 0.8, 'subsample': 0.7, 'subsample_freq': 70}"
98,94,153,74,136,"{'colsample_bytree': 0.8, 'subsample': 0.7, 'subsample_freq': 80}"
28,30,54,26,55,"{'colsample_bytree': 0.8, 'subsample': 0.8, 'subsample_freq': 0}"
44,14,34,59,31,"{'colsample_bytree': 0.8, 'subsample': 0.8, 'subsample_freq': 10}"
101,181,15,104,71,"{'colsample_bytree': 0.8, 'subsample': 0.8, 'subsample_freq': 20}"
66,111,17,104,8,"{'colsample_bytree': 0.8, 'subsample': 0.8, 'subsample_freq': 30}"
45,170,33,63,23,"{'colsample_bytree': 0.8, 'subsample': 0.8, 'subsample_freq': 40}"
11,175,94,69,1,"{'colsample_bytree': 0.8, 'subsample': 0.8, 'subsample_freq': 50}"
116,127,145,139,91,"{'colsample_bytree': 0.8, 'subsample': 0.8, 'subsample_freq': 60}"
71,109,119,85,26,"{'colsample_bytree': 0.8, 'subsample': 0.8, 'subsample_freq': 70}"
48,80,45,74,16,"{'colsample_bytree': 0.8, 'subsample': 0.8, 'subsample_freq': 80}"
28,30,54,26,55,"{'colsample_bytree': 0.8, 'subsample': 0.9, 'subsample_freq': 0}"
65,154,1,85,17,"{'colsample_bytree': 0.8, 'subsample': 0.9, 'subsample_freq': 10}"
77,114,37,63,133,"{'colsample_bytree': 0.8, 'subsample': 0.9, 'subsample_freq': 20}"
121,50,84,104,139,"{'colsample_bytree': 0.8, 'subsample': 0.9, 'subsample_freq': 30}"
170,180,175,85,225,"{'colsample_bytree': 0.8, 'subsample': 0.9, 'subsample_freq': 40}"
223,208,183,213,223,"{'colsample_bytree': 0.8, 'subsample': 0.9, 'subsample_freq': 50}"
79,107,121,74,82,"{'colsample_bytree': 0.8, 'subsample': 0.9, 'subsample_freq': 60}"
150,157,88,177,113,"{'colsample_bytree': 0.8, 'subsample': 0.9, 'subsample_freq': 70}"
205,97,126,206,147,"{'colsample_bytree': 0.8, 'subsample': 0.9, 'subsample_freq': 80}"
28,38,65,26,55,"{'colsample_bytree': 0.8, 'subsample': 1.0, 'subsample_freq': 0}"
28,35,62,26,55,"{'colsample_bytree': 0.8, 'subsample': 1.0, 'subsample_freq': 10}"
28,37,59,26,55,"{'colsample_bytree': 0.8, 'subsample': 1.0, 'subsample_freq': 20}"
28,35,62,26,55,"{'colsample_bytree': 0.8, 'subsample': 1.0, 'subsample_freq': 30}"
28,41,61,26,55,"{'colsample_bytree': 0.8, 'subsample': 1.0, 'subsample_freq': 40}"
28,38,60,26,55,"{'colsample_bytree': 0.8, 'subsample': 1.0, 'subsample_freq': 50}"
28,34,57,26,55,"{'colsample_bytree': 0.8, 'subsample': 1.0, 'subsample_freq': 60}"
28,33,58,26,55,"{'colsample_bytree': 0.8, 'subsample': 1.0, 'subsample_freq': 70}"
28,30,54,26,55,"{'colsample_bytree': 0.8, 'subsample': 1.0, 'subsample_freq': 80}"
50,130,103,26,118,"{'colsample_bytree': 0.9, 'subsample': 0.6, 'subsample_freq': 0}"
2,212,92,3,5,"{'colsample_bytree': 0.9, 'subsample': 0.6, 'subsample_freq': 10}"
113,161,192,127,89,"{'colsample_bytree': 0.9, 'subsample': 0.6, 'subsample_freq': 20}"
96,78,51,148,12,"{'colsample_bytree': 0.9, 'subsample': 0.6, 'subsample_freq': 30}"
47,159,39,69,24,"{'colsample_bytree': 0.9, 'subsample': 0.6, 'subsample_freq': 40}"
213,214,211,206,180,"{'colsample_bytree': 0.9, 'subsample': 0.6, 'subsample_freq': 50}"
75,176,152,139,9,"{'colsample_bytree': 0.9, 'subsample': 0.6, 'subsample_freq': 60}"
205,199,212,206,147,"{'colsample_bytree': 0.9, 'subsample': 0.6, 'subsample_freq': 70}"
219,215,215,225,105,"{'colsample_bytree': 0.9, 'subsample': 0.6, 'subsample_freq': 80}"
50,131,98,26,118,"{'colsample_bytree': 0.9, 'subsample': 0.7, 'subsample_freq': 0}"
132,17,40,127,141,"{'colsample_bytree': 0.9, 'subsample': 0.7, 'subsample_freq': 10}"
112,117,130,98,138,"{'colsample_bytree': 0.9, 'subsample': 0.7, 'subsample_freq': 20}"
7,26,81,5,39,"{'colsample_bytree': 0.9, 'subsample': 0.7, 'subsample_freq': 30}"
46,110,177,3,177,"{'colsample_bytree': 0.9, 'subsample': 0.7, 'subsample_freq': 40}"
177,102,206,104,219,"{'colsample_bytree': 0.9, 'subsample': 0.7, 'subsample_freq': 50}"
