rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
20,17,23,19,77,"{'max_depth': -1, 'num_leaves': 221}"
27,79,30,19,105,"{'max_depth': -1, 'num_leaves': 231}"
34,43,26,30,108,"{'max_depth': -1, 'num_leaves': 241}"
68,56,32,52,139,"{'max_depth': -1, 'num_leaves': 251}"
25,15,17,13,141,"{'max_depth': -1, 'num_leaves': 261}"
50,20,20,39,113,"{'max_depth': -1, 'num_leaves': 271}"
3,1,13,1,83,"{'max_depth': -1, 'num_leaves': 281}"
11,45,6,10,100,"{'max_depth': -1, 'num_leaves': 291}"
5,3,4,3,85,"{'max_depth': -1, 'num_leaves': 301}"
14,62,12,13,102,"{'max_depth': -1, 'num_leaves': 311}"
1,6,2,3,63,"{'max_depth': -1, 'num_leaves': 321}"
5,14,9,3,85,"{'max_depth': -1, 'num_leaves': 331}"
9,27,3,9,99,"{'max_depth': -1, 'num_leaves': 341}"
20,18,24,19,77,"{'max_depth': 0, 'num_leaves': 221}"
27,78,29,19,105,"{'max_depth': 0, 'num_leaves': 231}"
34,44,25,30,108,"{'max_depth': 0, 'num_leaves': 241}"
68,55,31,52,139,"{'max_depth': 0, 'num_leaves': 251}"
25,16,18,13,141,"{'max_depth': 0, 'num_leaves': 261}"
50,19,19,39,113,"{'max_depth': 0, 'num_leaves': 271}"
3,2,14,1,83,"{'max_depth': 0, 'num_leaves': 281}"
11,46,7,10,100,"{'max_depth': 0, 'num_leaves': 291}"
5,4,5,3,85,"{'max_depth': 0, 'num_leaves': 301}"
14,60,11,13,102,"{'max_depth': 0, 'num_leaves': 311}"
1,5,1,3,63,"{'max_depth': 0, 'num_leaves': 321}"
5,13,10,3,85,"{'max_depth': 0, 'num_leaves': 331}"
24,65,8,13,124,"{'max_depth': 0, 'num_leaves': 341}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 221}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 231}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 241}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 251}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 261}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 271}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 281}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 291}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 301}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 311}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 321}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 331}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 341}"
144,151,151,144,144,"{'max_depth': 4, 'num_leaves': 221}"
144,151,151,144,144,"{'max_depth': 4, 'num_leaves': 231}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 241}"
144,151,151,144,144,"{'max_depth': 4, 'num_leaves': 251}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 261}"
144,151,151,144,144,"{'max_depth': 4, 'num_leaves': 271}"
144,151,151,144,144,"{'max_depth': 4, 'num_leaves': 281}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 291}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 301}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 311}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 321}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 331}"
144,151,151,144,144,"{'max_depth': 4, 'num_leaves': 341}"
131,131,131,131,125,"{'max_depth': 5, 'num_leaves': 221}"
131,131,131,131,125,"{'max_depth': 5, 'num_leaves': 231}"
131,131,131,131,125,"{'max_depth': 5, 'num_leaves': 241}"
131,131,131,131,125,"{'max_depth': 5, 'num_leaves': 251}"
131,131,131,131,125,"{'max_depth': 5, 'num_leaves': 261}"
131,131,131,131,125,"{'max_depth': 5, 'num_leaves': 271}"
131,131,131,131,125,"{'max_depth': 5, 'num_leaves': 281}"
131,131,131,131,125,"{'max_depth': 5, 'num_leaves': 291}"
131,131,131,131,125,"{'max_depth': 5, 'num_leaves': 301}"
131,131,131,131,125,"{'max_depth': 5, 'num_leaves': 311}"
131,131,131,131,125,"{'max_depth': 5, 'num_leaves': 321}"
131,131,131,131,125,"{'max_depth': 5, 'num_leaves': 331}"
131,131,131,131,125,"{'max_depth': 5, 'num_leaves': 341}"
118,118,120,118,5,"{'max_depth': 6, 'num_leaves': 221}"
118,118,118,118,5,"{'max_depth': 6, 'num_leaves': 231}"
118,129,129,118,5,"{'max_depth': 6, 'num_leaves': 241}"
118,124,125,118,5,"{'max_depth': 6, 'num_leaves': 251}"
118,127,128,118,5,"{'max_depth': 6, 'num_leaves': 261}"
118,118,118,118,5,"{'max_depth': 6, 'num_leaves': 271}"
118,124,125,118,5,"{'max_depth': 6, 'num_leaves': 281}"
118,121,121,118,5,"{'max_depth': 6, 'num_leaves': 291}"
118,128,124,118,5,"{'max_depth': 6, 'num_leaves': 301}"
118,129,130,118,5,"{'max_depth': 6, 'num_leaves': 311}"
118,123,123,118,5,"{'max_depth': 6, 'num_leaves': 321}"
118,126,127,118,5,"{'max_depth': 6, 'num_leaves': 331}"
118,122,122,118,5,"{'max_depth': 6, 'num_leaves': 341}"
117,117,117,117,85,"{'max_depth': 7, 'num_leaves': 221}"
112,114,115,112,53,"{'max_depth': 7, 'num_leaves': 231}"
105,88,107,105,21,"{'max_depth': 7, 'num_leaves': 241}"
112,116,112,112,53,"{'max_depth': 7, 'num_leaves': 251}"
105,90,108,105,21,"{'max_depth': 7, 'num_leaves': 261}"
112,112,113,112,53,"{'max_depth': 7, 'num_leaves': 271}"
112,113,114,112,53,"{'max_depth': 7, 'num_leaves': 281}"
110,109,111,110,42,"{'max_depth': 7, 'num_leaves': 291}"
112,115,116,112,53,"{'max_depth': 7, 'num_leaves': 301}"
110,108,110,110,42,"{'max_depth': 7, 'num_leaves': 311}"
105,87,106,105,21,"{'max_depth': 7, 'num_leaves': 321}"
105,89,109,105,21,"{'max_depth': 7, 'num_leaves': 331}"
109,74,105,109,3,"{'max_depth': 7, 'num_leaves': 341}"
98,101,98,98,30,"{'max_depth': 8, 'num_leaves': 221}"
98,105,103,98,30,"{'max_depth': 8, 'num_leaves': 231}"
98,103,100,98,30,"{'max_depth': 8, 'num_leaves': 241}"
92,95,93,92,44,"{'max_depth': 8, 'num_leaves': 251}"
98,102,99,98,30,"{'max_depth': 8, 'num_leaves': 261}"
92,94,95,92,44,"{'max_depth': 8, 'num_leaves': 271}"
98,106,101,98,30,"{'max_depth': 8, 'num_leaves': 281}"
92,97,96,92,44,"{'max_depth': 8, 'num_leaves': 291}"
98,104,102,98,30,"{'max_depth': 8, 'num_leaves': 301}"
98,107,104,98,30,"{'max_depth': 8, 'num_leaves': 311}"
92,93,94,92,44,"{'max_depth': 8, 'num_leaves': 321}"
92,96,97,92,44,"{'max_depth': 8, 'num_leaves': 331}"
92,92,92,92,44,"{'max_depth': 8, 'num_leaves': 341}"
79,81,84,83,25,"{'max_depth': 9, 'num_leaves': 221}"
87,111,88,83,58,"{'max_depth': 9, 'num_leaves': 231}"
91,100,87,91,110,"{'max_depth': 9, 'num_leaves': 241}"
52,24,71,71,2,"{'max_depth': 9, 'num_leaves': 251}"
81,84,80,83,29,"{'max_depth': 9, 'num_leaves': 261}"
89,70,82,90,27,"{'max_depth': 9, 'num_leaves': 271}"
82,63,83,87,4,"{'max_depth': 9, 'num_leaves': 281}"
85,83,90,86,26,"{'max_depth': 9, 'num_leaves': 291}"
72,49,81,80,28,"{'max_depth': 9, 'num_leaves': 301}"
88,66,91,88,40,"{'max_depth': 9, 'num_leaves': 311}"
75,72,86,79,51,"{'max_depth': 9, 'num_leaves': 321}"
77,67,89,81,37,"{'max_depth': 9, 'num_leaves': 331}"
90,71,85,89,104,"{'max_depth': 9, 'num_leaves': 341}"
67,30,78,70,65,"{'max_depth': 10, 'num_leaves': 221}"
13,51,70,43,1,"{'max_depth': 10, 'num_leaves': 231}"
83,25,60,73,111,"{'max_depth': 10, 'num_leaves': 241}"
86,41,69,81,73,"{'max_depth': 10, 'num_leaves': 251}"
61,33,79,68,41,"{'max_depth': 10, 'num_leaves': 261}"
29,85,55,52,18,"{'max_depth': 10, 'num_leaves': 271}"
74,99,61,75,66,"{'max_depth': 10, 'num_leaves': 281}"
47,59,63,66,19,"{'max_depth': 10, 'num_leaves': 291}"
48,26,72,63,39,"{'max_depth': 10, 'num_leaves': 301}"
84,98,73,77,91,"{'max_depth': 10, 'num_leaves': 311}"
73,50,75,73,71,"{'max_depth': 10, 'num_leaves': 321}"
30,91,77,43,38,"{'max_depth': 10, 'num_leaves': 331}"
80,64,76,77,76,"{'max_depth': 10, 'num_leaves': 341}"
70,58,67,75,50,"{'max_depth': 11, 'num_leaves': 221}"
63,47,66,68,59,"{'max_depth': 11, 'num_leaves': 231}"
71,77,68,63,121,"{'max_depth': 11, 'num_leaves': 241}"
42,76,65,52,62,"{'max_depth': 11, 'num_leaves': 251}"
65,68,57,66,75,"{'max_depth': 11, 'num_leaves': 261}"
57,75,56,52,96,"{'max_depth': 11, 'num_leaves': 271}"
46,31,51,52,68,"{'max_depth': 11, 'num_leaves': 281}"
55,48,58,61,69,"{'max_depth': 11, 'num_leaves': 291}"
18,29,43,34,20,"{'max_depth': 11, 'num_leaves': 301}"
57,69,53,52,96,"{'max_depth': 11, 'num_leaves': 311}"
36,110,74,34,79,"{'max_depth': 11, 'num_leaves': 321}"
39,80,54,43,67,"{'max_depth': 11, 'num_leaves': 331}"
76,37,52,71,90,"{'max_depth': 11, 'num_leaves': 341}"
49,12,28,52,74,"{'max_depth': 12, 'num_leaves': 221}"
78,38,62,65,123,"{'max_depth': 12, 'num_leaves': 231}"
17,9,45,26,51,"{'max_depth': 12, 'num_leaves': 241}"
23,40,37,33,61,"{'max_depth': 12, 'num_leaves': 251}"
36,28,64,34,79,"{'max_depth': 12, 'num_leaves': 261}"
16,32,44,19,60,"{'max_depth': 12, 'num_leaves': 271}"
64,54,48,61,98,"{'max_depth': 12, 'num_leaves': 281}"
62,7,16,50,120,"{'max_depth': 12, 'num_leaves': 291}"
43,10,38,39,94,"{'max_depth': 12, 'num_leaves': 301}"
22,39,42,26,72,"{'max_depth': 12, 'num_leaves': 311}"
33,57,39,26,112,"{'max_depth': 12, 'num_leaves': 321}"
31,23,35,26,107,"{'max_depth': 12, 'num_leaves': 331}"
59,53,59,43,118,"{'max_depth': 12, 'num_leaves': 341}"
56,21,49,43,115,"{'max_depth': 13, 'num_leaves': 221}"
59,82,46,43,118,"{'max_depth': 13, 'num_leaves': 231}"
40,36,40,34,92,"{'max_depth': 13, 'num_leaves': 241}"
45,52,50,43,81,"{'max_depth': 13, 'num_leaves': 251}"
54,11,27,52,82,"{'max_depth': 13, 'num_leaves': 261}"
40,8,41,34,92,"{'max_depth': 13, 'num_leaves': 271}"
43,42,22,39,94,"{'max_depth': 13, 'num_leaves': 281}"
66,86,34,50,125,"{'max_depth': 13, 'num_leaves': 291}"
32,73,47,19,117,"{'max_depth': 13, 'num_leaves': 301}"
19,22,33,13,116,"{'max_depth': 13, 'num_leaves': 311}"
53,35,21,30,143,"{'max_depth': 13, 'num_leaves': 321}"
38,61,36,19,122,"{'max_depth': 13, 'num_leaves': 331}"
10,34,15,12,70,"{'max_depth': 13, 'num_leaves': 341}"
