rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
206,21,101,156,212,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 0}"
200,171,224,221,64,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 10}"
41,97,133,97,8,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 20}"
80,126,177,128,16,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 30}"
171,46,184,214,22,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 40}"
197,51,207,217,107,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 50}"
183,214,190,191,127,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 60}"
113,199,171,178,20,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 70}"
138,211,169,147,84,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 80}"
206,21,101,156,212,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 0}"
100,206,146,147,39,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 10}"
95,158,176,112,58,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 20}"
80,193,175,128,16,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 30}"
51,128,131,97,15,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 40}"
176,76,132,156,154,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 50}"
76,155,163,112,32,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 60}"
139,221,195,128,122,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 70}"
184,188,180,178,157,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 80}"
206,18,97,156,212,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 0}"
148,13,51,156,85,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 10}"
88,2,54,97,77,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 20}"
88,52,84,74,113,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 30}"
143,150,191,112,146,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 40}"
219,110,193,198,210,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 50}"
116,157,136,128,80,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 60}"
199,200,141,206,162,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 70}"
143,219,129,112,146,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 80}"
206,21,101,156,212,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 0}"
28,31,124,32,28,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 10}"
1,184,71,14,44,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 20}"
153,57,85,97,199,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 30}"
154,122,173,74,204,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 40}"
21,54,73,17,46,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 50}"
38,146,126,34,69,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 60}"
88,213,151,74,113,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 70}"
61,174,142,34,166,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 80}"
206,21,101,156,212,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 0}"
206,21,101,156,212,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 10}"
206,21,101,156,212,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 20}"
206,21,101,156,212,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 30}"
206,18,97,156,212,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 40}"
206,21,101,156,212,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 50}"
206,21,101,156,212,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 60}"
206,18,97,156,212,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 70}"
206,21,101,156,212,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 80}"
4,130,20,1,94,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 0}"
175,78,210,191,90,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 10}"
197,5,152,217,107,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 20}"
174,95,206,198,63,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 30}"
80,42,199,128,16,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 40}"
157,148,216,178,87,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 50}"
136,84,213,191,21,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 60}"
157,143,222,178,87,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 70}"
172,155,211,206,42,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 80}"
4,130,20,1,94,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 0}"
184,197,182,178,157,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 10}"
203,225,214,206,194,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 20}"
221,39,115,191,225,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 30}"
116,100,166,128,80,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 40}"
101,33,168,112,79,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 50}"
148,37,43,156,85,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 60}"
143,104,179,112,146,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 70}"
