rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
45,53,48,28,84,"{'reg_alpha': 1e-05, 'reg_lambda': 1e-05}"
81,13,32,70,88,"{'reg_alpha': 1e-05, 'reg_lambda': 0.001}"
13,34,8,10,23,"{'reg_alpha': 1e-05, 'reg_lambda': 0.1}"
65,30,42,58,71,"{'reg_alpha': 1e-05, 'reg_lambda': 0.0}"
13,34,8,10,23,"{'reg_alpha': 1e-05, 'reg_lambda': 0.1}"
10,8,18,10,5,"{'reg_alpha': 1e-05, 'reg_lambda': 0.3}"
33,94,67,28,43,"{'reg_alpha': 1e-05, 'reg_lambda': 0.5}"
89,83,95,89,78,"{'reg_alpha': 1e-05, 'reg_lambda': 0.7}"
33,96,74,28,43,"{'reg_alpha': 1e-05, 'reg_lambda': 0.9}"
29,54,17,18,66,"{'reg_alpha': 1e-05, 'reg_lambda': 1.0}"
38,7,37,40,14,"{'reg_alpha': 0.001, 'reg_lambda': 1e-05}"
12,55,96,10,13,"{'reg_alpha': 0.001, 'reg_lambda': 0.001}"
60,40,66,70,11,"{'reg_alpha': 0.001, 'reg_lambda': 0.1}"
25,14,38,18,39,"{'reg_alpha': 0.001, 'reg_lambda': 0.0}"
61,31,83,58,56,"{'reg_alpha': 0.001, 'reg_lambda': 0.1}"
100,68,97,99,100,"{'reg_alpha': 0.001, 'reg_lambda': 0.3}"
76,12,52,70,74,"{'reg_alpha': 0.001, 'reg_lambda': 0.5}"
89,98,89,89,78,"{'reg_alpha': 0.001, 'reg_lambda': 0.7}"
33,73,82,28,43,"{'reg_alpha': 0.001, 'reg_lambda': 0.9}"
6,84,34,6,19,"{'reg_alpha': 0.001, 'reg_lambda': 1.0}"
97,23,85,94,96,"{'reg_alpha': 0.1, 'reg_lambda': 1e-05}"
21,32,92,18,27,"{'reg_alpha': 0.1, 'reg_lambda': 0.001}"
24,17,63,28,9,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
97,23,85,94,96,"{'reg_alpha': 0.1, 'reg_lambda': 0.0}"
76,63,87,70,74,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
41,82,57,28,67,"{'reg_alpha': 0.1, 'reg_lambda': 0.3}"
46,28,30,40,48,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
71,2,12,70,60,"{'reg_alpha': 0.1, 'reg_lambda': 0.7}"
20,69,6,28,1,"{'reg_alpha': 0.1, 'reg_lambda': 0.9}"
3,74,25,3,3,"{'reg_alpha': 0.1, 'reg_lambda': 1.0}"
71,70,19,70,60,"{'reg_alpha': 0.0, 'reg_lambda': 1e-05}"
86,1,26,84,92,"{'reg_alpha': 0.0, 'reg_lambda': 0.001}"
38,59,94,40,14,"{'reg_alpha': 0.0, 'reg_lambda': 0.1}"
95,3,33,94,82,"{'reg_alpha': 0.0, 'reg_lambda': 0.0}"
68,38,51,58,85,"{'reg_alpha': 0.0, 'reg_lambda': 0.1}"
92,36,29,89,95,"{'reg_alpha': 0.0, 'reg_lambda': 0.3}"
13,62,36,10,23,"{'reg_alpha': 0.0, 'reg_lambda': 0.5}"
68,43,59,58,85,"{'reg_alpha': 0.0, 'reg_lambda': 0.7}"
46,49,91,40,48,"{'reg_alpha': 0.0, 'reg_lambda': 0.9}"
25,79,71,18,39,"{'reg_alpha': 0.0, 'reg_lambda': 1.0}"
80,21,79,84,36,"{'reg_alpha': 0.1, 'reg_lambda': 1e-05}"
81,48,100,70,88,"{'reg_alpha': 0.1, 'reg_lambda': 0.001}"
76,18,15,70,74,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
32,67,75,40,10,"{'reg_alpha': 0.1, 'reg_lambda': 0.0}"
89,37,44,89,78,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
46,27,53,40,48,"{'reg_alpha': 0.1, 'reg_lambda': 0.3}"
17,91,73,18,7,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
56,52,76,40,68,"{'reg_alpha': 0.1, 'reg_lambda': 0.7}"
46,39,35,40,48,"{'reg_alpha': 0.1, 'reg_lambda': 0.9}"
6,10,27,6,19,"{'reg_alpha': 0.1, 'reg_lambda': 1.0}"
61,15,3,58,56,"{'reg_alpha': 0.3, 'reg_lambda': 1e-05}"
42,57,24,40,32,"{'reg_alpha': 0.3, 'reg_lambda': 0.001}"
3,4,4,3,3,"{'reg_alpha': 0.3, 'reg_lambda': 0.1}"
21,5,22,18,27,"{'reg_alpha': 0.3, 'reg_lambda': 0.0}"
1,29,2,1,2,"{'reg_alpha': 0.3, 'reg_lambda': 0.1}"
42,78,20,40,32,"{'reg_alpha': 0.3, 'reg_lambda': 0.3}"
93,26,84,93,81,"{'reg_alpha': 0.3, 'reg_lambda': 0.5}"
2,50,65,2,12,"{'reg_alpha': 0.3, 'reg_lambda': 0.7}"
81,11,60,70,88,"{'reg_alpha': 0.3, 'reg_lambda': 0.9}"
86,87,72,84,92,"{'reg_alpha': 0.3, 'reg_lambda': 1.0}"
38,76,61,40,14,"{'reg_alpha': 0.5, 'reg_lambda': 1e-05}"
6,46,11,6,19,"{'reg_alpha': 0.5, 'reg_lambda': 0.001}"
71,95,70,70,60,"{'reg_alpha': 0.5, 'reg_lambda': 0.1}"
46,81,80,40,48,"{'reg_alpha': 0.5, 'reg_lambda': 0.0}"
61,100,46,58,56,"{'reg_alpha': 0.5, 'reg_lambda': 0.1}"
46,66,56,40,48,"{'reg_alpha': 0.5, 'reg_lambda': 0.3}"
33,42,54,28,43,"{'reg_alpha': 0.5, 'reg_lambda': 0.5}"
86,9,45,84,92,"{'reg_alpha': 0.5, 'reg_lambda': 0.7}"
46,6,7,40,48,"{'reg_alpha': 0.5, 'reg_lambda': 0.9}"
17,89,23,18,7,"{'reg_alpha': 0.5, 'reg_lambda': 1.0}"
46,16,39,40,48,"{'reg_alpha': 0.7, 'reg_lambda': 1e-05}"
13,19,55,10,23,"{'reg_alpha': 0.7, 'reg_lambda': 0.001}"
25,75,50,18,39,"{'reg_alpha': 0.7, 'reg_lambda': 0.1}"
94,58,99,94,37,"{'reg_alpha': 0.7, 'reg_lambda': 0.0}"
10,20,5,10,5,"{'reg_alpha': 0.7, 'reg_lambda': 0.1}"
21,25,1,18,27,"{'reg_alpha': 0.7, 'reg_lambda': 0.3}"
6,85,10,6,19,"{'reg_alpha': 0.7, 'reg_lambda': 0.5}"
59,51,41,58,35,"{'reg_alpha': 0.7, 'reg_lambda': 0.7}"
85,65,43,84,65,"{'reg_alpha': 0.7, 'reg_lambda': 0.9}"
54,99,49,58,17,"{'reg_alpha': 0.7, 'reg_lambda': 1.0}"
19,77,90,10,38,"{'reg_alpha': 0.9, 'reg_lambda': 1e-05}"
65,56,40,58,71,"{'reg_alpha': 0.9, 'reg_lambda': 0.001}"
68,86,93,58,85,"{'reg_alpha': 0.9, 'reg_lambda': 0.1}"
42,47,28,40,32,"{'reg_alpha': 0.9, 'reg_lambda': 0.0}"
55,93,88,28,99,"{'reg_alpha': 0.9, 'reg_lambda': 0.1}"
5,92,21,3,18,"{'reg_alpha': 0.9, 'reg_lambda': 0.3}"
95,64,58,94,82,"{'reg_alpha': 0.9, 'reg_lambda': 0.5}"
30,22,47,28,30,"{'reg_alpha': 0.9, 'reg_lambda': 0.7}"
81,97,78,70,88,"{'reg_alpha': 0.9, 'reg_lambda': 0.9}"
33,45,31,28,43,"{'reg_alpha': 0.9, 'reg_lambda': 1.0}"
99,71,68,99,98,"{'reg_alpha': 1.0, 'reg_lambda': 1e-05}"
65,90,16,58,71,"{'reg_alpha': 1.0, 'reg_lambda': 0.001}"
56,72,81,40,68,"{'reg_alpha': 1.0, 'reg_lambda': 0.1}"
56,33,98,40,68,"{'reg_alpha': 1.0, 'reg_lambda': 0.0}"
76,80,77,70,74,"{'reg_alpha': 1.0, 'reg_lambda': 0.1}"
61,88,62,58,56,"{'reg_alpha': 1.0, 'reg_lambda': 0.3}"
71,60,14,70,60,"{'reg_alpha': 1.0, 'reg_lambda': 0.5}"
25,61,69,18,39,"{'reg_alpha': 1.0, 'reg_lambda': 0.7}"
30,44,64,28,30,"{'reg_alpha': 1.0, 'reg_lambda': 0.9}"
71,41,13,70,60,"{'reg_alpha': 1.0, 'reg_lambda': 1.0}"
