rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
98,2,39,100,98,{'max_depth': None}
150,150,150,150,150,{'max_depth': 1}
149,149,149,149,149,{'max_depth': 2}
148,148,148,148,148,{'max_depth': 3}
147,147,147,147,147,{'max_depth': 4}
146,146,146,146,146,{'max_depth': 5}
145,145,145,145,145,{'max_depth': 6}
144,144,144,144,144,{'max_depth': 7}
143,143,143,143,143,{'max_depth': 8}
142,142,142,142,142,{'max_depth': 9}
141,141,141,141,135,{'max_depth': 10}
140,140,140,140,38,{'max_depth': 11}
139,139,139,139,11,{'max_depth': 12}
138,138,138,138,3,{'max_depth': 13}
137,137,137,137,22,{'max_depth': 14}
133,135,136,136,29,{'max_depth': 15}
74,136,135,134,3,{'max_depth': 16}
117,134,134,134,28,{'max_depth': 17}
103,132,133,133,27,{'max_depth': 18}
91,109,132,131,26,{'max_depth': 19}
73,115,130,124,25,{'max_depth': 20}
58,107,131,118,24,{'max_depth': 21}
28,120,129,100,9,{'max_depth': 22}
59,51,118,56,70,{'max_depth': 23}
33,24,102,80,23,{'max_depth': 24}
55,40,55,80,49,{'max_depth': 25}
105,97,53,80,111,{'max_depth': 26}
39,59,123,56,42,{'max_depth': 27}
6,130,113,6,7,{'max_depth': 28}
7,121,30,6,12,{'max_depth': 29}
87,9,41,100,82,{'max_depth': 30}
98,99,52,100,98,{'max_depth': 31}
59,71,87,56,70,{'max_depth': 32}
75,100,83,80,76,{'max_depth': 33}
113,74,37,100,118,{'max_depth': 34}
131,75,7,118,138,{'max_depth': 35}
22,44,124,32,19,{'max_depth': 36}
59,81,17,56,70,{'max_depth': 37}
123,69,89,100,129,{'max_depth': 38}
105,113,75,80,111,{'max_depth': 39}
25,92,58,19,36,{'max_depth': 40}
18,38,12,10,32,{'max_depth': 41}
88,63,108,32,104,{'max_depth': 42}
46,53,42,32,61,{'max_depth': 43}
65,22,15,100,51,{'max_depth': 44}
39,25,29,56,42,{'max_depth': 45}
5,72,86,10,6,{'max_depth': 46}
113,128,116,100,118,{'max_depth': 47}
67,82,126,32,86,{'max_depth': 48}
32,20,18,6,84,{'max_depth': 49}
1,117,111,3,1,{'max_depth': 50}
135,86,25,131,134,{'max_depth': 51}
18,30,11,10,32,{'max_depth': 52}
39,89,49,56,42,{'max_depth': 53}
93,31,117,56,106,{'max_depth': 54}
46,129,57,32,61,{'max_depth': 55}
39,48,48,56,42,{'max_depth': 56}
34,83,96,19,56,{'max_depth': 57}
2,56,32,3,5,{'max_depth': 58}
29,1,1,32,38,{'max_depth': 59}
82,78,43,56,92,{'max_depth': 60}
3,14,2,10,2,{'max_depth': 61}
93,87,91,56,106,{'max_depth': 62}
46,84,66,32,61,{'max_depth': 63}
105,23,69,80,111,{'max_depth': 64}
67,36,40,32,86,{'max_depth': 65}
13,29,5,6,31,{'max_depth': 66}
14,94,23,19,15,{'max_depth': 67}
93,98,112,56,106,{'max_depth': 68}
117,7,103,124,103,{'max_depth': 69}
59,32,46,56,70,{'max_depth': 70}
39,52,72,56,42,{'max_depth': 71}
34,10,47,19,56,{'max_depth': 72}
25,45,70,19,36,{'max_depth': 73}
65,28,97,100,51,{'max_depth': 74}
59,60,99,56,70,{'max_depth': 75}
9,124,16,19,8,{'max_depth': 76}
