rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
34,34,34,34,34,{'n_estimators': 10}
33,33,33,33,33,{'n_estimators': 20}
10,29,31,9,12,{'n_estimators': 30}
32,32,32,32,26,{'n_estimators': 40}
10,25,28,9,12,{'n_estimators': 50}
14,4,27,9,20,{'n_estimators': 60}
1,27,30,2,1,{'n_estimators': 70}
22,31,29,22,22,{'n_estimators': 80}
29,7,25,27,30,{'n_estimators': 90}
4,14,24,3,5,{'n_estimators': 100}
26,11,21,29,19,{'n_estimators': 110}
3,23,26,3,2,{'n_estimators': 120}
2,3,7,1,4,{'n_estimators': 130}
27,24,15,22,28,{'n_estimators': 140}
15,26,13,15,15,{'n_estimators': 150}
25,8,19,27,24,{'n_estimators': 160}
20,5,20,15,21,{'n_estimators': 170}
27,30,22,22,28,{'n_estimators': 180}
9,13,1,9,8,{'n_estimators': 190}
24,18,23,22,25,{'n_estimators': 200}
30,9,14,29,31,{'n_estimators': 210}
22,22,18,22,22,{'n_estimators': 220}
19,21,17,21,10,{'n_estimators': 230}
8,1,10,7,7,{'n_estimators': 240}
7,2,6,3,11,{'n_estimators': 250}
13,12,4,15,9,{'n_estimators': 260}
21,19,9,9,27,{'n_estimators': 270}
15,6,2,15,15,{'n_estimators': 280}
30,28,8,29,31,{'n_estimators': 290}
10,10,16,9,12,{'n_estimators': 300}
15,17,3,15,15,{'n_estimators': 310}
4,16,5,3,5,{'n_estimators': 320}
15,15,11,15,15,{'n_estimators': 330}
6,20,12,7,3,{'n_estimators': 340}
