rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
63,62,126,39,72,{'max_depth': None}
150,150,150,150,150,{'max_depth': 1}
149,149,149,149,149,{'max_depth': 2}
148,148,148,148,148,{'max_depth': 3}
147,147,147,147,147,{'max_depth': 4}
146,146,146,146,146,{'max_depth': 5}
145,145,145,145,145,{'max_depth': 6}
144,144,144,144,144,{'max_depth': 7}
143,143,143,143,143,{'max_depth': 8}
142,142,142,142,142,{'max_depth': 9}
141,141,141,141,141,{'max_depth': 10}
140,140,140,140,137,{'max_depth': 11}
139,139,139,139,100,{'max_depth': 12}
137,137,138,137,43,{'max_depth': 13}
138,136,136,137,127,{'max_depth': 14}
136,138,137,136,19,{'max_depth': 15}
133,134,135,135,52,{'max_depth': 16}
131,130,134,134,51,{'max_depth': 17}
10,103,130,100,2,{'max_depth': 18}
126,126,133,129,99,{'max_depth': 19}
12,104,128,39,11,{'max_depth': 20}
128,41,125,132,50,{'max_depth': 21}
8,123,131,39,1,{'max_depth': 22}
129,38,98,129,126,{'max_depth': 23}
94,56,57,117,49,{'max_depth': 24}
75,111,82,100,46,{'max_depth': 25}
38,95,106,39,29,{'max_depth': 26}
17,19,25,18,20,{'max_depth': 27}
11,73,96,76,4,{'max_depth': 28}
118,55,51,117,121,{'max_depth': 29}
38,122,56,39,29,{'max_depth': 30}
3,77,1,3,5,{'max_depth': 31}
95,40,84,100,91,{'max_depth': 32}
38,71,44,39,29,{'max_depth': 33}
100,59,23,76,110,{'max_depth': 34}
52,115,61,18,63,{'max_depth': 35}
118,114,47,117,121,{'max_depth': 36}
52,92,14,18,63,{'max_depth': 37}
113,68,26,76,127,{'max_depth': 38}
100,75,58,76,110,{'max_depth': 39}
17,60,79,18,20,{'max_depth': 40}
5,46,41,5,7,{'max_depth': 41}
36,133,99,76,16,{'max_depth': 42}
26,29,7,5,53,{'max_depth': 43}
108,100,11,100,116,{'max_depth': 44}
75,27,13,100,46,{'max_depth': 45}
95,110,42,100,91,{'max_depth': 46}
52,96,81,18,63,{'max_depth': 47}
61,127,90,76,43,{'max_depth': 48}
95,9,15,100,91,{'max_depth': 49}
12,39,2,39,11,{'max_depth': 50}
106,32,60,117,96,{'max_depth': 51}
118,125,87,117,121,{'max_depth': 52}
38,11,70,39,29,{'max_depth': 53}
38,83,85,39,29,{'max_depth': 54}
38,30,91,39,29,{'max_depth': 55}
87,88,127,39,103,{'max_depth': 56}
61,37,30,76,43,{'max_depth': 57}
38,18,17,39,29,{'max_depth': 58}
38,98,86,39,29,{'max_depth': 59}
63,109,121,39,72,{'max_depth': 60}
52,66,20,18,63,{'max_depth': 61}
63,49,65,39,72,{'max_depth': 62}
17,3,38,18,20,{'max_depth': 63}
38,6,24,39,29,{'max_depth': 64}
26,79,102,5,53,{'max_depth': 65}
123,20,52,100,132,{'max_depth': 66}
26,108,89,5,53,{'max_depth': 67}
73,50,73,18,101,{'max_depth': 68}
38,101,122,39,29,{'max_depth': 69}
9,69,4,18,10,{'max_depth': 70}
117,8,88,126,98,{'max_depth': 71}
63,12,29,39,72,{'max_depth': 72}
26,26,9,5,53,{'max_depth': 73}
17,78,78,18,20,{'max_depth': 74}
63,10,71,39,72,{'max_depth': 75}
123,106,75,100,132,{'max_depth': 76}
87,48,31,39,103,{'max_depth': 77}
108,89,124,100,116,{'max_depth': 78}
127,1,59,117,135,{'max_depth': 79}
123,91,74,100,132,{'max_depth': 80}
2,131,53,1,18,{'max_depth': 81}
78,72,66,76,82,{'max_depth': 82}
63,81,16,39,72,{'max_depth': 83}
87,45,62,39,103,{'max_depth': 84}
87,16,77,39,103,{'max_depth': 85}
130,65,19,126,136,{'max_depth': 86}
113,97,37,76,127,{'max_depth': 87}
38,128,93,39,29,{'max_depth': 88}
113,93,68,76,127,{'max_depth': 89}
26,28,12,5,53,{'max_depth': 90}
78,17,95,76,82,{'max_depth': 91}
5,105,63,5,7,{'max_depth': 92}
52,85,64,18,63,{'max_depth': 93}
26,86,103,5,53,{'max_depth': 94}
75,53,5,100,46,{'max_depth': 95}
78,24,72,76,82,{'max_depth': 96}
