rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
56,123,110,76,54,{'max_depth': None}
150,150,150,150,150,{'max_depth': 1}
149,149,149,149,149,{'max_depth': 2}
148,148,148,148,148,{'max_depth': 3}
147,147,147,147,147,{'max_depth': 4}
146,146,146,146,146,{'max_depth': 5}
145,145,145,145,145,{'max_depth': 6}
144,144,144,144,144,{'max_depth': 7}
143,143,143,143,143,{'max_depth': 8}
142,142,142,142,142,{'max_depth': 9}
141,141,141,141,133,{'max_depth': 10}
140,140,140,140,12,{'max_depth': 11}
139,139,139,139,10,{'max_depth': 12}
138,138,138,138,1,{'max_depth': 13}
135,137,137,135,2,{'max_depth': 14}
136,136,136,135,8,{'max_depth': 15}
137,135,135,135,13,{'max_depth': 16}
132,134,134,134,6,{'max_depth': 17}
102,133,133,128,3,{'max_depth': 18}
124,129,132,133,5,{'max_depth': 19}
102,106,131,128,3,{'max_depth': 20}
118,132,130,128,14,{'max_depth': 21}
88,130,129,124,7,{'max_depth': 22}
131,124,122,128,62,{'max_depth': 23}
120,128,128,124,37,{'max_depth': 24}
89,127,125,120,11,{'max_depth': 25}
80,94,119,109,24,{'max_depth': 26}
120,59,127,124,37,{'max_depth': 27}
133,120,126,132,111,{'max_depth': 28}
112,58,120,117,60,{'max_depth': 29}
54,78,121,107,16,{'max_depth': 30}
122,86,123,120,88,{'max_depth': 31}
112,19,109,117,60,{'max_depth': 32}
127,26,118,120,110,{'max_depth': 33}
134,20,99,124,140,{'max_depth': 34}
123,31,56,117,109,{'max_depth': 35}
92,125,112,90,103,{'max_depth': 36}
130,99,87,109,141,{'max_depth': 37}
92,70,9,90,103,{'max_depth': 38}
125,71,68,112,126,{'max_depth': 39}
119,68,76,112,108,{'max_depth': 40}
20,7,40,43,20,{'max_depth': 41}
64,126,60,29,112,{'max_depth': 42}
6,115,111,29,9,{'max_depth': 43}
63,67,30,43,94,{'max_depth': 44}
129,17,90,120,127,{'max_depth': 45}
26,23,16,11,63,{'max_depth': 46}
20,107,54,43,20,{'max_depth': 47}
100,89,105,57,129,{'max_depth': 48}
70,63,53,57,95,{'max_depth': 49}
105,110,85,90,123,{'max_depth': 50}
7,79,8,4,41,{'max_depth': 51}
26,60,23,11,63,{'max_depth': 52}
20,5,2,21,46,{'max_depth': 53}
79,6,3,29,128,{'max_depth': 54}
64,73,98,29,112,{'max_depth': 55}
105,50,12,90,123,{'max_depth': 56}
35,45,31,21,68,{'max_depth': 57}
96,49,101,76,119,{'max_depth': 58}
20,36,70,21,46,{'max_depth': 59}
85,87,64,57,116,{'max_depth': 60}
38,10,13,57,33,{'max_depth': 61}
77,22,29,43,114,{'max_depth': 62}
104,80,75,103,107,{'max_depth': 63}
5,117,38,4,25,{'max_depth': 64}
66,37,79,90,58,{'max_depth': 65}
96,122,107,76,119,{'max_depth': 66}
37,3,61,11,89,{'max_depth': 67}
114,47,15,112,86,{'max_depth': 68}
92,25,45,90,103,{'max_depth': 69}
51,44,7,29,91,{'max_depth': 70}
70,74,108,57,95,{'max_depth': 71}
49,65,96,43,74,{'max_depth': 72}
117,62,63,103,132,{'max_depth': 73}
3,102,36,1,39,{'max_depth': 74}
3,121,77,1,39,{'max_depth': 75}
70,91,84,57,95,{'max_depth': 76}
128,90,116,112,135,{'max_depth': 77}
90,97,117,103,84,{'max_depth': 78}
55,54,67,90,36,{'max_depth': 79}
26,52,72,11,63,{'max_depth': 80}
116,118,57,107,125,{'max_depth': 81}
9,27,1,8,26,{'max_depth': 82}
15,51,81,21,19,{'max_depth': 83}
85,29,65,57,116,{'max_depth': 84}
108,131,74,57,137,{'max_depth': 85}
48,39,103,57,53,{'max_depth': 86}
81,55,82,90,81,{'max_depth': 87}
17,41,88,21,30,{'max_depth': 88}
12,101,6,11,27,{'max_depth': 89}
85,4,58,57,116,{'max_depth': 90}
32,64,102,29,48,{'max_depth': 91}
110,105,114,76,138,{'max_depth': 92}
1,109,10,1,17,{'max_depth': 93}
2,12,37,4,18,{'max_depth': 94}
16,98,59,11,45,{'max_depth': 95}
81,60,43,90,81,{'max_depth': 96}
43,21,39,29,70,{'max_depth': 97}
31,46,44,43,32,{'max_depth': 98}
70,83,14,57,95,{'max_depth': 99}
43,35,95,29,70,{'max_depth': 100}
26,56,27,11,63,{'max_depth': 101}
68,82,91,76,79,{'max_depth': 102}
60,13,24,57,76,{'max_depth': 103}
56,57,80,76,54,{'max_depth': 104}
114,30,20,112,86,{'max_depth': 105}
38,96,52,57,33,{'max_depth': 106}
51,48,11,29,91,{'max_depth': 107}
60,77,73,57,76,{'max_depth': 108}
107,53,104,76,130,{'max_depth': 109}
35,111,113,21,68,{'max_depth': 110}
70,15,69,57,95,{'max_depth': 111}
77,32,49,43,114,{'max_depth': 112}
66,108,46,90,58,{'max_depth': 113}
20,8,42,43,20,{'max_depth': 114}
126,81,106,109,134,{'max_depth': 115}
10,92,5,8,43,{'max_depth': 116}
70,33,41,57,95,{'max_depth': 117}
92,69,18,90,103,{'max_depth': 118}
96,84,100,76,119,{'max_depth': 119}
60,14,94,57,76,{'max_depth': 120}
41,43,55,43,51,{'max_depth': 121}
90,18,19,103,84,{'max_depth': 122}
84,95,97,76,102,{'max_depth': 123}
32,24,22,29,48,{'max_depth': 124}
41,9,4,43,51,{'max_depth': 125}
56,40,93,76,54,{'max_depth': 126}
51,114,83,29,91,{'max_depth': 127}
101,42,89,43,136,{'max_depth': 128}
96,112,92,76,119,{'max_depth': 129}
17,104,78,21,30,{'max_depth': 130}
43,34,47,29,70,{'max_depth': 131}
12,66,32,11,27,{'max_depth': 132}
38,76,48,57,33,{'max_depth': 133}
56,28,115,76,54,{'max_depth': 134}
109,85,124,90,131,{'max_depth': 135}
81,119,51,90,81,{'max_depth': 136}
47,1,33,21,90,{'max_depth': 137}
10,113,28,8,43,{'max_depth': 138}
26,93,86,11,63,{'max_depth': 139}
68,100,66,76,79,{'max_depth': 140}
43,103,71,29,70,{'max_depth': 141}
70,11,35,57,95,{'max_depth': 142}
19,2,21,43,15,{'max_depth': 143}
12,75,34,11,27,{'max_depth': 144}
110,16,50,76,138,{'max_depth': 145}
32,88,62,29,48,{'max_depth': 146}
7,116,17,4,41,{'max_depth': 147}
20,38,25,43,20,{'max_depth': 148}
49,72,26,43,74,{'max_depth': 149}
