rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
34,34,34,34,34,{'n_estimators': 10}
33,32,33,31,33,{'n_estimators': 20}
22,33,31,18,31,{'n_estimators': 30}
30,31,32,29,32,{'n_estimators': 40}
2,8,30,2,3,{'n_estimators': 50}
31,1,27,31,28,{'n_estimators': 60}
1,29,26,1,2,{'n_estimators': 70}
25,3,14,25,11,{'n_estimators': 80}
16,28,28,9,24,{'n_estimators': 90}
9,30,5,9,6,{'n_estimators': 100}
18,22,25,9,30,{'n_estimators': 110}
8,25,18,6,14,{'n_estimators': 120}
7,15,17,6,5,{'n_estimators': 130}
6,5,22,4,13,{'n_estimators': 140}
13,23,23,9,15,{'n_estimators': 150}
26,27,29,25,21,{'n_estimators': 160}
31,4,11,31,28,{'n_estimators': 170}
5,14,9,4,4,{'n_estimators': 180}
28,9,21,25,27,{'n_estimators': 190}
19,7,15,18,18,{'n_estimators': 200}
13,17,2,9,15,{'n_estimators': 210}
9,16,8,9,6,{'n_estimators': 220}
4,2,24,6,1,{'n_estimators': 230}
13,21,12,9,15,{'n_estimators': 240}
9,11,7,9,6,{'n_estimators': 250}
17,20,13,18,10,{'n_estimators': 260}
21,18,19,18,25,{'n_estimators': 270}
23,13,4,23,20,{'n_estimators': 280}
19,24,16,18,18,{'n_estimators': 290}
9,19,1,9,6,{'n_estimators': 300}
24,26,20,23,26,{'n_estimators': 310}
29,6,10,29,23,{'n_estimators': 320}
3,12,3,3,12,{'n_estimators': 330}
26,10,6,25,21,{'n_estimators': 340}
