rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
240,240,238,222,240,"{'C': 0.0625, 'gamma': 0.0625, 'kernel': 'rbf'}"
221,238,239,144,226,"{'C': 0.0625, 'gamma': 0.125, 'kernel': 'rbf'}"
238,235,235,238,238,"{'C': 0.0625, 'gamma': 0.25, 'kernel': 'rbf'}"
234,231,231,234,234,"{'C': 0.0625, 'gamma': 0.5, 'kernel': 'rbf'}"
228,226,227,229,227,"{'C': 0.0625, 'gamma': 1.0, 'kernel': 'rbf'}"
224,220,220,223,223,"{'C': 0.0625, 'gamma': 2.0, 'kernel': 'rbf'}"
217,213,208,213,217,"{'C': 0.0625, 'gamma': 4.0, 'kernel': 'rbf'}"
205,203,193,205,206,"{'C': 0.0625, 'gamma': 8.0, 'kernel': 'rbf'}"
193,189,168,189,191,"{'C': 0.0625, 'gamma': 16.0, 'kernel': 'rbf'}"
176,165,150,163,176,"{'C': 0.0625, 'gamma': 32.0, 'kernel': 'rbf'}"
147,145,135,145,148,"{'C': 0.0625, 'gamma': 64.0, 'kernel': 'rbf'}"
131,133,118,126,123,"{'C': 0.0625, 'gamma': 128.0, 'kernel': 'rbf'}"
117,129,111,115,110,"{'C': 0.0625, 'gamma': 256.0, 'kernel': 'rbf'}"
95,104,102,96,90,"{'C': 0.0625, 'gamma': 512.0, 'kernel': 'rbf'}"
111,86,86,81,202,"{'C': 0.0625, 'gamma': 1024.0, 'kernel': 'rbf'}"
120,108,79,85,209,"{'C': 0.0625, 'gamma': 2048.0, 'kernel': 'rbf'}"
227,239,240,139,232,"{'C': 0.125, 'gamma': 0.0625, 'kernel': 'rbf'}"
239,237,236,239,239,"{'C': 0.125, 'gamma': 0.125, 'kernel': 'rbf'}"
233,232,233,235,233,"{'C': 0.125, 'gamma': 0.25, 'kernel': 'rbf'}"
231,227,228,230,230,"{'C': 0.125, 'gamma': 0.5, 'kernel': 'rbf'}"
225,221,225,224,224,"{'C': 0.125, 'gamma': 1.0, 'kernel': 'rbf'}"
219,214,214,216,219,"{'C': 0.125, 'gamma': 2.0, 'kernel': 'rbf'}"
206,206,198,208,204,"{'C': 0.125, 'gamma': 4.0, 'kernel': 'rbf'}"
191,193,181,193,188,"{'C': 0.125, 'gamma': 8.0, 'kernel': 'rbf'}"
178,171,154,170,177,"{'C': 0.125, 'gamma': 16.0, 'kernel': 'rbf'}"
145,146,141,148,144,"{'C': 0.125, 'gamma': 32.0, 'kernel': 'rbf'}"
130,130,123,128,117,"{'C': 0.125, 'gamma': 64.0, 'kernel': 'rbf'}"
107,103,107,110,57,"{'C': 0.125, 'gamma': 128.0, 'kernel': 'rbf'}"
97,97,97,99,32,"{'C': 0.125, 'gamma': 256.0, 'kernel': 'rbf'}"
90,82,94,92,56,"{'C': 0.125, 'gamma': 512.0, 'kernel': 'rbf'}"
66,98,87,68,91,"{'C': 0.125, 'gamma': 1024.0, 'kernel': 'rbf'}"
120,105,78,85,209,"{'C': 0.125, 'gamma': 2048.0, 'kernel': 'rbf'}"
237,236,237,240,237,"{'C': 0.25, 'gamma': 0.0625, 'kernel': 'rbf'}"
235,233,232,236,235,"{'C': 0.25, 'gamma': 0.125, 'kernel': 'rbf'}"
229,228,229,231,227,"{'C': 0.25, 'gamma': 0.25, 'kernel': 'rbf'}"
220,222,223,225,220,"{'C': 0.25, 'gamma': 0.5, 'kernel': 'rbf'}"
218,215,216,217,218,"{'C': 0.25, 'gamma': 1.0, 'kernel': 'rbf'}"
