rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
238,240,238,239,238,"{'C': 0.0625, 'gamma': 0.0625, 'kernel': 'rbf'}"
237,238,240,215,236,"{'C': 0.0625, 'gamma': 0.125, 'kernel': 'rbf'}"
234,235,237,237,234,"{'C': 0.0625, 'gamma': 0.25, 'kernel': 'rbf'}"
228,231,231,234,227,"{'C': 0.0625, 'gamma': 0.5, 'kernel': 'rbf'}"
222,226,227,228,222,"{'C': 0.0625, 'gamma': 1.0, 'kernel': 'rbf'}"
224,220,220,226,227,"{'C': 0.0625, 'gamma': 2.0, 'kernel': 'rbf'}"
208,213,213,218,206,"{'C': 0.0625, 'gamma': 4.0, 'kernel': 'rbf'}"
203,205,197,205,203,"{'C': 0.0625, 'gamma': 8.0, 'kernel': 'rbf'}"
192,192,166,190,194,"{'C': 0.0625, 'gamma': 16.0, 'kernel': 'rbf'}"
169,170,145,163,173,"{'C': 0.0625, 'gamma': 32.0, 'kernel': 'rbf'}"
140,142,132,141,128,"{'C': 0.0625, 'gamma': 64.0, 'kernel': 'rbf'}"
123,131,118,127,107,"{'C': 0.0625, 'gamma': 128.0, 'kernel': 'rbf'}"
117,127,110,117,106,"{'C': 0.0625, 'gamma': 256.0, 'kernel': 'rbf'}"
108,124,107,107,105,"{'C': 0.0625, 'gamma': 512.0, 'kernel': 'rbf'}"
240,107,89,96,240,"{'C': 0.0625, 'gamma': 1024.0, 'kernel': 'rbf'}"
239,108,80,240,239,"{'C': 0.0625, 'gamma': 2048.0, 'kernel': 'rbf'}"
235,239,239,238,235,"{'C': 0.125, 'gamma': 0.0625, 'kernel': 'rbf'}"
233,237,236,236,233,"{'C': 0.125, 'gamma': 0.125, 'kernel': 'rbf'}"
226,232,232,232,225,"{'C': 0.125, 'gamma': 0.25, 'kernel': 'rbf'}"
225,227,228,227,224,"{'C': 0.125, 'gamma': 0.5, 'kernel': 'rbf'}"
223,221,221,225,223,"{'C': 0.125, 'gamma': 1.0, 'kernel': 'rbf'}"
217,214,214,220,216,"{'C': 0.125, 'gamma': 2.0, 'kernel': 'rbf'}"
209,206,203,210,211,"{'C': 0.125, 'gamma': 4.0, 'kernel': 'rbf'}"
196,194,178,193,197,"{'C': 0.125, 'gamma': 8.0, 'kernel': 'rbf'}"
167,174,153,167,167,"{'C': 0.125, 'gamma': 16.0, 'kernel': 'rbf'}"
144,144,138,144,143,"{'C': 0.125, 'gamma': 32.0, 'kernel': 'rbf'}"
121,128,123,123,102,"{'C': 0.125, 'gamma': 64.0, 'kernel': 'rbf'}"
106,118,103,108,45,"{'C': 0.125, 'gamma': 128.0, 'kernel': 'rbf'}"
99,115,94,100,56,"{'C': 0.125, 'gamma': 256.0, 'kernel': 'rbf'}"
94,119,95,92,83,"{'C': 0.125, 'gamma': 512.0, 'kernel': 'rbf'}"
62,106,92,58,86,"{'C': 0.125, 'gamma': 1024.0, 'kernel': 'rbf'}"
95,109,79,82,144,"{'C': 0.125, 'gamma': 2048.0, 'kernel': 'rbf'}"
236,236,235,194,237,"{'C': 0.25, 'gamma': 0.0625, 'kernel': 'rbf'}"
227,233,233,233,226,"{'C': 0.25, 'gamma': 0.125, 'kernel': 'rbf'}"
230,228,226,229,230,"{'C': 0.25, 'gamma': 0.25, 'kernel': 'rbf'}"
219,222,222,224,219,"{'C': 0.25, 'gamma': 0.5, 'kernel': 'rbf'}"
213,215,215,219,209,"{'C': 0.25, 'gamma': 1.0, 'kernel': 'rbf'}"
204,207,207,208,204,"{'C': 0.25, 'gamma': 2.0, 'kernel': 'rbf'}"
194,198,191,196,193,"{'C': 0.25, 'gamma': 4.0, 'kernel': 'rbf'}"
173,181,165,177,170,"{'C': 0.25, 'gamma': 8.0, 'kernel': 'rbf'}"
148,151,148,149,146,"{'C': 0.25, 'gamma': 16.0, 'kernel': 'rbf'}"
130,134,129,132,112,"{'C': 0.25, 'gamma': 32.0, 'kernel': 'rbf'}"
111,114,111,112,55,"{'C': 0.25, 'gamma': 64.0, 'kernel': 'rbf'}"
92,64,93,95,11,"{'C': 0.25, 'gamma': 128.0, 'kernel': 'rbf'}"
69,88,65,83,13,"{'C': 0.25, 'gamma': 256.0, 'kernel': 'rbf'}"
60,111,81,61,46,"{'C': 0.25, 'gamma': 512.0, 'kernel': 'rbf'}"
45,90,84,32,84,"{'C': 0.25, 'gamma': 1024.0, 'kernel': 'rbf'}"
74,110,82,60,116,"{'C': 0.25, 'gamma': 2048.0, 'kernel': 'rbf'}"
228,234,234,234,227,"{'C': 0.5, 'gamma': 0.0625, 'kernel': 'rbf'}"
230,229,229,229,230,"{'C': 0.5, 'gamma': 0.125, 'kernel': 'rbf'}"
218,223,223,222,218,"{'C': 0.5, 'gamma': 0.25, 'kernel': 'rbf'}"
216,216,216,217,217,"{'C': 0.5, 'gamma': 0.5, 'kernel': 'rbf'}"
205,208,208,209,205,"{'C': 0.5, 'gamma': 1.0, 'kernel': 'rbf'}"
197,199,198,199,196,"{'C': 0.5, 'gamma': 2.0, 'kernel': 'rbf'}"
184,186,177,184,184,"{'C': 0.5, 'gamma': 4.0, 'kernel': 'rbf'}"
159,158,156,158,162,"{'C': 0.5, 'gamma': 8.0, 'kernel': 'rbf'}"
138,138,139,139,124,"{'C': 0.5, 'gamma': 16.0, 'kernel': 'rbf'}"
118,120,121,119,88,"{'C': 0.5, 'gamma': 32.0, 'kernel': 'rbf'}"
100,60,100,101,9,"{'C': 0.5, 'gamma': 64.0, 'kernel': 'rbf'}"
47,47,50,75,1,"{'C': 0.5, 'gamma': 128.0, 'kernel': 'rbf'}"
38,63,31,51,27,"{'C': 0.5, 'gamma': 256.0, 'kernel': 'rbf'}"
26,93,51,32,54,"{'C': 0.5, 'gamma': 512.0, 'kernel': 'rbf'}"
