rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
238,240,240,240,238,"{'C': 0.0625, 'gamma': 0.0625, 'kernel': 'rbf'}"
239,239,239,239,239,"{'C': 0.0625, 'gamma': 0.125, 'kernel': 'rbf'}"
237,237,237,236,237,"{'C': 0.0625, 'gamma': 0.25, 'kernel': 'rbf'}"
229,234,234,235,229,"{'C': 0.0625, 'gamma': 0.5, 'kernel': 'rbf'}"
222,230,230,231,222,"{'C': 0.0625, 'gamma': 1.0, 'kernel': 'rbf'}"
228,225,222,226,228,"{'C': 0.0625, 'gamma': 2.0, 'kernel': 'rbf'}"
216,215,214,220,216,"{'C': 0.0625, 'gamma': 4.0, 'kernel': 'rbf'}"
207,207,205,205,210,"{'C': 0.0625, 'gamma': 8.0, 'kernel': 'rbf'}"
197,194,196,191,195,"{'C': 0.0625, 'gamma': 16.0, 'kernel': 'rbf'}"
173,169,170,167,171,"{'C': 0.0625, 'gamma': 32.0, 'kernel': 'rbf'}"
149,147,143,144,148,"{'C': 0.0625, 'gamma': 64.0, 'kernel': 'rbf'}"
138,136,123,129,136,"{'C': 0.0625, 'gamma': 128.0, 'kernel': 'rbf'}"
128,132,112,121,132,"{'C': 0.0625, 'gamma': 256.0, 'kernel': 'rbf'}"
102,129,101,101,98,"{'C': 0.0625, 'gamma': 512.0, 'kernel': 'rbf'}"
110,123,84,79,193,"{'C': 0.0625, 'gamma': 1024.0, 'kernel': 'rbf'}"
117,118,58,81,198,"{'C': 0.0625, 'gamma': 2048.0, 'kernel': 'rbf'}"
240,238,238,206,240,"{'C': 0.125, 'gamma': 0.0625, 'kernel': 'rbf'}"
235,236,236,237,234,"{'C': 0.125, 'gamma': 0.125, 'kernel': 'rbf'}"
227,233,233,234,227,"{'C': 0.125, 'gamma': 0.25, 'kernel': 'rbf'}"
232,229,229,228,232,"{'C': 0.125, 'gamma': 0.5, 'kernel': 'rbf'}"
230,224,225,225,230,"{'C': 0.125, 'gamma': 1.0, 'kernel': 'rbf'}"
213,213,213,214,213,"{'C': 0.125, 'gamma': 2.0, 'kernel': 'rbf'}"
211,205,206,207,210,"{'C': 0.125, 'gamma': 4.0, 'kernel': 'rbf'}"
194,196,197,197,190,"{'C': 0.125, 'gamma': 8.0, 'kernel': 'rbf'}"
170,174,179,172,166,"{'C': 0.125, 'gamma': 16.0, 'kernel': 'rbf'}"
151,150,146,148,135,"{'C': 0.125, 'gamma': 32.0, 'kernel': 'rbf'}"
137,128,128,131,127,"{'C': 0.125, 'gamma': 64.0, 'kernel': 'rbf'}"
115,87,107,114,105,"{'C': 0.125, 'gamma': 128.0, 'kernel': 'rbf'}"
103,86,95,104,82,"{'C': 0.125, 'gamma': 256.0, 'kernel': 'rbf'}"
96,121,92,97,92,"{'C': 0.125, 'gamma': 512.0, 'kernel': 'rbf'}"
61,122,83,60,103,"{'C': 0.125, 'gamma': 1024.0, 'kernel': 'rbf'}"
117,119,59,81,198,"{'C': 0.125, 'gamma': 2048.0, 'kernel': 'rbf'}"
236,235,235,238,236,"{'C': 0.25, 'gamma': 0.0625, 'kernel': 'rbf'}"
226,232,231,233,226,"{'C': 0.25, 'gamma': 0.125, 'kernel': 'rbf'}"
231,228,228,227,230,"{'C': 0.25, 'gamma': 0.25, 'kernel': 'rbf'}"
220,223,224,221,220,"{'C': 0.25, 'gamma': 0.5, 'kernel': 'rbf'}"
214,214,215,214,214,"{'C': 0.25, 'gamma': 1.0, 'kernel': 'rbf'}"
205,206,207,208,205,"{'C': 0.25, 'gamma': 2.0, 'kernel': 'rbf'}"
196,198,198,198,192,"{'C': 0.25, 'gamma': 4.0, 'kernel': 'rbf'}"
179,179,184,181,176,"{'C': 0.25, 'gamma': 8.0, 'kernel': 'rbf'}"
156,153,152,154,154,"{'C': 0.25, 'gamma': 16.0, 'kernel': 'rbf'}"
135,134,134,135,119,"{'C': 0.25, 'gamma': 32.0, 'kernel': 'rbf'}"
116,81,115,118,84,"{'C': 0.25, 'gamma': 64.0, 'kernel': 'rbf'}"
99,19,94,102,82,"{'C': 0.25, 'gamma': 128.0, 'kernel': 'rbf'}"
88,37,73,89,66,"{'C': 0.25, 'gamma': 256.0, 'kernel': 'rbf'}"
58,85,74,71,54,"{'C': 0.25, 'gamma': 512.0, 'kernel': 'rbf'}"
42,104,76,43,90,"{'C': 0.25, 'gamma': 1024.0, 'kernel': 'rbf'}"
66,117,57,21,124,"{'C': 0.25, 'gamma': 2048.0, 'kernel': 'rbf'}"
225,231,232,232,225,"{'C': 0.5, 'gamma': 0.0625, 'kernel': 'rbf'}"
232,227,227,228,232,"{'C': 0.5, 'gamma': 0.125, 'kernel': 'rbf'}"
221,222,221,223,221,"{'C': 0.5, 'gamma': 0.25, 'kernel': 'rbf'}"
215,216,216,218,215,"{'C': 0.5, 'gamma': 0.5, 'kernel': 'rbf'}"
206,208,208,209,206,"{'C': 0.5, 'gamma': 1.0, 'kernel': 'rbf'}"
199,199,199,199,197,"{'C': 0.5, 'gamma': 2.0, 'kernel': 'rbf'}"
182,184,189,187,178,"{'C': 0.5, 'gamma': 4.0, 'kernel': 'rbf'}"
162,159,159,161,158,"{'C': 0.5, 'gamma': 8.0, 'kernel': 'rbf'}"
144,141,139,142,126,"{'C': 0.5, 'gamma': 16.0, 'kernel': 'rbf'}"
123,101,122,124,94,"{'C': 0.5, 'gamma': 32.0, 'kernel': 'rbf'}"
98,13,104,103,15,"{'C': 0.5, 'gamma': 64.0, 'kernel': 'rbf'}"
72,23,71,86,16,"{'C': 0.5, 'gamma': 128.0, 'kernel': 'rbf'}"
41,51,22,66,53,"{'C': 0.5, 'gamma': 256.0, 'kernel': 'rbf'}"
21,82,38,22,47,"{'C': 0.5, 'gamma': 512.0, 'kernel': 'rbf'}"
45,100,72,43,98,"{'C': 0.5, 'gamma': 1024.0, 'kernel': 'rbf'}"
68,116,56,10,128,"{'C': 0.5, 'gamma': 2048.0, 'kernel': 'rbf'}"
234,226,226,230,235,"{'C': 1.0, 'gamma': 0.0625, 'kernel': 'rbf'}"
