rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
20,1,22,9,28,"{'reg_alpha': 0, 'reg_lambda': 0}"
9,10,8,17,6,"{'reg_alpha': 0, 'reg_lambda': 0.01}"
10,20,19,9,18,"{'reg_alpha': 0, 'reg_lambda': 0.02}"
67,44,24,69,63,"{'reg_alpha': 0, 'reg_lambda': 0.05}"
18,31,18,17,20,"{'reg_alpha': 0, 'reg_lambda': 0.1}"
53,80,69,62,38,"{'reg_alpha': 0, 'reg_lambda': 0.5}"
80,4,26,81,75,"{'reg_alpha': 0, 'reg_lambda': 1}"
5,47,43,1,15,"{'reg_alpha': 0, 'reg_lambda': 2}"
74,72,68,69,72,"{'reg_alpha': 0, 'reg_lambda': 3}"
18,32,67,17,20,"{'reg_alpha': 0.01, 'reg_lambda': 0}"
45,25,66,23,57,"{'reg_alpha': 0.01, 'reg_lambda': 0.01}"
65,3,12,62,61,"{'reg_alpha': 0.01, 'reg_lambda': 0.02}"
38,67,62,39,33,"{'reg_alpha': 0.01, 'reg_lambda': 0.05}"
46,61,57,47,35,"{'reg_alpha': 0.01, 'reg_lambda': 0.1}"
35,14,2,23,44,"{'reg_alpha': 0.01, 'reg_lambda': 0.5}"
38,18,46,39,33,"{'reg_alpha': 0.01, 'reg_lambda': 1}"
54,52,65,47,59,"{'reg_alpha': 0.01, 'reg_lambda': 2}"
24,28,34,23,22,"{'reg_alpha': 0.01, 'reg_lambda': 3}"
49,75,16,32,58,"{'reg_alpha': 0.02, 'reg_lambda': 0}"
4,69,36,17,2,"{'reg_alpha': 0.02, 'reg_lambda': 0.01}"
58,33,70,76,39,"{'reg_alpha': 0.02, 'reg_lambda': 0.02}"
51,43,48,47,50,"{'reg_alpha': 0.02, 'reg_lambda': 0.05}"
58,45,13,76,39,"{'reg_alpha': 0.02, 'reg_lambda': 0.1}"
16,70,23,5,41,"{'reg_alpha': 0.02, 'reg_lambda': 0.5}"
79,66,27,76,80,"{'reg_alpha': 0.02, 'reg_lambda': 1}"
29,48,25,9,43,"{'reg_alpha': 0.02, 'reg_lambda': 2}"
73,13,37,58,78,"{'reg_alpha': 0.02, 'reg_lambda': 3}"
20,38,20,9,28,"{'reg_alpha': 0.05, 'reg_lambda': 0}"
65,55,31,62,61,"{'reg_alpha': 0.05, 'reg_lambda': 0.01}"
25,30,10,17,30,"{'reg_alpha': 0.05, 'reg_lambda': 0.02}"
40,60,17,32,46,"{'reg_alpha': 0.05, 'reg_lambda': 0.05}"
31,71,28,23,31,"{'reg_alpha': 0.05, 'reg_lambda': 0.1}"
2,58,1,1,4,"{'reg_alpha': 0.05, 'reg_lambda': 0.5}"
13,40,7,23,7,"{'reg_alpha': 0.05, 'reg_lambda': 1}"
34,26,11,9,55,"{'reg_alpha': 0.05, 'reg_lambda': 2}"
40,63,35,32,46,"{'reg_alpha': 0.05, 'reg_lambda': 3}"
30,57,14,32,23,"{'reg_alpha': 0.1, 'reg_lambda': 0}"
40,62,45,32,46,"{'reg_alpha': 0.1, 'reg_lambda': 0.01}"
5,78,6,1,15,"{'reg_alpha': 0.1, 'reg_lambda': 0.02}"
81,36,59,69,81,"{'reg_alpha': 0.1, 'reg_lambda': 0.05}"
48,68,49,39,49,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
16,9,4,5,41,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
78,6,58,79,74,"{'reg_alpha': 0.1, 'reg_lambda': 1}"
70,81,55,62,69,"{'reg_alpha': 0.1, 'reg_lambda': 2}"
62,35,53,47,66,"{'reg_alpha': 0.1, 'reg_lambda': 3}"
35,16,15,23,44,"{'reg_alpha': 0.5, 'reg_lambda': 0}"
62,79,63,47,66,"{'reg_alpha': 0.5, 'reg_lambda': 0.01}"
70,74,61,62,69,"{'reg_alpha': 0.5, 'reg_lambda': 0.02}"
62,64,64,47,66,"{'reg_alpha': 0.5, 'reg_lambda': 0.05}"
1,23,5,5,3,"{'reg_alpha': 0.5, 'reg_lambda': 0.1}"
5,21,38,1,15,"{'reg_alpha': 0.5, 'reg_lambda': 0.5}"
68,5,41,47,76,"{'reg_alpha': 0.5, 'reg_lambda': 1}"
31,11,30,23,31,"{'reg_alpha': 0.5, 'reg_lambda': 2}"
46,77,21,47,35,"{'reg_alpha': 0.5, 'reg_lambda': 3}"
68,49,32,47,76,"{'reg_alpha': 1, 'reg_lambda': 0}"
70,54,73,62,69,"{'reg_alpha': 1, 'reg_lambda': 0.01}"
8,19,56,9,5,"{'reg_alpha': 1, 'reg_lambda': 0.02}"
10,27,9,9,18,"{'reg_alpha': 1, 'reg_lambda': 0.05}"
57,73,54,39,65,"{'reg_alpha': 1, 'reg_lambda': 0.1}"
