rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
73,25,73,66,71,"{'reg_alpha': 0, 'reg_lambda': 0}"
43,24,79,40,40,"{'reg_alpha': 0, 'reg_lambda': 0.01}"
59,72,75,52,59,"{'reg_alpha': 0, 'reg_lambda': 0.02}"
80,57,67,73,81,"{'reg_alpha': 0, 'reg_lambda': 0.05}"
75,63,77,73,65,"{'reg_alpha': 0, 'reg_lambda': 0.1}"
16,37,59,12,25,"{'reg_alpha': 0, 'reg_lambda': 0.5}"
51,1,36,66,17,"{'reg_alpha': 0, 'reg_lambda': 1}"
43,28,20,40,40,"{'reg_alpha': 0, 'reg_lambda': 2}"
40,38,7,30,44,"{'reg_alpha': 0, 'reg_lambda': 3}"
65,40,70,73,42,"{'reg_alpha': 0.01, 'reg_lambda': 0}"
68,41,30,64,70,"{'reg_alpha': 0.01, 'reg_lambda': 0.01}"
40,69,55,30,44,"{'reg_alpha': 0.01, 'reg_lambda': 0.02}"
52,48,76,30,68,"{'reg_alpha': 0.01, 'reg_lambda': 0.05}"
53,80,58,40,57,"{'reg_alpha': 0.01, 'reg_lambda': 0.1}"
23,4,74,15,36,"{'reg_alpha': 0.01, 'reg_lambda': 0.5}"
58,79,72,40,69,"{'reg_alpha': 0.01, 'reg_lambda': 1}"
71,81,53,64,77,"{'reg_alpha': 0.01, 'reg_lambda': 2}"
13,53,9,15,14,"{'reg_alpha': 0.01, 'reg_lambda': 3}"
28,77,46,23,37,"{'reg_alpha': 0.02, 'reg_lambda': 0}"
69,44,71,66,63,"{'reg_alpha': 0.02, 'reg_lambda': 0.01}"
18,20,56,15,18,"{'reg_alpha': 0.02, 'reg_lambda': 0.02}"
38,33,66,52,21,"{'reg_alpha': 0.02, 'reg_lambda': 0.05}"
76,71,80,73,73,"{'reg_alpha': 0.02, 'reg_lambda': 0.1}"
32,66,52,30,38,"{'reg_alpha': 0.02, 'reg_lambda': 0.5}"
40,6,35,30,44,"{'reg_alpha': 0.02, 'reg_lambda': 1}"
34,58,69,40,31,"{'reg_alpha': 0.02, 'reg_lambda': 2}"
46,21,3,23,67,"{'reg_alpha': 0.02, 'reg_lambda': 3}"
24,34,14,23,28,"{'reg_alpha': 0.05, 'reg_lambda': 0}"
78,10,25,73,78,"{'reg_alpha': 0.05, 'reg_lambda': 0.01}"
6,26,24,4,13,"{'reg_alpha': 0.05, 'reg_lambda': 0.02}"
53,61,62,40,57,"{'reg_alpha': 0.05, 'reg_lambda': 0.05}"
16,23,17,12,25,"{'reg_alpha': 0.05, 'reg_lambda': 0.1}"
55,21,34,52,49,"{'reg_alpha': 0.05, 'reg_lambda': 0.5}"
49,13,39,40,47,"{'reg_alpha': 0.05, 'reg_lambda': 1}"
59,46,19,52,59,"{'reg_alpha': 0.05, 'reg_lambda': 2}"
10,51,6,9,7,"{'reg_alpha': 0.05, 'reg_lambda': 3}"
77,3,61,78,66,"{'reg_alpha': 0.1, 'reg_lambda': 0}"
66,60,81,52,75,"{'reg_alpha': 0.1, 'reg_lambda': 0.01}"
69,42,28,66,63,"{'reg_alpha': 0.1, 'reg_lambda': 0.02}"
55,49,64,52,49,"{'reg_alpha': 0.1, 'reg_lambda': 0.05}"
21,50,63,30,15,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
3,30,29,2,12,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
37,16,15,23,55,"{'reg_alpha': 0.1, 'reg_lambda': 1}"
11,74,31,7,24,"{'reg_alpha': 0.1, 'reg_lambda': 2}"
