rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
49,77,37,29,76,"{'reg_alpha': 0, 'reg_lambda': 0}"
23,74,6,23,20,"{'reg_alpha': 0, 'reg_lambda': 0.01}"
41,75,46,39,39,"{'reg_alpha': 0, 'reg_lambda': 0.02}"
28,71,39,29,22,"{'reg_alpha': 0, 'reg_lambda': 0.05}"
10,5,5,12,5,"{'reg_alpha': 0, 'reg_lambda': 0.1}"
19,58,45,18,10,"{'reg_alpha': 0, 'reg_lambda': 0.5}"
10,1,42,12,5,"{'reg_alpha': 0, 'reg_lambda': 1}"
27,64,40,23,29,"{'reg_alpha': 0, 'reg_lambda': 2}"
45,9,7,46,40,"{'reg_alpha': 0, 'reg_lambda': 3}"
42,41,19,46,33,"{'reg_alpha': 0.01, 'reg_lambda': 0}"
14,49,27,7,27,"{'reg_alpha': 0.01, 'reg_lambda': 0.01}"
56,25,43,46,66,"{'reg_alpha': 0.01, 'reg_lambda': 0.02}"
10,36,22,12,5,"{'reg_alpha': 0.01, 'reg_lambda': 0.05}"
56,62,65,46,66,"{'reg_alpha': 0.01, 'reg_lambda': 0.1}"
7,14,14,7,14,"{'reg_alpha': 0.01, 'reg_lambda': 0.5}"
6,76,20,4,26,"{'reg_alpha': 0.01, 'reg_lambda': 1}"
50,68,52,39,64,"{'reg_alpha': 0.01, 'reg_lambda': 2}"
56,24,12,46,66,"{'reg_alpha': 0.01, 'reg_lambda': 3}"
16,57,16,12,17,"{'reg_alpha': 0.02, 'reg_lambda': 0}"
4,80,30,4,3,"{'reg_alpha': 0.02, 'reg_lambda': 0.01}"
17,39,32,16,8,"{'reg_alpha': 0.02, 'reg_lambda': 0.02}"
37,48,54,29,48,"{'reg_alpha': 0.02, 'reg_lambda': 0.05}"
52,26,60,46,53,"{'reg_alpha': 0.02, 'reg_lambda': 0.1}"
25,70,31,29,11,"{'reg_alpha': 0.02, 'reg_lambda': 0.5}"
37,72,67,29,48,"{'reg_alpha': 0.02, 'reg_lambda': 1}"
28,45,29,29,22,"{'reg_alpha': 0.02, 'reg_lambda': 2}"
47,10,66,58,35,"{'reg_alpha': 0.02, 'reg_lambda': 3}"
72,19,59,69,70,"{'reg_alpha': 0.05, 'reg_lambda': 0}"
14,27,13,7,27,"{'reg_alpha': 0.05, 'reg_lambda': 0.01}"
21,59,4,18,18,"{'reg_alpha': 0.05, 'reg_lambda': 0.02}"
1,30,8,2,2,"{'reg_alpha': 0.05, 'reg_lambda': 0.05}"
3,2,1,2,13,"{'reg_alpha': 0.05, 'reg_lambda': 0.1}"
71,32,21,65,78,"{'reg_alpha': 0.05, 'reg_lambda': 0.5}"
37,35,38,29,48,"{'reg_alpha': 0.05, 'reg_lambda': 1}"
62,38,18,65,43,"{'reg_alpha': 0.05, 'reg_lambda': 2}"
52,11,9,46,53,"{'reg_alpha': 0.05, 'reg_lambda': 3}"
2,21,3,1,12,"{'reg_alpha': 0.1, 'reg_lambda': 0}"
17,79,24,16,8,"{'reg_alpha': 0.1, 'reg_lambda': 0.01}"
52,20,10,46,53,"{'reg_alpha': 0.1, 'reg_lambda': 0.02}"
13,8,2,4,37,"{'reg_alpha': 0.1, 'reg_lambda': 0.05}"
37,31,15,29,48,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
7,54,49,7,14,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
32,51,35,39,24,"{'reg_alpha': 0.1, 'reg_lambda': 1}"
44,13,48,39,52,"{'reg_alpha': 0.1, 'reg_lambda': 2}"
50,23,33,39,64,"{'reg_alpha': 0.1, 'reg_lambda': 3}"
63,46,64,65,58,"{'reg_alpha': 0.5, 'reg_lambda': 0}"
70,6,51,73,44,"{'reg_alpha': 0.5, 'reg_lambda': 0.01}"
60,53,23,58,56,"{'reg_alpha': 0.5, 'reg_lambda': 0.02}"
21,34,36,18,18,"{'reg_alpha': 0.5, 'reg_lambda': 0.05}"
56,61,68,46,66,"{'reg_alpha': 0.5, 'reg_lambda': 0.1}"
66,63,47,58,77,"{'reg_alpha': 0.5, 'reg_lambda': 0.5}"
26,33,11,18,38,"{'reg_alpha': 0.5, 'reg_lambda': 1}"
73,40,70,58,81,"{'reg_alpha': 0.5, 'reg_lambda': 2}"
34,78,62,23,46,"{'reg_alpha': 0.5, 'reg_lambda': 3}"
30,16,44,29,30,"{'reg_alpha': 1, 'reg_lambda': 0}"
34,69,61,23,46,"{'reg_alpha': 1, 'reg_lambda': 0.01}"
7,52,28,7,14,"{'reg_alpha': 1, 'reg_lambda': 0.02}"
