rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
10,19,48,10,21,"{'reg_alpha': 0, 'reg_lambda': 0}"
15,42,28,16,3,"{'reg_alpha': 0, 'reg_lambda': 0.01}"
24,15,2,24,10,"{'reg_alpha': 0, 'reg_lambda': 0.02}"
50,65,67,49,42,"{'reg_alpha': 0, 'reg_lambda': 0.05}"
32,23,14,24,55,"{'reg_alpha': 0, 'reg_lambda': 0.1}"
76,46,37,74,75,"{'reg_alpha': 0, 'reg_lambda': 0.5}"
16,9,20,10,53,"{'reg_alpha': 0, 'reg_lambda': 1}"
45,66,55,40,62,"{'reg_alpha': 0, 'reg_lambda': 2}"
32,55,13,24,55,"{'reg_alpha': 0, 'reg_lambda': 3}"
30,76,43,24,37,"{'reg_alpha': 0.01, 'reg_lambda': 0}"
50,13,24,49,42,"{'reg_alpha': 0.01, 'reg_lambda': 0.01}"
61,80,72,57,47,"{'reg_alpha': 0.01, 'reg_lambda': 0.02}"
29,16,42,24,24,"{'reg_alpha': 0.01, 'reg_lambda': 0.05}"
21,52,53,24,4,"{'reg_alpha': 0.01, 'reg_lambda': 0.1}"
7,8,9,7,7,"{'reg_alpha': 0.01, 'reg_lambda': 0.5}"
32,60,23,24,55,"{'reg_alpha': 0.01, 'reg_lambda': 1}"
16,48,19,16,8,"{'reg_alpha': 0.01, 'reg_lambda': 2}"
19,68,33,16,22,"{'reg_alpha': 0.01, 'reg_lambda': 3}"
8,53,63,7,19,"{'reg_alpha': 0.02, 'reg_lambda': 0}"
24,7,26,24,10,"{'reg_alpha': 0.02, 'reg_lambda': 0.01}"
68,69,65,57,72,"{'reg_alpha': 0.02, 'reg_lambda': 0.02}"
58,71,71,57,27,"{'reg_alpha': 0.02, 'reg_lambda': 0.05}"
11,35,50,10,31,"{'reg_alpha': 0.02, 'reg_lambda': 0.1}"
55,57,21,40,78,"{'reg_alpha': 0.02, 'reg_lambda': 0.5}"
