rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
15,11,13,13,16,"{'colsample_bytree': 0.6, 'subsample': 0.6}"
14,13,8,15,12,"{'colsample_bytree': 0.6, 'subsample': 0.7}"
6,8,1,3,6,"{'colsample_bytree': 0.6, 'subsample': 0.8}"
11,7,14,12,11,"{'colsample_bytree': 0.6, 'subsample': 0.9}"
2,16,5,2,5,"{'colsample_bytree': 0.7, 'subsample': 0.6}"
3,5,7,5,2,"{'colsample_bytree': 0.7, 'subsample': 0.7}"
1,3,10,1,1,"{'colsample_bytree': 0.7, 'subsample': 0.8}"
12,12,9,10,13,"{'colsample_bytree': 0.7, 'subsample': 0.9}"
4,14,3,7,3,"{'colsample_bytree': 0.8, 'subsample': 0.6}"
4,9,6,7,3,"{'colsample_bytree': 0.8, 'subsample': 0.7}"
9,1,11,7,9,"{'colsample_bytree': 0.8, 'subsample': 0.8}"
13,10,16,13,14,"{'colsample_bytree': 0.8, 'subsample': 0.9}"
6,4,2,3,6,"{'colsample_bytree': 0.9, 'subsample': 0.6}"
16,15,15,16,15,"{'colsample_bytree': 0.9, 'subsample': 0.7}"
10,2,12,10,10,"{'colsample_bytree': 0.9, 'subsample': 0.8}"
8,6,4,5,8,"{'colsample_bytree': 0.9, 'subsample': 0.9}"
