rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
20,20,20,20,20,{'n_estimators': 50}
19,19,19,19,19,{'n_estimators': 100}
18,18,18,18,12,{'n_estimators': 150}
17,17,17,17,5,{'n_estimators': 200}
16,16,16,16,3,{'n_estimators': 250}
15,15,15,15,1,{'n_estimators': 300}
14,12,14,14,2,{'n_estimators': 350}
12,11,13,13,4,{'n_estimators': 400}
13,14,12,12,9,{'n_estimators': 450}
11,13,11,11,8,{'n_estimators': 500}
10,8,10,10,6,{'n_estimators': 550}
9,10,9,9,7,{'n_estimators': 600}
8,7,8,8,11,{'n_estimators': 650}
7,9,7,7,10,{'n_estimators': 700}
6,5,6,6,14,{'n_estimators': 750}
5,6,5,5,13,{'n_estimators': 800}
2,4,4,2,15,{'n_estimators': 850}
2,3,3,2,15,{'n_estimators': 900}
4,2,2,2,18,{'n_estimators': 950}
1,1,1,1,17,{'n_estimators': 1000}
