rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
16,76,17,17,6,"{'reg_alpha': 0, 'reg_lambda': 0}"
20,13,9,17,23,"{'reg_alpha': 0, 'reg_lambda': 0.01}"
37,25,53,32,50,"{'reg_alpha': 0, 'reg_lambda': 0.02}"
77,45,41,65,79,"{'reg_alpha': 0, 'reg_lambda': 0.05}"
72,8,30,58,77,"{'reg_alpha': 0, 'reg_lambda': 0.1}"
65,24,34,58,65,"{'reg_alpha': 0, 'reg_lambda': 0.5}"
12,1,2,10,11,"{'reg_alpha': 0, 'reg_lambda': 1}"
48,16,25,46,52,"{'reg_alpha': 0, 'reg_lambda': 2}"
26,74,15,32,16,"{'reg_alpha': 0, 'reg_lambda': 3}"
39,26,5,39,38,"{'reg_alpha': 0.01, 'reg_lambda': 0}"
56,33,50,39,73,"{'reg_alpha': 0.01, 'reg_lambda': 0.01}"
5,11,3,5,5,"{'reg_alpha': 0.01, 'reg_lambda': 0.02}"
29,17,11,26,33,"{'reg_alpha': 0.01, 'reg_lambda': 0.05}"
39,36,45,39,38,"{'reg_alpha': 0.01, 'reg_lambda': 0.1}"
20,52,64,17,23,"{'reg_alpha': 0.01, 'reg_lambda': 0.5}"
29,6,18,26,33,"{'reg_alpha': 0.01, 'reg_lambda': 1}"
24,2,6,10,46,"{'reg_alpha': 0.01, 'reg_lambda': 2}"
39,4,8,39,38,"{'reg_alpha': 0.01, 'reg_lambda': 3}"
36,41,33,17,72,"{'reg_alpha': 0.02, 'reg_lambda': 0}"
27,18,14,17,47,"{'reg_alpha': 0.02, 'reg_lambda': 0.01}"
33,55,67,32,36,"{'reg_alpha': 0.02, 'reg_lambda': 0.02}"
61,39,26,46,74,"{'reg_alpha': 0.02, 'reg_lambda': 0.05}"
19,9,16,10,32,"{'reg_alpha': 0.02, 'reg_lambda': 0.1}"
65,22,31,58,65,"{'reg_alpha': 0.02, 'reg_lambda': 0.5}"
43,60,59,32,61,"{'reg_alpha': 0.02, 'reg_lambda': 1}"
10,3,1,5,31,"{'reg_alpha': 0.02, 'reg_lambda': 2}"
11,43,10,8,22,"{'reg_alpha': 0.02, 'reg_lambda': 3}"
6,44,20,10,1,"{'reg_alpha': 0.05, 'reg_lambda': 0}"
25,32,48,26,26,"{'reg_alpha': 0.05, 'reg_lambda': 0.01}"
48,34,32,39,63,"{'reg_alpha': 0.05, 'reg_lambda': 0.02}"
8,79,54,8,10,"{'reg_alpha': 0.05, 'reg_lambda': 0.05}"
12,10,12,10,11,"{'reg_alpha': 0.05, 'reg_lambda': 0.1}"
