rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
52,54,49,50,23,"{'max_depth': 3, 'min_child_weight': 1}"
49,50,50,49,15,"{'max_depth': 3, 'min_child_weight': 2}"
53,52,53,51,28,"{'max_depth': 3, 'min_child_weight': 3}"
51,49,52,52,16,"{'max_depth': 3, 'min_child_weight': 4}"
54,51,51,54,21,"{'max_depth': 3, 'min_child_weight': 5}"
50,53,54,53,9,"{'max_depth': 3, 'min_child_weight': 6}"
46,47,48,43,10,"{'max_depth': 4, 'min_child_weight': 1}"
48,44,44,45,14,"{'max_depth': 4, 'min_child_weight': 2}"
47,45,47,48,5,"{'max_depth': 4, 'min_child_weight': 3}"
43,48,45,46,1,"{'max_depth': 4, 'min_child_weight': 4}"
45,43,46,47,2,"{'max_depth': 4, 'min_child_weight': 5}"
44,46,43,44,4,"{'max_depth': 4, 'min_child_weight': 6}"
41,36,39,40,13,"{'max_depth': 5, 'min_child_weight': 1}"
42,40,40,41,19,"{'max_depth': 5, 'min_child_weight': 2}"
39,39,38,39,7,"{'max_depth': 5, 'min_child_weight': 3}"
38,42,41,38,6,"{'max_depth': 5, 'min_child_weight': 4}"
40,41,42,42,8,"{'max_depth': 5, 'min_child_weight': 5}"
37,32,37,37,3,"{'max_depth': 5, 'min_child_weight': 6}"
27,37,32,31,17,"{'max_depth': 6, 'min_child_weight': 1}"
36,31,34,36,51,"{'max_depth': 6, 'min_child_weight': 2}"
33,34,33,33,29,"{'max_depth': 6, 'min_child_weight': 3}"
33,28,30,33,29,"{'max_depth': 6, 'min_child_weight': 4}"
35,33,35,35,22,"{'max_depth': 6, 'min_child_weight': 5}"
31,38,36,32,12,"{'max_depth': 6, 'min_child_weight': 6}"
9,30,27,12,25,"{'max_depth': 7, 'min_child_weight': 1}"
1,11,15,3,11,"{'max_depth': 7, 'min_child_weight': 2}"
25,26,28,27,40,"{'max_depth': 7, 'min_child_weight': 3}"
32,35,31,30,41,"{'max_depth': 7, 'min_child_weight': 4}"
3,16,22,6,18,"{'max_depth': 7, 'min_child_weight': 5}"
11,25,25,17,20,"{'max_depth': 7, 'min_child_weight': 6}"
14,1,6,10,38,"{'max_depth': 8, 'min_child_weight': 1}"
18,22,2,24,34,"{'max_depth': 8, 'min_child_weight': 2}"
5,29,11,6,31,"{'max_depth': 8, 'min_child_weight': 3}"
29,19,26,28,48,"{'max_depth': 8, 'min_child_weight': 4}"
15,10,29,17,32,"{'max_depth': 8, 'min_child_weight': 5}"
16,17,23,24,27,"{'max_depth': 8, 'min_child_weight': 6}"
7,13,1,4,37,"{'max_depth': 9, 'min_child_weight': 1}"
4,9,16,2,36,"{'max_depth': 9, 'min_child_weight': 2}"
9,23,21,12,25,"{'max_depth': 9, 'min_child_weight': 3}"
13,15,12,6,43,"{'max_depth': 9, 'min_child_weight': 4}"
20,18,13,17,44,"{'max_depth': 9, 'min_child_weight': 5}"
20,21,8,17,44,"{'max_depth': 9, 'min_child_weight': 6}"
2,5,9,1,35,"{'max_depth': 10, 'min_child_weight': 1}"
19,8,4,14,49,"{'max_depth': 10, 'min_child_weight': 2}"
12,4,10,4,42,"{'max_depth': 10, 'min_child_weight': 3}"
6,7,3,10,24,"{'max_depth': 10, 'min_child_weight': 4}"
8,24,20,6,33,"{'max_depth': 10, 'min_child_weight': 5}"
24,27,17,24,47,"{'max_depth': 10, 'min_child_weight': 6}"
26,3,5,17,53,"{'max_depth': 12, 'min_child_weight': 1}"
23,20,19,17,50,"{'max_depth': 12, 'min_child_weight': 2}"
28,14,7,14,54,"{'max_depth': 12, 'min_child_weight': 3}"
17,6,24,14,39,"{'max_depth': 12, 'min_child_weight': 4}"
20,12,14,17,44,"{'max_depth': 12, 'min_child_weight': 5}"
30,2,18,28,52,"{'max_depth': 12, 'min_child_weight': 6}"
