rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
5,16,11,5,5,"{'colsample_bytree': 0.6, 'subsample': 0.6}"
12,8,5,11,12,"{'colsample_bytree': 0.6, 'subsample': 0.7}"
11,12,16,11,11,"{'colsample_bytree': 0.6, 'subsample': 0.8}"
3,14,2,2,9,"{'colsample_bytree': 0.6, 'subsample': 0.9}"
14,3,13,11,16,"{'colsample_bytree': 0.7, 'subsample': 0.6}"
5,15,15,5,5,"{'colsample_bytree': 0.7, 'subsample': 0.7}"
16,2,12,16,15,"{'colsample_bytree': 0.7, 'subsample': 0.8}"
2,5,4,2,3,"{'colsample_bytree': 0.7, 'subsample': 0.9}"
15,13,10,15,8,"{'colsample_bytree': 0.8, 'subsample': 0.6}"
1,6,1,1,2,"{'colsample_bytree': 0.8, 'subsample': 0.7}"
10,1,3,9,14,"{'colsample_bytree': 0.8, 'subsample': 0.8}"
7,11,14,7,7,"{'colsample_bytree': 0.8, 'subsample': 0.9}"
3,10,9,2,9,"{'colsample_bytree': 0.9, 'subsample': 0.6}"
9,7,7,9,4,"{'colsample_bytree': 0.9, 'subsample': 0.7}"
8,9,8,8,1,"{'colsample_bytree': 0.9, 'subsample': 0.8}"
12,4,6,11,12,"{'colsample_bytree': 0.9, 'subsample': 0.9}"
