rank_test_f1,mean_test_f1,std_test_f1,rank_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_accuracy,mean_test_accuracy,std_test_accuracy,params
1,0.9301293999778995,0.08197408407097419,1,0.9660460407519814,0.03940058978029362,4,0.9678202607010103,0.037135879159336915,1,0.9399237042883453,0.06957708552167154,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 50, 'predictors': 'xgboost', 'use_predictor': True}"
2,0.9301293999778995,0.08197408407097419,2,0.9660460407519814,0.03940058978029362,5,0.9678202607010103,0.037135879159336915,2,0.9399237042883453,0.06957708552167154,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 50, 'predictors': 'lightgbm', 'use_predictor': True}"
3,0.9301293999778995,0.08197408407097419,3,0.9660460407519814,0.03940058978029362,6,0.9678202607010103,0.037135879159336915,3,0.9399237042883453,0.06957708552167154,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 50, 'predictors': 'forest', 'use_predictor': True}"
4,0.9575356462194528,0.04215637810252195,7,0.9948944450396991,0.005778965209497698,1,0.9950407133888817,0.005589095321591152,4,0.9607603262299396,0.0384757070094216,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 100, 'predictors': 'xgboost', 'use_predictor': True}"
5,0.9575356462194528,0.04215637810252195,8,0.9948944450396991,0.005778965209497698,2,0.9950407133888817,0.005589095321591152,5,0.9607603262299396,0.0384757070094216,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 100, 'predictors': 'lightgbm', 'use_predictor': True}"
6,0.9575356462194528,0.04215637810252195,9,0.9948944450396991,0.005778965209497698,3,0.9950407133888817,0.005589095321591152,6,0.9607603262299396,0.0384757070094216,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 100, 'predictors': 'forest', 'use_predictor': True}"
7,0.9695791228664973,0.03427733267597218,4,0.997146476035591,0.0037253408951455867,10,0.9971837524257147,0.003686428128091335,7,0.9714943435937912,0.03172618002980476,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 150, 'predictors': 'xgboost', 'use_predictor': True}"
8,0.9695791228664973,0.03427733267597218,5,0.997146476035591,0.0037253408951455867,11,0.9971837524257147,0.003686428128091335,8,0.9714943435937912,0.03172618002980476,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 150, 'predictors': 'lightgbm', 'use_predictor': True}"
9,0.9695791228664973,0.03427733267597218,6,0.997146476035591,0.0037253408951455867,12,0.9971837524257147,0.003686428128091335,9,0.9714943435937912,0.03172618002980476,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 150, 'predictors': 'forest', 'use_predictor': True}"
10,0.9725080391774747,0.030767699132896256,13,0.9975503443757272,0.003192917441150192,7,0.9976256665728538,0.0030340209875040023,10,0.9740594580373585,0.02866050608124323,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 200, 'predictors': 'xgboost', 'use_predictor': True}"
11,0.9725080391774747,0.030767699132896256,14,0.9975503443757272,0.003192917441150192,8,0.9976256665728538,0.0030340209875040023,11,0.9740594580373585,0.02866050608124323,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 200, 'predictors': 'lightgbm', 'use_predictor': True}"
12,0.9725080391774747,0.030767699132896256,15,0.9975503443757272,0.003192917441150192,9,0.9976256665728538,0.0030340209875040023,12,0.9740594580373585,0.02866050608124323,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 200, 'predictors': 'forest', 'use_predictor': True}"
13,0.9198653193334143,0.094400754505558,10,0.9604044570195504,0.047857972893495304,13,0.9604500737788234,0.04763182660734188,13,0.9325703762167852,0.0784443788560262,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 50, 'predictors': 'xgboost', 'use_predictor': True}"
14,0.9198653193334143,0.094400754505558,11,0.9604044570195504,0.047857972893495304,14,0.9604500737788234,0.04763182660734188,14,0.9325703762167852,0.0784443788560262,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 50, 'predictors': 'lightgbm', 'use_predictor': True}"
15,0.9198653193334143,0.094400754505558,12,0.9604044570195504,0.047857972893495304,15,0.9604500737788234,0.04763182660734188,15,0.9325703762167852,0.0784443788560262,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 50, 'predictors': 'forest', 'use_predictor': True}"
16,0.9316914100462863,0.07920307892258892,16,0.9653370212143312,0.0415751876071781,16,0.9653786937394561,0.04141460407486814,16,0.9409892133649039,0.06754183837187766,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 100, 'predictors': 'xgboost', 'use_predictor': True}"
17,0.9316914100462863,0.07920307892258892,17,0.9653370212143312,0.0415751876071781,17,0.9653786937394561,0.04141460407486814,17,0.9409892133649039,0.06754183837187766,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 100, 'predictors': 'lightgbm', 'use_predictor': True}"
18,0.9316914100462863,0.07920307892258892,18,0.9653370212143312,0.0415751876071781,18,0.9653786937394561,0.04141460407486814,18,0.9409892133649039,0.06754183837187766,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 100, 'predictors': 'forest', 'use_predictor': True}"
