rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
187,43,193,181,187,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 50}"
7,37,25,1,13,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 100}"
73,31,37,19,73,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 150}"
157,19,31,151,157,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 200}"
49,1,19,61,49,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 250}"
67,7,1,7,67,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 300}"
85,13,7,61,85,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 400}"
175,73,199,181,175,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 50}"
19,55,109,19,19,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 100}"
19,61,85,19,19,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 150}"
19,109,61,19,19,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 200}"
49,49,79,61,49,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 250}"
37,25,13,19,37,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 300}"
1,133,97,7,1,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 400}"
145,85,181,85,145,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 50}"
73,127,73,19,73,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 100}"
37,97,55,19,37,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 150}"
115,121,103,115,115,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 200}"
13,151,67,61,7,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 250}"
91,163,145,85,91,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 300}"
115,157,157,115,115,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 400}"
205,103,187,151,205,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 50}"
91,145,151,85,91,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 100}"
91,115,127,85,91,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 150}"
139,67,49,151,139,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 200}"
115,193,169,115,115,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 250}"
91,139,139,85,91,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 300}"
157,91,43,151,157,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 400}"
151,199,205,115,151,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 50}"
61,79,91,115,61,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 100}"
115,175,121,115,115,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 150}"
199,169,163,205,199,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 200}"
